dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
sex,men,Homens,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0386822823640249,0.0265463024380284,0.1459944030315361,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.4020652291339499,,adequate,75,266,estimated,0.0445525183030786,0.018851748960133,0.0181125336966596,**,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.8259508606864008,,adequate,5.5852320169343255,wald_test_R_beta_eq_q_chi2,341.0
sex,men,Homens,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0560966581741378,0.0268123382908042,0.0371622549207979,**,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0587581789686271,,adequate,75,266,estimated,0.0058138212018322,0.0201163948166426,0.7725744122386389,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5796334506109551,,adequate,0.0835262610502521,wald_test_R_beta_eq_q_chi2,341.0
sex,men,Homens,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0155607433384804,0.0163287133719926,0.3412832095886844,,18227,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1651577330802751,,adequate,75,266,estimated,0.0209367194343757,0.016510536248252,0.2047685475534034,,35922,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0035554431657653,,adequate,1.608032820103986,wald_test_R_beta_eq_q_chi2,341.0
sex,men,Homens,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.3299992014797326,0.3403751979173033,0.3329769694884317,,18286,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0624243572105713,,adequate,75,266,estimated,0.7374487882653314,0.2091007349148091,0.0004206727318156,***,36276,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0182060910156354,,adequate,12.43805904920429,wald_test_R_beta_eq_q_chi2,341.0
sex,men,Homens,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,0.0242296865483785,0.0216830042499057,0.2645930150193445,,18278,340,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0573428348115807,,adequate,75,265,estimated,0.0679408453651427,0.0189350093331951,0.0003330872049406,***,36259,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.952031564152239,,adequate,12.874514053593046,wald_test_R_beta_eq_q_chi2,341.0
sex,men,Homens,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,0.0078478429859515,0.0092616113171075,0.397395130443396,,18286,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0106708753073172,,adequate,75,266,estimated,0.0170837232718329,0.0078587171113561,0.0297159138122925,**,36276,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.7691493881598932,,adequate,4.725652081292262,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.081658736925165,0.0278709408724387,0.0036199836235075,***,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.8825798310456319,,adequate,75,266,estimated,-0.0445525183030753,0.0188517489601207,0.0181125336965927,**,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.8259508606863208,,adequate,5.585232016940792,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0625743275287735,0.0283343584049415,0.0278813734091263,**,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.2164924853692857,,adequate,75,266,estimated,-0.005813821201833,0.0201163948166333,0.7725744122385088,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5796334506104919,,adequate,0.0835262610503503,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0367014989331433,0.0125403474973769,0.0036573584268562,***,17695,340,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0107310547501633,,adequate,75,265,estimated,-0.0209367194343748,0.0165105362482515,0.2047685475534089,,35922,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0035554431657687,,adequate,1.6080328201039464,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-1.0562123925793077,0.3076524025850644,0.0006705598120524,***,17990,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.7243599714400184,,adequate,75,266,estimated,-0.7374487882653248,0.2091007349148126,0.0004206727318157,***,36276,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0182060910156347,,adequate,12.438059049203652,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,-0.0369661032278291,0.0267647223215498,0.1681451819335067,,17981,339,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5761469859683834,,adequate,75,264,estimated,-0.0679408453651429,0.0189350093331952,0.0003330872049406,***,36259,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.95203156415224,,adequate,12.874514053592977,wald_test_R_beta_eq_q_chi2,341.0
sex,women,Mulheres,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,-0.0062098301949039,0.0119308806137701,0.6030661690010124,,17990,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1308926597519735,,adequate,75,266,estimated,-0.0170837232718325,0.007858717111356,0.0297159138122934,**,36276,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.769149388159883,,adequate,4.725652081292205,wald_test_R_beta_eq_q_chi2,341.0
