dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
canaries_age,age_22_25,22–25,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0519092903385001,0.0269062240584014,0.0545296600800131,*,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.7236502000709657,,adequate,75,265,estimated,-0.0137813532650283,0.0134075453957944,0.3040060854108724,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,warning,0.087960169058272,,adequate,1.056538138259262,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_22_25,22–25,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0513869254746448,0.0304200525736944,0.0920892119104104,*,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.17307064797125,,adequate,75,265,estimated,-0.0014471572605359,0.0185304405049332,0.937751518215514,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.7329957198259034,,adequate,0.0060990187536472,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_22_25,22–25,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0394953863651624,0.0133695982100022,0.0033547842974923,***,17863,340,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5401780851037397,,adequate,75,265,estimated,-0.0210693838478453,0.0158591563682713,0.1840026875300716,,36126,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5492675648996026,,adequate,1.764995117024282,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_22_25,22–25,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.2125737991342204,0.2532724522472095,0.4018875182827413,,18112,340,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0532417667221831,,adequate,75,265,estimated,0.5343219025566865,0.4054831354916982,0.1875902405465792,,36418,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.24894382660074,,adequate,1.736442318742189,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_22_25,22–25,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,0.0011128811713748,0.0218330213685859,0.959377634716602,,18104,339,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0776482246902952,,adequate,75,264,estimated,-0.0129092385737621,0.0170175285057875,0.4481009640645362,,36402,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.8432288862237791,,adequate,0.575450909106529,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_22_25,22–25,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,-0.0048973860181098,0.0119899086279485,0.6831946151251933,,18112,340,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.3199430501972755,,adequate,75,265,estimated,-0.0075309616455472,0.009783797187123,0.4414552532846427,,36418,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.1874850328825019,,adequate,0.5924967721647997,wald_test_R_beta_eq_q_chi2,340.0
canaries_age,age_26_30,26–30,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0575242860846661,0.0271808384586548,0.0350409399971856,**,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.642061265392373,,adequate,75,266,estimated,-0.0272426977193373,0.0117216325737915,0.0201180713934585,**,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.15343096456417,,adequate,5.401619835284414,wald_test_R_beta_eq_q_chi2,341.0
canaries_age,age_26_30,26–30,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.073992217817613,0.0278373290878081,0.0082314399249987,***,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.3632188712502104,,adequate,75,266,estimated,-0.0342365570193458,0.0104944953003146,0.0011049856368128,***,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.933809905644304,,adequate,10.642828218403457,wald_test_R_beta_eq_q_chi2,341.0
canaries_age,age_26_30,26–30,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.021704551374656,0.0132304537817957,0.1018288591330227,,18036,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.290950006161017,,adequate,75,266,estimated,-0.0050189929273836,0.012836985024021,0.6958126801295911,,36290,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2340962781066324,,adequate,0.1528646612649934,wald_test_R_beta_eq_q_chi2,341.0
canaries_age,age_26_30,26–30,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.5246424182503602,0.2986254130775786,0.0798421438113103,*,18210,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5806578784656897,,adequate,75,266,estimated,0.2739574815999403,0.184440413501448,0.137452693089224,,36508,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5679264241437174,,adequate,2.2062471212396924,wald_test_R_beta_eq_q_chi2,341.0
