dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0485773751176007,0.0280130937359536,0.0838075762028462,*,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.075639068638406,,adequate,75,266,estimated,0.0236120333909648,0.0163006311159481,0.1474675071826173,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.1312488098286708,,adequate,2.098253414721618,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_white,Branca,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0253812207093486,0.0247160304649784,0.305191303917331,,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.8938868174973627,,adequate,75,266,estimated,0.032235624415147,0.0123851599647844,0.0092476110743241,***,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2296449204846919,,adequate,6.774370320706396,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_white,Branca,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0096051189189475,0.0142365120165756,0.5003363016808731,,18159,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.6186489711615271,,adequate,75,266,estimated,0.0108283409523042,0.0157731888250545,0.4923959929914775,,36340,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5041743288175458,,adequate,0.4712863258631813,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_white,Branca,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.3389024489873469,0.3077622627696759,0.2715961495411856,,18259,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1841723890885567,,adequate,75,266,estimated,0.1817416088086525,0.1786612914914797,0.3090387481993453,,36522,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.505086806087915,,adequate,1.034779456946244,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_white,Branca,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,-0.0144858716406889,0.0229061807637035,0.5275517437609669,,18251,340,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0863939569164999,,adequate,75,265,estimated,0.0005433367437661,0.0191855149620218,0.977406806250768,,36506,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2265956212847739,,adequate,0.0008020311387395,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_white,Branca,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,-0.0121466989452345,0.0099780744824314,0.2243195043466983,,18259,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1258338598741735,,adequate,75,266,estimated,-0.0066612407832754,0.007968298844615,0.4031730513567998,,36522,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.6745774382986736,,adequate,0.6988420636841279,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0166858331349114,0.0250098429644926,0.5051156712562257,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.337316693150044,,adequate,75,266,estimated,-0.0236120333909649,0.0163006311159464,0.1474675071825731,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.1312488098286415,,adequate,2.0982534147220777,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0509616747053611,0.0282861312332857,0.0724864359414414,*,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.2986880160527041,,adequate,75,266,estimated,-0.0322356244151466,0.0123851599647836,0.0092476110743205,***,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2296449204847519,,adequate,6.774370320707079,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0233512516396186,0.0141930492286777,0.1008431229352784,,18181,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5601274054964231,,adequate,75,266,estimated,-0.0108283409523043,0.0157731888250542,0.4923959929914639,,36340,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5041743288175504,,adequate,0.4712863258632108,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.2857640494638623,0.2685289246127957,0.2880007719108863,,18263,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.2672829808093746,,adequate,75,266,estimated,-0.1817416088086517,0.1786612914914834,0.3090387481993576,,36522,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5050868060879128,,adequate,1.034779456946192,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,0.0458082402370318,0.0265858855880892,0.0857952576440241,*,18255,340,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.386263628433634,,adequate,75,265,estimated,-0.0005433367437659,0.0191855149620218,0.977406806250778,,36506,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.226595621284779,,adequate,0.0008020311387388,wald_test_R_beta_eq_q_chi2,341.0
race_color_b,race_black_combined,Negra (preta e parda),saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,0.0220057456887699,0.0097718678295204,0.0249632065903542,**,18263,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1275014285324169,,adequate,75,266,estimated,0.0066612407832755,0.0079682988446149,0.4031730513567837,,36522,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.6745774382986869,,adequate,0.698842063684176,wald_test_R_beta_eq_q_chi2,341.0
