dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
education,fundamental_or_less,Fundamental ou menos,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0159666110955086,0.0319669771966014,0.6177699333618047,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.3502890383822306,,adequate,75,266,estimated,0.0478333016877985,0.0284354280552499,0.0925353501211312,*,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5103445806965698,,adequate,2.829705099161436,wald_test_R_beta_eq_q_chi2,341.0
education,fundamental_or_less,Fundamental ou menos,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0263889132186527,0.0309658252487687,0.394705888330503,,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0103498313176819,,adequate,75,266,estimated,0.0449767720733664,0.0272525980889644,0.0988680199207598,*,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2199023872931702,,adequate,2.723709239065266,wald_test_R_beta_eq_q_chi2,341.0
education,fundamental_or_less,Fundamental ou menos,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,0.0126622562013939,0.0216460176296518,0.5589597949876954,,16758,339,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.6844082282875417,,adequate,74,265,estimated,0.0432632243139485,0.0240617613454513,0.0721758393350779,*,35027,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.4793805655942935,,adequate,3.2328305144773593,wald_test_R_beta_eq_q_chi2,341.0
education,fundamental_or_less,Fundamental ou menos,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,0.2618304148570082,0.1788680611175873,0.1441701173737828,,17503,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,6.073203511203218e-06,,adequate,75,266,estimated,1.0546712493454125,0.3654684641616638,0.0039041217707578,***,35805,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0130316655693236,,adequate,8.327878838373575,wald_test_R_beta_eq_q_chi2,341.0
education,fundamental_or_less,Fundamental ou menos,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,-0.0101226995229867,0.0443149980870468,0.8194544180798897,,17480,336,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0073454752619896,,adequate,72,264,estimated,0.0061012577050279,0.0392387547426555,0.8764345601762371,,35774,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,fail,0.0113191409995789,,adequate,0.024177328169131,wald_test_R_beta_eq_q_chi2,341.0
education,fundamental_or_less,Fundamental ou menos,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,-0.0090780631523117,0.0153244502135511,0.5539838450021497,,17503,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0279090932380499,,adequate,75,266,estimated,-0.0038778576339452,0.0142545856755004,0.7855890976354505,,35805,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.1460227248757988,,adequate,0.0740072939612173,wald_test_R_beta_eq_q_chi2,341.0
education,high_school,Médio,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.024423003181877,0.0252429365191382,0.3339727025441461,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.203217660426529,,adequate,75,266,estimated,0.0108516901628943,0.0186858447467927,0.5614130765897408,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.4903296614119072,,adequate,0.337263465567571,wald_test_R_beta_eq_q_chi2,341.0
education,high_school,Médio,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0123561141830997,0.0292123685144146,0.6725805860920941,,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.9508956952884744,,adequate,75,266,estimated,0.0080414684414977,0.0190991239101009,0.6737268937878075,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.923517939974384,,adequate,0.1772735048575187,wald_test_R_beta_eq_q_chi2,341.0
education,high_school,Médio,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0229502893547069,0.0169887698056299,0.1776227653527908,,18149,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.994183144709044,,adequate,75,266,estimated,-0.0100663683941878,0.0177163556515939,0.5699016581378908,,36297,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.6438862338814837,,adequate,0.3228470778909872,wald_test_R_beta_eq_q_chi2,341.0
education,high_school,Médio,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.4628290883487772,0.3226350129345406,0.1523406583128097,,18238,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.4869729209627329,,adequate,75,266,estimated,0.2811416994451522,0.2490747387765263,0.2590057024294099,,36496,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.4782323895097997,,adequate,1.2740637652707638,wald_test_R_beta_eq_q_chi2,341.0
