dimension,panel,group_id,group_label,comparison,outcome,outcome_label,target_cbo_with_flows,power_status,pretrend_status,pretrend_p_value,pretrend_error,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,result_status,coef,se,p_value,stars,n_obs,n_cbo,error,model,wald_statistic,wald_test_method,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,estimate_se
canaries_age,Painel F: Idade estilo Canaries,age_22_25,22-25,target_vs_complement,ln_admissoes,Admissões (log),340,adequate,warning,0.08796016905827209,,pass,0.7236502000709657,,adequate,75,265,estimated,-0.013781353265028384,0.013407545395794428,0.30400608541087243,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,1.056538138259262,wald_test_R_beta_eq_q_chi2,estimated,-0.05190929033850014,0.026906224058401467,0.05452966008001314,*,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0138<br>(0,0134)"
canaries_age,Painel F: Idade estilo Canaries,age_22_25,22-25,target_vs_complement,ln_desligamentos,Demissões (log),340,adequate,pass,0.7329957198259034,,pass,0.17307064797125005,,adequate,75,265,estimated,-0.0014471572605359653,0.018530440504933278,0.9377515182155141,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.006099018753647223,wald_test_R_beta_eq_q_chi2,estimated,-0.05138692547464489,0.030420052573694435,0.09208921191041042,*,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0014<br>(0,0185)"
canaries_age,Painel F: Idade estilo Canaries,age_22_25,22-25,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),340,adequate,pass,0.5492675648996026,,pass,0.5401780851037397,,adequate,75,265,estimated,-0.021069383847845347,0.015859156368271315,0.18400268753007162,,36126,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,1.7649951170242821,wald_test_R_beta_eq_q_chi2,estimated,-0.03949538636516242,0.013369598210002234,0.0033547842974923636,***,17863,340,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0211<br>(0,0159)"
canaries_age,Painel F: Idade estilo Canaries,age_26_30,26-30,target_vs_complement,ln_admissoes,Admissões (log),341,adequate,pass,0.15343096456417005,,pass,0.642061265392373,,adequate,75,266,estimated,-0.027242697719337395,0.011721632573791581,0.020118071393458507,**,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,5.401619835284414,wald_test_R_beta_eq_q_chi2,estimated,-0.057524286084666115,0.02718083845865482,0.035040939997185605,**,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0272**<br>(0,0117)"
canaries_age,Painel F: Idade estilo Canaries,age_26_30,26-30,target_vs_complement,ln_desligamentos,Demissões (log),341,adequate,pass,0.9338099056443041,,pass,0.36321887125021046,,adequate,75,266,estimated,-0.034236557019345866,0.010494495300314651,0.0011049856368128166,***,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,10.642828218403457,wald_test_R_beta_eq_q_chi2,estimated,-0.07399221781761306,0.02783732908780811,0.008231439924998751,***,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0342***<br>(0,0105)"
canaries_age,Painel F: Idade estilo Canaries,age_26_30,26-30,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),341,adequate,pass,0.23409627810663247,,pass,0.29095000616101707,,adequate,75,266,estimated,-0.00501899292738362,0.012836985024021069,0.6958126801295911,,36290,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.15286466126499343,wald_test_R_beta_eq_q_chi2,estimated,-0.02170455137465603,0.013230453781795734,0.10182885913302275,,18036,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0050<br>(0,0128)"
canaries_age,Painel F: Idade estilo Canaries,age_31_34,31-34,target_vs_complement,ln_admissoes,Admissões (log),341,adequate,pass,0.308762592657142,,pass,0.14823397422584716,,adequate,75,266,estimated,0.012896143604725125,0.013397055477112452,0.33574312615815005,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.9266185915033934,wald_test_R_beta_eq_q_chi2,estimated,-0.030046961991901888,0.02826881213786505,0.28858097934457594,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"0,0129<br>(0,0134)"
canaries_age,Painel F: Idade estilo Canaries,age_31_34,31-34,target_vs_complement,ln_desligamentos,Demissões (log),341,adequate,pass,0.10959669215626677,,pass,0.7608798887345727,,adequate,75,266,estimated,-0.023986595156949293,0.011421314178653368,0.035714707363224206,**,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,4.410674957214717,wald_test_R_beta_eq_q_chi2,estimated,-0.0666866415906363,0.02635507855213735,0.011846826898516571,**,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"-0,0240**<br>(0,0114)"
canaries_age,Painel F: Idade estilo Canaries,age_31_34,31-34,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),341,adequate,pass,0.32480112922593474,,pass,0.5340100521511644,,adequate,75,266,estimated,0.005288021396174425,0.014688679549020194,0.7188422074579717,,36131,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.1296047428890184,wald_test_R_beta_eq_q_chi2,estimated,-0.01954335738631247,0.01346006491065191,0.1474400216906806,,17865,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"0,0053<br>(0,0147)"
canaries_age,Painel F: Idade estilo Canaries,age_35_40,35-40,target_vs_complement,ln_admissoes,Admissões (log),340,adequate,pass,0.546646546797037,,pass,0.2963696366528561,,adequate,75,265,estimated,0.0043856136062350535,0.011159710498031342,0.6943295822874925,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.15443825090100324,wald_test_R_beta_eq_q_chi2,estimated,-0.03971295186239451,0.026602416835369,0.13640837850531629,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,"0,0044<br>(0,0112)"
