dimension,panel,group_id,group_label,comparison,outcome,outcome_label,power_status,pretrend_status,pretrend_p_value,pretrend_error,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,result_status,coef,se,p_value,stars,n_obs,n_cbo,error,model,wald_statistic,wald_test_method,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,target_cbo_with_flows,estimate_se
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,ln_admissoes,Admissões (log),adequate,fail,0.0026692923602522,,fail,0.0143279026892439,,adequate,44,226,estimated,0.1399086361321736,0.0576627358105958,0.0152525324864156,**,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,5.887061308982394,wald_test_R_beta_eq_q_chi2,estimated,0.0167424607622023,0.0303601662413305,0.5817751788519998,,14519,270,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,1399**<br>(0,0577)"
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,ln_desligamentos,Demissões (log),adequate,pass,0.4542745274334072,,pass,0.2654580806977724,,adequate,44,226,estimated,0.1182256940973785,0.056206633620525,0.0354297914174122,**,18307,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,4.424341028360622,wald_test_R_beta_eq_q_chi2,estimated,-0.019632990807473,0.0327879873922259,0.5498194342672802,,14519,270,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,1182**<br>(0,0562)"
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,ln_salario_adm,Salário de admissão (log),adequate,pass,0.5252088417008562,,pass,0.8347072872506234,,adequate,44,226,estimated,0.0068786984157344,0.0275074716959164,0.802535887204353,,18307,341,,ln_salario_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0625332770564415,wald_test_R_beta_eq_q_chi2,estimated,-0.0173617493840323,0.018352785039455,0.3449971464277608,,14519,270,,ln_salario_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0069<br>(0,0275)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,ln_admissoes,Admissões (log),limited,fail,0.0017768825075954,,warning,0.0547597423378025,,limited,28,32,estimated,-0.150959201818854,0.0610399396594378,0.0133938508140399,**,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,6.11633114400552,wald_test_R_beta_eq_q_chi2,estimated,-0.1381037875287809,0.0537275316136384,0.0127005263643851,**,3240,60,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,1510**<br>(0,0610)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,ln_desligamentos,Demissões (log),limited,pass,0.4949210681032969,,pass,0.9780608812206832,,limited,28,32,estimated,-0.1834841639725454,0.0568541300803307,0.0012497335521199,***,18307,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,10.41533245728621,wald_test_R_beta_eq_q_chi2,estimated,-0.189505844571745,0.0465651657094236,0.0001418650977562,***,3240,60,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,1835***<br>(0,0569)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,ln_salario_adm,Salário de admissão (log),limited,pass,0.5033438360952549,,pass,0.3395522246319635,,limited,28,32,estimated,-0.0107610294088378,0.0290991499073552,0.7115273214508184,,18307,341,,ln_salario_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.1367562025788145,wald_test_R_beta_eq_q_chi2,estimated,-0.0250460368382152,0.0231268898281535,0.2832219985354081,,3240,60,,ln_salario_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0108<br>(0,0291)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,ln_admissoes,Admissões (log),thin,pass,0.9945292802500464,,pass,0.8527153696454524,,thin,3,7,estimated,0.0083673310741959,0.1473924349507456,0.954729154823372,,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0032227270136405,wald_test_R_beta_eq_q_chi2,estimated,-0.022861507926946,0.1463334191546975,0.8793008225210202,,540,10,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0084<br>(0,1474)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,ln_desligamentos,Demissões (log),thin,pass,0.6588585877336812,,pass,0.9704496137576336,,thin,3,7,estimated,0.2452727750885716,0.1243351087698603,0.0485325888244417,**,18307,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,3.891447112432503,wald_test_R_beta_eq_q_chi2,estimated,0.1956628303224075,0.135956748189133,0.1839631718843517,,540,10,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,2453**<br>(0,1243)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,ln_salario_adm,Salário de admissão (log),thin,pass,0.8274947120307288,,pass,0.9709642857606566,,thin,3,7,estimated,0.0155219907793006,0.0338812110805412,0.6468592261065054,,18307,341,,ln_salario_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.2098828683022377,wald_test_R_beta_eq_q_chi2,estimated,-0.0045641005612441,0.0376417431304894,0.906156165779398,,540,10,,ln_salario_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0155<br>(0,0339)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_up_to_1sm,Até 1 salário mínimo,target_vs_complement,ln_admissoes,Admissões (log),thin,fail,0.0202710702847115,,fail,0.0452578686404094,,thin,1,6,estimated,0.0126114146604942,0.1276909182418372,0.92132472720599,,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0097545578968936,wald_test_R_beta_eq_q_chi2,estimated,0.0239974603627471,0.1419436826487863,0.8713025419463754,,378,7,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0126<br>(0,1277)"
