dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-12,estimated,-0.2595473330612555,0.2267782110638582,0.026186092240812,75,77.14006943735187,73.28076151278681,81.20262658243726,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-11,estimated,0.0176516336475137,0.1852161704524817,0.0213869211738023,75,101.7808344441978,97.60253379876184,106.13800540789455,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-10,estimated,0.0625155196206682,0.205113158941675,0.0236844275058621,75,106.45109795962622,101.6224248377798,111.50920945744984,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-9,estimated,0.1053142774059488,0.1668128309337845,0.0192618865687808,75,111.10597364634378,106.98954995486332,115.38077676847828,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-8,estimated,0.0668623186575594,0.2064234999022812,0.0238357326471293,75,106.91482662720982,102.03485480187275,112.02819051315524,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-7,estimated,0.024180149904709,0.1999228236168805,0.0230850992064712,75,102.4474860315935,97.91537071465812,107.1893750448963,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-6,estimated,0.0068227241834056,0.1467130499364007,0.0169409637748823,75,100.68460519889304,97.39633885387153,104.08388901831908,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-5,estimated,0.0034683404702369,0.1285803663217414,0.0148471818216716,75,100.34743621227469,97.46935784428968,103.31049857190038,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-4,estimated,0.1286910433011419,0.2515415806082825,0.0290455198553151,75,113.73386814737285,107.4399417844934,120.3964982567678,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-3,estimated,0.0385718445301886,0.1710870010256441,0.0197554252194002,75,103.93253955204926,99.98512221686836,108.03580110957648,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-2,estimated,-0.0664920509917994,0.1696357605387932,0.0195878504022518,75,93.56703534780829,90.04287521843372,97.22912648601994,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-1,estimated,-0.1280384676683182,0.2069850271528771,0.0239005722289871,75,87.98195338876644,83.95547482895465,92.20154061273212,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,0,estimated,-0.4603942220887347,0.2407262802442871,0.0277966765400112,75,63.103482859739344,59.75748637135451,66.63683148055341,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,1,estimated,-0.0391931356262312,0.1577595529412494,0.018216504071573,75,96.15649787570322,92.78386001201292,99.65172911024624,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,2,estimated,-0.0836922123443163,0.2476468544600375,0.0285957956172933,75,91.97142892408203,86.95843224889593,97.2734158100564,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,3,estimated,0.0370582276865174,0.2002630041011957,0.0231243798653096,75,103.775344506124,99.1768508943331,108.58705464280952,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,4,estimated,-0.0432275560603143,0.2082962591733969,0.0240519802609905,75,95.76934363242648,91.35936072968838,100.39219962279468,adequate,75,266
