case_order,case_id,case_label_pt,cbo_6d,cbo_title,primary_included,variant_membership,mapping_confidence,semantic_rationale,source_name,source_url,retrieved_on
1,software_developers,Desenvolvedores de software,212205,Engenheiro de aplicativos em computação,True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,212215,Engenheiros de sistemas operacionais em computação,True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,212405,Analista de desenvolvimento de sistemas,True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,212415,Analista de sistemas de automação,True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,317105,Desenvolvedor web (técnico),True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,317110,Desenvolvedor de sistemas de tecnologia da informação (técnico),True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
1,software_developers,Desenvolvedores de software,317120,Desenvolvedor de multimídia,True,primary,high,"Software design, development, testing, implementation, and maintenance.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
2,customer_service,Atendimento ao cliente,422315,Operador de telemarketing receptivo,True,primary;customer_extended,high,"Inbound customer assistance, problem identification, response, and technical support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
2,customer_service,Atendimento ao cliente,422320,Operador de telemarketing técnico,True,primary;customer_extended,high,"Inbound customer assistance, problem identification, response, and technical support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
2,customer_service,Atendimento ao cliente,422310,Operador de telemarketing ativo e receptivo,False,customer_extended,high,Mixed active and inbound telemarketing; included only in the expanded customer-service sensitivity.,MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
