case_id,variant_id,cbo_6d,cbo_4d,pre_admissions,within_case_pre_admission_share_pct,exposure_category,exposure_score_4d,cbo_title,mapping_confidence
customer_service,primary,422315,4223,135106,84.26166732,Exposed: Gradient 3,0.535,Operador de telemarketing receptivo,high
customer_service,primary,422320,4223,25235,15.73833268,Exposed: Gradient 3,0.535,Operador de telemarketing técnico,high
health_care_aides,primary,322220,3222,748,0.5060858858,Minimal Exposure,0.22,Técnico de enfermagem psiquiátrica,medium
health_care_aides,primary,322230,3222,53152,35.96186765,Minimal Exposure,0.22,Auxiliar de enfermagem,medium
health_care_aides,primary,322235,3222,1188,0.8037834656,Minimal Exposure,0.22,Auxiliar de enfermagem do trabalho,medium
health_care_aides,primary,322250,3222,506,0.3423522168,Minimal Exposure,0.22,Auxiliar de enfermagem da estratégia de saúde da família,medium
health_care_aides,primary,515110,5151,16599,11.2306412,Not Exposed,0.17,Atendente de enfermagem,medium
health_care_aides,primary,516210,5162,54421,36.82045453,Not Exposed,0.215,Cuidador de idosos,medium
health_care_aides,primary,516220,5162,21187,14.33481506,Not Exposed,0.215,Cuidador em saúde,medium
marketing_sales_managers,primary,142315,1423,20601,30.23689309,Exposed: Gradient 2,0.465,Gerente de marketing,high
marketing_sales_managers,primary,142320,1423,47531,69.76310691,Exposed: Gradient 2,0.465,Gerente de vendas,high
production_supervisors,primary,720105,7201,207,0.3288167363,No score,,Mestre (afiador de ferramentas),medium
production_supervisors,primary,720110,7201,3369,5.35161152,No score,,Mestre de caldeiraria,medium
production_supervisors,primary,720115,7201,163,0.2589233237,No score,,Mestre de ferramentaria,medium
production_supervisors,primary,720120,7201,49,0.07783584579,No score,,Mestre de forjaria,medium
production_supervisors,primary,720125,7201,528,0.8387209506,No score,,Mestre de fundição,medium
production_supervisors,primary,720130,7201,145,0.2303305641,No score,,Mestre de galvanoplastia,medium
production_supervisors,primary,720135,7201,1946,3.091195019,No score,,Mestre de pintura (tratamento de superfícies),medium
production_supervisors,primary,720140,7201,1738,2.760789796,No score,,Mestre de soldagem,medium
production_supervisors,primary,720145,7201,781,1.240608073,No score,,Mestre de trefilação de metais,medium
production_supervisors,primary,720150,7201,950,1.509062316,No score,,Mestre de usinagem,medium
production_supervisors,primary,720155,7201,586,0.9308531762,No score,,Mestre serralheiro,medium
production_supervisors,primary,720160,7201,133,0.2112687243,No score,,Supervisor de controle de tratamento térmico,medium
production_supervisors,primary,720205,7202,398,0.6322176862,Minimal Exposure,0.31,Mestre (construção naval),medium
production_supervisors,primary,720210,7202,822,1.305736025,Minimal Exposure,0.31,Mestre (indústria de automotores e material de transportes),medium
production_supervisors,primary,720215,7202,2117,3.362826235,Minimal Exposure,0.31,Mestre (indústria de máquinas e outros equipamentos mecânicos),medium
