case_id,variant_id,dimension,group_id,period,value,support_value,baseline_value,baseline_support,support_status,path_index,outcome,baseline_rule
customer_service,customer_extended,age,age_22_25,2021-01,8056,8056,6883,6883,adequate,1.170419875,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-02,7840,7840,6883,6883,adequate,1.13903821,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-03,6456,6456,6883,6883,adequate,0.9379630975,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-04,6867,6867,6883,6883,adequate,0.9976754322,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-05,7451,7451,6883,6883,adequate,1.082522156,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-06,7370,7370,6883,6883,adequate,1.070754032,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-07,7437,7437,6883,6883,adequate,1.080488159,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-08,8276,8276,6883,6883,adequate,1.202382682,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-09,7131,7131,6883,6883,adequate,1.036030801,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-10,8566,8566,6883,6883,adequate,1.244515473,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-11,7677,7677,6883,6883,adequate,1.115356676,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-12,7310,7310,6883,6883,adequate,1.062036903,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-01,7492,7492,6883,6883,adequate,1.088478861,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-02,7488,7488,6883,6883,adequate,1.087897719,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-03,6893,6893,6883,6883,adequate,1.001452855,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-04,6665,6665,6883,6883,adequate,0.9683277641,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-05,7553,7553,6883,6883,adequate,1.097341276,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-06,7387,7387,6883,6883,adequate,1.073223885,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-07,6051,6051,6883,6883,adequate,0.8791224757,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-08,6492,6492,6883,6883,adequate,0.943193375,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-09,6230,6230,6883,6883,adequate,0.9051285777,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-10,6883,6883,6883,6883,adequate,1,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-11,6208,6208,6883,6883,adequate,0.901932297,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2022-12,5380,5380,6883,6883,adequate,0.7816359146,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-01,6301,6301,6883,6883,adequate,0.9154438472,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-02,5512,5512,6883,6883,adequate,0.8008135987,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-03,6659,6659,6883,6883,adequate,0.9674560511,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-04,5904,5904,6883,6883,adequate,0.8577655092,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-05,5852,5852,6883,6883,adequate,0.850210664,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-06,6262,6262,6883,6883,adequate,0.9097777132,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-07,5927,5927,6883,6883,adequate,0.8611070754,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-08,6223,6223,6883,6883,adequate,0.9041115793,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-09,5786,5786,6883,6883,adequate,0.8406218219,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-10,7018,7018,6883,6883,adequate,1.019613541,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-11,6625,6625,6883,6883,adequate,0.9625163446,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2023-12,5639,5639,6883,6883,adequate,0.8192648554,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-01,6305,6305,6883,6883,adequate,0.9160249891,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-02,6227,6227,6883,6883,adequate,0.9046927212,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-03,5819,5819,6883,6883,adequate,0.8454162429,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-04,5953,5953,6883,6883,adequate,0.864884498,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-05,5929,5929,6883,6883,adequate,0.8613976464,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-06,5535,5535,6883,6883,adequate,0.8041551649,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-07,6062,6062,6883,6883,adequate,0.880720616,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-08,6260,6260,6883,6883,adequate,0.9094871422,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-09,5720,5720,6883,6883,adequate,0.8310329798,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-10,6753,6753,6883,6883,adequate,0.9811128868,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-11,6036,6036,6883,6883,adequate,0.8769431934,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2024-12,5250,5250,6883,6883,adequate,0.7627488014,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-01,6199,6199,6883,6883,adequate,0.9006247276,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-02,6475,6475,6883,6883,adequate,0.9407235217,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-03,6147,6147,6883,6883,adequate,0.8930698823,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-04,5397,5397,6883,6883,adequate,0.7841057678,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-05,5324,5324,6883,6883,adequate,0.7734999274,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2025-06,5740,5740,6883,6883,adequate,0.8339386895,admissions,2022-10
customer_service,customer_extended,age,age_22_25,2021-01,1417.901877,8049,1394.709544,6873,adequate,1.016628791,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-02,1395.445445,7835,1394.709544,6873,adequate,1.000527638,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-03,1422.637459,6442,1394.709544,6873,adequate,1.02002418,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-04,1416.036607,6860,1394.709544,6873,adequate,1.015291402,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-05,1426.901501,7441,1394.709544,6873,adequate,1.023081478,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-06,1421.377443,7360,1394.709544,6873,adequate,1.019120755,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-07,1426.609633,7435,1394.709544,6873,adequate,1.02287221,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-08,1440.235564,8267,1394.709544,6873,adequate,1.032641937,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-09,1407.003435,7120,1394.709544,6873,adequate,1.008814661,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-10,1364.875352,8558,1394.709544,6873,adequate,0.9786090287,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-11,1345.65006,7668,1394.709544,6873,adequate,0.9648245876,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2021-12,1313.755551,7303,1394.709544,6873,adequate,0.9419563787,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-01,1357.619291,7477,1394.709544,6873,adequate,0.9734064682,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-02,1363.471058,7466,1394.709544,6873,adequate,0.9776021571,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-03,1374.236588,6874,1394.709544,6873,adequate,0.9853209897,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-04,1381.58139,6639,1394.709544,6873,adequate,0.9905871774,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-05,1380.474843,7504,1394.709544,6873,adequate,0.9897937882,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-06,1396.060796,7369,1394.709544,6873,adequate,1.000968841,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-07,1408.947376,6022,1394.709544,6873,adequate,1.010208457,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-08,1407.427538,6471,1394.709544,6873,adequate,1.00911874,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-09,1417.159818,6222,1394.709544,6873,adequate,1.016096738,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-10,1394.709544,6873,1394.709544,6873,adequate,1,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-11,1409.948436,6201,1394.709544,6873,adequate,1.010926212,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2022-12,1410.063897,5373,1394.709544,6873,adequate,1.011008997,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-01,1433.75996,6296,1394.709544,6873,adequate,1.02799896,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-02,1425.516017,5496,1394.709544,6873,adequate,1.022088092,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-03,1433.606255,6653,1394.709544,6873,adequate,1.027888754,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-04,1424.652565,5895,1394.709544,6873,adequate,1.021469002,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-05,1443.496377,5834,1394.709544,6873,adequate,1.034979924,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-06,1449.414591,6253,1394.709544,6873,adequate,1.039223255,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-07,1448.661748,5920,1394.709544,6873,adequate,1.03868347,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-08,1462.902435,6217,1394.709544,6873,adequate,1.048893974,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-09,1457.206924,5780,1394.709544,6873,adequate,1.044810319,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-10,1438.447575,7006,1394.709544,6873,adequate,1.031359957,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-11,1433.852165,6620,1394.709544,6873,adequate,1.02806507,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2023-12,1425.852949,5633,1394.709544,6873,adequate,1.022329671,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-01,1461.084785,6296,1394.709544,6873,adequate,1.047590727,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-02,1450.538948,6218,1394.709544,6873,adequate,1.040029413,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-03,1477.324448,5812,1394.709544,6873,adequate,1.059234487,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-04,1477.000511,5932,1394.709544,6873,adequate,1.059002226,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-05,1492.48749,5919,1394.709544,6873,adequate,1.070106315,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-06,1496.637531,5530,1394.709544,6873,adequate,1.073081874,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-07,1502.532256,6047,1394.709544,6873,adequate,1.077308363,real_admission_wage,2022-10
customer_service,customer_extended,age,age_22_25,2024-08,1512.972218,6254,1394.709544,6873,adequate,1.084793766,real_admission_wage,2022-10
