cbo_4d,source_cbo_title,source_cbo_2d_title,source_cbo_3d_title,mte_match_status,target_isco08_codes,target_isco08_titles,target_isco08_2d_codes,target_isco08_2d_titles,candidate_scores_mte_4d,candidate_scores_mte_2d,exposure_score_mte_4d,exposure_score_mte_2d,exposure_score_2d,exposure_score_4d,current_alta_exp,current_alta_exp_4d,stage2_panel_rows,stage2_admissoes,stage3_exposure_score_2d,stage3_exposure_score_4d,stage3_current_alta_exp,stage3_current_alta_exp_4d,stage3_panel_rows,stage3_admissoes,target_isco08_code_list,scored_target_isco08_code_list,missing_score_target_isco08_code_list,target_isco08_2d_code_list,n_target_isco08_4d,n_scored_target_isco08_4d,n_missing_score_target_isco08_4d,n_target_isco08_2d,target_scores_list,target_sds_list,target_score_sd_pairs_list,target_gradient_labels_list,target_gradient_numbers_list,target_isco08_titles_from_ilo,target_scores,target_sds,target_gradients,min_target_score,max_target_score,mean_target_score,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,cbo_ilo_gradient_number,trat_alta_expo,trat_media_expo,trat_expostos,treatment_rule_source,has_missing_target_score,mte2d_valid,mte2d_top20_treatment,baseline_mte2d_top20_treatment,role__baseline_mte2d_top20_vs_rest,treated__baseline_mte2d_top20_vs_rest,included__baseline_mte2d_top20_vs_rest,role__trat_alta_expo,treated__trat_alta_expo,included__trat_alta_expo,role__trat_media_expo,treated__trat_media_expo,included__trat_media_expo,role__trat_expostos,treated__trat_expostos,included__trat_expostos
5211,Operadores do comércio em lojas e mercados,VENDEDORES E PRESTADORES DE SERVIÇOS DO COMÉRCIO,VENDEDORES E DEMONSTRADORES,matched_official_mte,"5222, 5223, 5242, 5245, 5246, 5249",Shop Supervisors; Shop Sales Assistants; Sales Demonstrators; Service Station Attendants; Food Service Counter Attendants; Sales Workers Not Elsewhere Classified,52,Sales Workers,"0.360000, 0.380000, 0.420000, 0.240000, 0.240000",0.362500,0.328,0.3625,0.3625,0.32799999999999996,0.0,0.0,54,12166180,0.3625,0.32799999999999996,0.0,0.0,35467,10274105,5222; 5223; 5242; 5245; 5246; 5249,5222; 5223; 5242; 5245; 5246,5249,52,6,5,1,1,0.36; 0.38; 0.42; 0.24; 0.24,"[0.12, 0.16, 0.11, 0.16, 0.13]","[(0.36, 0.12), (0.38, 0.16), (0.42, 0.11), (0.24, 0.16), (0.24, 0.13)]",Minimal Exposure; Exposed: Gradient 1; Exposed: Gradient 2; Minimal Exposure; Not Exposed,0; 1; 2; 0; 0,Food Service Counter Attendants; Sales Demonstrators; Service Station Attendants; Shop Sales Assistants; Shop Supervisors,"0,240000; 0,360000; 0,380000; 0,420000","0,110000; 0,120000; 0,130000; 0,160000",Exposed: Gradient 1; Exposed: Gradient 2; Minimal Exposure; Not Exposed,0.24,0.42,0.32799999999999996,0.32799999999999996,0.1563841424185969,Minimal Exposure,0,False,False,False,ilo_mean_sd_crosswalk,True,True,False,False,control,0,1,excluded,0,0,excluded,0,0,excluded,0,0
4110,"Agentes, assistentes e auxiliares administrativos",ESCRITURÁRIOS,"ESCRITURÁRIOS EM GERAL, AGENTES, ASSISTENTES E AUXILIARES ADMINISTRATIVOS",matched_official_mte,"3341, 4311, 4313, 4312","Office Supervisors; Accounting and Bookkeeping Clerks; Payroll Clerks; Statistical, Finance and Insurance Clerks","33, 43",Business and Administration Associate Professionals; Numerical and Material Recording Clerks,"0.430000, 0.640000, 0.610000, 0.640000","0.464583, 0.533333",0.58,0.498958,0.4989583333333333,0.5800000000000001,1.0,1.0,54,7169112,0.4989583333333333,0.5800000000000001,1.0,1.0,35363,6195426,3341; 4311; 4312; 4313,3341; 4311; 4312; 4313,,33; 43,4,4,0,2,0.43; 0.64; 0.64; 0.61,"[0.11, 0.07, 0.02, 0.08]","[(0.43, 0.11), (0.64, 0.07), (0.64, 0.02), (0.61, 0.08)]",Exposed: Gradient 2; Exposed: Gradient 4; Exposed: Gradient 4; Exposed: Gradient 4,2; 4; 4; 4,"Accounting and Bookkeeping Clerks; Office Supervisors; Payroll Clerks; Statistical, Finance and Insurance Clerks","0,430000; 0,610000; 0,640000","0,020000; 0,070000; 0,080000; 0,110000",Exposed: Gradient 2; Exposed: Gradient 4,0.43,0.64,0.58,0.58,0.11661903789690602,Exposed: Gradient 3,3,True,False,True,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,treated,1,1,excluded,0,0,treated,1,1
5143,Trabalhadores nos  serviços de manutenção de edificações,TRABALHADORES DOS SERVIÇOS,"TRABALHADORES NOS SERVIÇOS DE ADMINISTRAÇÃO, CONSERVAÇÃO E MANUTENÇÃO DE EDIFÍCIOS E LOGRADOUROS",matched_official_mte,"9112, 9412, 7133, 7544","Cleaners and Helpers in Offices, Hotels and Other Establishments; Kitchen Helpers; Building Structure Cleaners; Fumigators and Other Pest and Weed Controllers","91, 94, 71, 75","Cleaners and Helpers; Food Preparation Assistants; Building and Related Trades Workers (excluding Electricians); Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","0.120000, 0.130000, 0.090000, 0.130000","0.116667, 0.155000, 0.125000, 0.174000",0.1175,0.142667,0.14266666666666666,0.1175,0.0,0.0,54,5844301,0.14266666666666666,0.1175,0.0,0.0,35087,5173143,7133; 7544; 9112; 9412,7133; 7544; 9112; 9412,,71; 75; 91; 94,4,4,0,4,0.09; 0.13; 0.12; 0.13,"[0.01, 0.04, 0.02, 0.02]","[(0.09, 0.01), (0.13, 0.04), (0.12, 0.02), (0.13, 0.02)]",Not Exposed; Not Exposed; Not Exposed; Not Exposed,0; 0; 0; 0,"Building Structure Cleaners; Cleaners and Helpers in Offices, Hotels and Other Establishments; Fumigators and Other Pest and Weed Controllers; Kitchen Helpers","0,090000; 0,120000; 0,130000","0,010000; 0,020000; 0,040000",Not Exposed,0.09,0.13,0.1175,0.1175,0.029895651857753495,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
7842,Alimentadores de linhas de produção,TRABALHADORES DE FUNÇÕES TRANSVERSAIS,EMBALADORES E ALIMENTADORES DE PRODUÇÃO,matched_official_mte,9329,Manufacturing Labourers Not Elsewhere Classified,93,"Labourers in Mining, Construction, Manufacturing and Transport",0.120000,0.143333,0.12,0.143333,0.14333333333333334,0.12,0.0,0.0,54,4983905,0.14333333333333334,0.12,0.0,0.0,33297,3666406,9329,9329,,93,1,1,0,1,0.12,[0.02],"[(0.12, 0.02)]",Not Exposed,0,Manufacturing Labourers Not Elsewhere Classified,"0,120000","0,020000",Not Exposed,0.12,0.12,0.12,0.12,0.02,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
4141,Almoxarifes e armazenistas,ESCRITURÁRIOS,ESCRITURÁRIOS DE CONTROLE DE MATERIAIS E DE APOIO À PRODUÇÃO,matched_official_mte,"3341, 4321",Office Supervisors; Stock Clerks,"33, 43",Business and Administration Associate Professionals; Numerical and Material Recording Clerks,"0.430000, 0.370000","0.464583, 0.533333",0.4,0.498958,0.4989583333333333,0.4,1.0,1.0,54,4019302,0.4989583333333333,0.4,1.0,1.0,34575,3613651,3341; 4321,3341; 4321,,33; 43,2,2,0,2,0.43; 0.37,"[0.11, 0.06]","[(0.43, 0.11), (0.37, 0.06)]",Exposed: Gradient 2; Minimal Exposure,2; 0,Office Supervisors; Stock Clerks,"0,370000; 0,430000","0,060000; 0,110000",Exposed: Gradient 2; Minimal Exposure,0.37,0.43,0.4,0.4,0.09354143466934853,Minimal Exposure,0,False,False,False,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,excluded,0,0,excluded,0,0,excluded,0,0
7170,Ajudantes de obras civis,TRABALHADORES DA INDÚSTRIA EXTRATIVA E DA CONSTRUÇÃO CIVIL,AJUDANTES DE OBRAS,matched_official_mte,9313,Building Construction Labourers,93,"Labourers in Mining, Construction, Manufacturing and Transport",0.090000,0.143333,0.09,0.143333,0.14333333333333334,0.09,0.0,0.0,54,3507665,0.14333333333333334,0.09,0.0,0.0,34594,2940978,9313,9313,,93,1,1,0,1,0.09,[0.02],"[(0.09, 0.02)]",Not Exposed,0,Building Construction Labourers,"0,090000","0,020000",Not Exposed,0.09,0.09,0.09,0.09,0.02,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
4211,Caixas e bilheteiros (exceto caixa de banco),TRABALHADORES DE ATENDIMENTO AO PÚBLICO,"CAIXAS, BILHETEIROS E AFINS",matched_official_mte,"4211, 4212, 5230","Bank Tellers and Related Clerks; Bookmakers, Croupiers and Related Gaming Workers; Cashiers and Ticket Clerks","42, 52",Customer Services Clerks; Sales Workers,"0.580000, 0.450000, 0.390000","0.520000, 0.362500",0.473333,0.44125,0.44125000000000003,0.47333333333333333,1.0,1.0,54,2970155,0.44125000000000003,0.47333333333333333,1.0,1.0,35274,2461172,4211; 4212; 5230,4211; 4212; 5230,,42; 52,3,3,0,2,0.58; 0.45; 0.39,"[0.09, 0.19, 0.14]","[(0.58, 0.09), (0.45, 0.19), (0.39, 0.14)]",Exposed: Gradient 3; Exposed: Gradient 2; Exposed: Gradient 1,3; 2; 1,"Bank Tellers and Related Clerks; Bookmakers, Croupiers and Related Gaming Workers; Cashiers and Ticket Clerks","0,390000; 0,450000; 0,580000","0,090000; 0,140000; 0,190000",Exposed: Gradient 1; Exposed: Gradient 2; Exposed: Gradient 3,0.39,0.58,0.47333333333333333,0.47333333333333333,0.16599866130651642,Exposed: Gradient 2,2,False,True,True,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,excluded,0,0,treated,1,1,treated,1,1
5134,"Trabalhadores no atendimento em estabelecimentos de serviços de alimentação, bebidas e hotelaria",TRABALHADORES DOS SERVIÇOS,TRABALHADORES DOS SERVIÇOS DE HOTELARIA E ALIMENTAÇÃO,matched_official_mte,"5131, 5132",Waiters; Bartenders,51,Personal Service Workers,"0.280000, 0.260000",0.222941,0.27,0.222941,0.22294117647058823,0.27,0.0,0.0,54,2865186,0.22294117647058823,0.27,0.0,0.0,33862,2572608,5131; 5132,5131; 5132,,51,2,2,0,1,0.28; 0.26,"[0.16, 0.12]","[(0.28, 0.16), (0.26, 0.12)]",Minimal Exposure; Not Exposed,0; 0,Bartenders; Waiters,"0,260000; 0,280000","0,120000; 0,160000",Minimal Exposure; Not Exposed,0.26,0.28,0.27,0.27,0.14177446878757824,Minimal Exposure,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,excluded,0,0,excluded,0,0,excluded,0,0
7825,Motoristas de veículos de cargas em geral,TRABALHADORES DE FUNÇÕES TRANSVERSAIS,CONDUTORES DE VEÍCULOS E OPERADORES DE EQUIPAMENTOS DE ELEVAÇÃO E DE MOVIMENTAÇÃO DE CARGAS,matched_official_mte,8332,Heavy Truck and Lorry Drivers,83,Drivers and Mobile Plant Operators,0.240000,0.190000,0.24,0.19,0.18999999999999997,0.24,0.0,0.0,54,2620156,0.18999999999999997,0.24,0.0,0.0,34662,1801889,8332,8332,,83,1,1,0,1,0.24,[0.22],"[(0.24, 0.22)]",Minimal Exposure,0,Heavy Truck and Lorry Drivers,"0,240000","0,220000",Minimal Exposure,0.24,0.24,0.24,0.24,0.22,Minimal Exposure,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,excluded,0,0,excluded,0,0,excluded,0,0
4221,Recepcionistas,TRABALHADORES DE ATENDIMENTO AO PÚBLICO,TRABALHADORES DE INFORMAÇÕES AO PÚBLICO,matched_official_mte,"3341, 4222, 4224, 4225, 4226, 4229",Office Supervisors; Contact Centre Information Clerks; Hotel Receptionists; Inquiry Clerks; Receptionists (general); Client Information Workers Not Elsewhere Classified,"33, 42",Business and Administration Associate Professionals; Customer Services Clerks,"0.430000, 0.580000, 0.510000, 0.570000, 0.570000, 0.420000","0.464583, 0.520000",0.513333,0.492292,0.4922916666666667,0.5133333333333333,1.0,1.0,54,1954988,0.4922916666666667,0.5133333333333333,1.0,1.0,34572,1723410,3341; 4222; 4224; 4225; 4226; 4229,3341; 4222; 4224; 4225; 4226; 4229,,33; 42,6,6,0,2,0.43; 0.58; 0.51; 0.57; 0.57; 0.42,"[0.11, 0.06, 0.07, 0.09, 0.17, 0.13]","[(0.43, 0.11), (0.58, 0.06), (0.51, 0.07), (0.57, 0.09), (0.57, 0.17), (0.42, 0.13)]",Exposed: Gradient 2; Exposed: Gradient 3; Exposed: Gradient 3; Exposed: Gradient 3; Exposed: Gradient 3; Exposed: Gradient 2,2; 3; 3; 3; 3; 2,Client Information Workers Not Elsewhere Classified; Contact Centre Information Clerks; Hotel Receptionists; Inquiry Clerks; Office Supervisors; Receptionists (general),"0,420000; 0,430000; 0,510000; 0,570000; 0,580000","0,060000; 0,070000; 0,090000; 0,110000; 0,130000; 0,170000",Exposed: Gradient 2; Exposed: Gradient 3,0.42,0.58,0.5133333333333333,0.5133333333333333,0.12976474439881153,Exposed: Gradient 3,3,True,False,True,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,treated,1,1,excluded,0,0,treated,1,1
