Dimension,Category,Population (M),Exposure Mean,Low (%),Moderate (%),High (%),High (M)
Sex,Homem,53.71,0.259,74.8,18.4,6.8,3.63
Sex,Mulher,42.23,0.303,64.6,20.9,14.5,6.14
Race,Branca,41.54,0.305,64.9,22.6,12.5,5.19
Race,Negra,53.39,0.257,74.6,17.0,8.4,4.46
Race,Outras,1.02,0.301,65.4,23.0,11.7,0.12
Age,18-24,15.00,0.304,61.9,21.9,16.2,2.44
Age,25-34,24.57,0.293,67.5,19.9,12.6,3.08
Age,35-44,25.50,0.276,71.5,19.6,8.8,2.25
Age,45-54,19.90,0.258,75.3,17.9,6.8,1.35
Age,55+,10.98,0.252,76.1,18.0,5.9,0.65
Education,No instruction,1.39,0.183,88.4,9.7,1.9,0.03
Education,No/Fund. incomplete,15.04,0.179,90.8,8.6,0.6,0.09
Education,Fund. complete,5.95,0.204,85.3,12.6,2.1,0.12
Education,High school incomplete,5.89,0.218,81.6,14.8,3.5,0.21
Education,High school complete,37.19,0.275,69.2,21.1,9.7,3.61
Education,College incomplete,6.41,0.359,49.8,28.7,21.6,1.38
Education,College complete,24.08,0.364,57.2,24.8,18.0,4.34
Income,Até 1 SM,29.66,0.237,76.8,15.7,7.6,2.25
Income,1-2 SM,38.71,0.276,70.3,18.8,10.9,4.23
Income,2-3 SM,9.99,0.303,68.1,20.0,11.8,1.18
Income,3-5 SM,9.11,0.332,62.1,25.5,12.4,1.13
Income,5+ SM,7.46,0.365,56.9,30.8,12.3,0.92
Formality,Formal,41.34,0.305,65.2,19.9,14.8,6.14
Formality,Informal,54.60,0.258,74.2,19.2,6.7,3.64
