dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
income,low_income,Até 2 salários mínimos,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,0.0167424607622023,0.0303601662413305,0.5817751788519998,,14519,270,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0143279026892439,,adequate,44,226,estimated,0.1399086361321736,0.0576627358105958,0.0152525324864156,**,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0026692923602522,,adequate,5.887061308982394,wald_test_R_beta_eq_q_chi2,
income,low_income,Até 2 salários mínimos,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.019632990807473,0.0327879873922259,0.5498194342672802,,14519,270,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.2654580806977724,,adequate,44,226,estimated,0.1182256940973785,0.056206633620525,0.0354297914174122,**,18307,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.4542745274334072,,adequate,4.424341028360622,wald_test_R_beta_eq_q_chi2,
income,low_income,Até 2 salários mínimos,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0173617493840324,0.018352785039455,0.3449971464277603,,14519,270,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.8347072872506227,,adequate,44,226,estimated,0.0068786984157344,0.0275074716959164,0.8025358872043509,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5252088417008576,,adequate,0.0625332770564429,wald_test_R_beta_eq_q_chi2,
income,low_income,Até 2 salários mínimos,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,0.096186425347483,0.3781129001366363,0.7993921314430714,,14519,270,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1696734590710575,,adequate,44,226,estimated,1.552637040616506,0.8390438160546116,0.0642438419757949,*,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.020009769460795,,adequate,3.424290521301753,wald_test_R_beta_eq_q_chi2,
income,low_income,Até 2 salários mínimos,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,0.0294151381497112,0.0188981600207497,0.1207630294879431,,14519,270,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0006982141826112,,adequate,44,226,estimated,-0.0124276913527925,0.0462821793067663,0.7882990727873533,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0004943375206163,,adequate,0.072102996959977,wald_test_R_beta_eq_q_chi2,
income,low_income,Até 2 salários mínimos,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,0.0173290466481194,0.0083684714903213,0.0393355965868669,**,14519,270,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.000682163024082,,adequate,44,226,estimated,0.0103465045958374,0.0209922161318365,0.6221020549605203,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0001091039749605,,adequate,0.2429241723400441,wald_test_R_beta_eq_q_chi2,
income,middle_income,Mais de 2 até 5 salários mínimos,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.1381037875287809,0.0537275316136384,0.0127005263643851,**,3240,60,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0547597423378025,,limited,28,32,estimated,-0.150959201818854,0.0610399396594378,0.0133938508140399,**,18307,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0017768825075954,,limited,6.11633114400552,wald_test_R_beta_eq_q_chi2,
income,middle_income,Mais de 2 até 5 salários mínimos,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.189505844571745,0.0465651657094236,0.0001418650977562,***,3240,60,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.9780608812206832,,limited,28,32,estimated,-0.1834841639725454,0.0568541300803307,0.0012497335521199,***,18307,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.4949210681032969,,limited,10.41533245728621,wald_test_R_beta_eq_q_chi2,
income,middle_income,Mais de 2 até 5 salários mínimos,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0250460368382152,0.0231268898281535,0.2832219985354074,,3240,60,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.339552224631964,,limited,28,32,estimated,-0.0107610294088378,0.0290991499073552,0.7115273214508198,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5033438360952565,,limited,0.1367562025788132,wald_test_R_beta_eq_q_chi2,
income,middle_income,Mais de 2 até 5 salários mínimos,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-1.0278933947836142,0.8018345050957694,0.2048828408283354,,3240,60,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0788197827242522,,limited,28,32,estimated,-0.8888471182854379,0.8800057116870655,0.3124727786462472,,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0251969772851479,,limited,1.0201949174470608,wald_test_R_beta_eq_q_chi2,
