dimension,group_id,group_label,outcome,outcome_label,outcome_role,comparison,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,ddd_result_status,ddd_coef,ddd_se,ddd_p_value,ddd_stars,ddd_n_obs,ddd_n_cbo,ddd_error,ddd_model,ddd_pretrend_status,ddd_pretrend_p_value,ddd_pretrend_error,ddd_power_status,ddd_wald_statistic,ddd_wald_test_method,target_cbo_with_flows
age_pnad,age_18_24,18–24,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0339395710087354,0.0271565547090385,0.2122414996183046,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.5046194256761893,,adequate,75,266,estimated,0.0059804100652741,0.0157428201167332,0.7040331945731336,,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.256403081882379,,adequate,0.144310144436443,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_18_24,18–24,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0302518489326357,0.0319486254168062,0.3443670677752,,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.1149007108813244,,adequate,75,266,estimated,0.0208842459638318,0.0214621341631813,0.3305164967085067,,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.4331606559400827,,adequate,0.9468731205684572,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_18_24,18–24,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.038647917351986,0.0155920253347466,0.013672311000205,**,17947,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.9021703564203304,,adequate,75,266,estimated,-0.0199371658038169,0.0191441220663443,0.297678381568293,,36212,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.92837214398074,,adequate,1.0845658653465469,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_18_24,18–24,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.0699208083026311,0.2033614221106139,0.7311908046613982,,18119,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0075703996384632,,adequate,75,266,estimated,0.7359046509251415,0.3988572886585236,0.0650328145347824,*,36425,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.2981784635967359,,adequate,3.404144838057732,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_18_24,18–24,saldo_per_pre_adm,Saldo líquido / admissões pré,balance_robustness,target_vs_complement,estimated,-0.0088408072357584,0.0201969225753669,0.661861301878214,,18111,340,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,fail,0.0282395022523302,,adequate,75,265,estimated,-0.0199539504236453,0.0174839598321734,0.2537568307584137,,36409,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.8647370768426217,,adequate,1.3025013364693945,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_18_24,18–24,saldo_flow_rate,Saldo líquido / fluxo total,balance_robustness,target_vs_complement,estimated,-0.0091699244259635,0.0110032110714313,0.4052137355205834,,18119,341,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,warning,0.0635420940218358,,adequate,75,266,estimated,-0.0111684862526609,0.0099978489006409,0.263956306560919,,36425,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.7962671149233627,,adequate,1.2478876600852966,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_25_34,25–34,ln_admissoes,Admissões (log),primary,target_vs_complement,estimated,-0.0389945841036704,0.0275973838510299,0.1585760302360666,,18307,341,,ln_admissoes ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.4420187604993191,,adequate,75,266,estimated,-0.0196667796602757,0.011678672832889,0.09218341276059,*,36614,341,,ln_admissoes ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.3549795511753957,,adequate,2.835825606682529,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_25_34,25–34,ln_desligamentos,Desligamentos (log),primary,target_vs_complement,estimated,-0.0722320699509669,0.0270740435016604,0.0079971372694687,***,18307,341,,ln_desligamentos ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.540196162312375,,adequate,75,266,estimated,-0.0568851205107663,0.0115773306699524,8.946842908077548e-07,***,36614,341,,ln_desligamentos ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.5458663596555757,,adequate,24.142402685601187,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_25_34,25–34,ln_salario_real_adm,Salário real de admissão (log),primary,target_vs_complement,estimated,-0.0182754965928608,0.0137466270024385,0.1845898192356161,,18181,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.744269430694334,,adequate,75,266,estimated,-0.0015512883822938,0.0132465157820051,0.9067735482962886,,36436,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.8053589790605469,,adequate,0.0137145561716685,wald_test_R_beta_eq_q_chi2,341.0
age_pnad,age_25_34,25–34,asinh_saldo,Saldo líquido (asinh),primary,target_vs_complement,estimated,-0.6195765863274127,0.3557777369269395,0.0825055073543892,*,18272,341,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,pass,0.8114491243745314,,adequate,75,266,estimated,-0.0324930458131492,0.2200835325014231,0.8826271972960421,,36565,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,pass,0.385432247644327,,adequate,0.0217974529747988,wald_test_R_beta_eq_q_chi2,341.0
