dimension,panel,group_id,group_label,comparison,outcome,outcome_label,power_status,pretrend_status,pretrend_p_value,pretrend_error,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,result_status,coef,se,p_value,stars,n_obs,n_cbo,error,model,wald_statistic,wald_test_method,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,target_cbo_with_flows,estimate_se
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),adequate,pass,0.5252088417008576,,pass,0.8347072872506227,,adequate,44,226,estimated,0.0068786984157344,0.0275074716959164,0.8025358872043509,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0625332770564429,wald_test_R_beta_eq_q_chi2,estimated,-0.0173617493840324,0.018352785039455,0.3449971464277603,,14519,270,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0069<br>(0,0275)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),limited,pass,0.5033438360952565,,pass,0.339552224631964,,limited,28,32,estimated,-0.0107610294088378,0.0290991499073552,0.7115273214508198,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.1367562025788132,wald_test_R_beta_eq_q_chi2,estimated,-0.0250460368382152,0.0231268898281535,0.2832219985354074,,3240,60,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0108<br>(0,0291)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),thin,pass,0.8274947120307292,,pass,0.9709642857606572,,thin,3,7,estimated,0.0155219907793008,0.0338812110805413,0.6468592261065018,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.2098828683022422,wald_test_R_beta_eq_q_chi2,estimated,-0.0045641005612439,0.0376417431304894,0.9061561657794016,,540,10,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0155<br>(0,0339)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_up_to_1sm,Até 1 salário mínimo,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),thin,pass,0.216994038056079,,pass,0.2897838322497328,,thin,1,6,estimated,0.0578263141117415,0.0428809813023686,0.1774877950150238,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.818534695324943,wald_test_R_beta_eq_q_chi2,estimated,0.0697703091279374,0.0545263658345938,0.2479460154173753,,378,7,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0578<br>(0,0429)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_1_2sm,Mais de 1 até 2 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),adequate,pass,0.8657425987552645,,pass,0.686594081148129,,adequate,43,220,estimated,0.0012395534460735,0.0271878545613029,0.9636353054582976,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0020786464985039,wald_test_R_beta_eq_q_chi2,estimated,-0.0190299041826191,0.0187352587467517,0.3106965636712462,,14141,263,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0012<br>(0,0272)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_2_3sm,Mais de 2 até 3 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),limited,pass,0.1047440558704786,,pass,0.1477942717242348,,limited,16,25,estimated,-0.0467601187735362,0.0335802252281019,0.1637741493332371,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.939027649177013,wald_test_R_beta_eq_q_chi2,estimated,-0.0571346769464885,0.0288389963939211,0.0544769835656147,*,2214,41,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0468<br>(0,0336)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_3_5sm,Mais de 3 até 5 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),thin,pass,0.8120112818219622,,pass,0.8414185838201551,,thin,12,7,estimated,0.0369464896355038,0.0335595335848818,0.2709298175833341,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.2120332393229991,wald_test_R_beta_eq_q_chi2,estimated,0.0105389948310989,0.0332099758568939,0.7546339503685413,,1026,19,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0369<br>(0,0336)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_5_plus_sm,Mais de 5 salários mínimos,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),thin,pass,0.8274947120307292,,pass,0.9709642857606572,,thin,3,7,estimated,0.0155219907793008,0.0338812110805413,0.6468592261065018,,18307,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.2098828683022422,wald_test_R_beta_eq_q_chi2,estimated,-0.0045641005612439,0.0376417431304894,0.9061561657794016,,540,10,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0155<br>(0,0339)"
age,Painel B: Idade,age_14_24,14-24,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),adequate,pass,0.9617185627648516,,pass,0.9806563014956204,,adequate,75,266,estimated,-0.0179851780218201,0.0196178706484287,0.3592604311072556,,36220,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.8404768359868747,wald_test_R_beta_eq_q_chi2,estimated,-0.0367245785213874,0.0158700547798654,0.0212607339094963,**,17955,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,341.0,"-0,0180<br>(0,0196)"
age,Painel B: Idade,age_25_34,25-34,target_vs_complement,ln_salario_real_adm,Salário real de admissão (log),adequate,pass,0.8696597279377354,,pass,0.744269430694334,,adequate,75,266,estimated,-0.0015215328229919,0.0131079677208231,0.9075915620316746,,36436,341,,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo + subgroup,0.0134738567142216,wald_test_R_beta_eq_q_chi2,estimated,-0.0182754965928608,0.0137466270024385,0.1845898192356161,,18181,341,,ln_salario_real_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,341.0,"-0,0015<br>(0,0131)"
