dimension,panel,group_id,group_label,comparison,outcome,outcome_label,power_status,pretrend_status,pretrend_p_value,pretrend_error,group_pretrend_status,group_pretrend_p_value,group_pretrend_error,group_power_status,group_treated_cbo,group_control_cbo,result_status,coef,se,p_value,stars,n_obs,n_cbo,error,model,wald_statistic,wald_test_method,group_result_status,group_coef,group_se,group_p_value,group_stars,group_n_obs,group_n_cbo,group_error,group_model,target_cbo_with_flows,estimate_se
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),adequate,fail,0.020009769460795,,pass,0.1696734590710575,,adequate,44,226,estimated,1.552637040616506,0.8390438160546116,0.0642438419757949,*,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,3.424290521301753,wald_test_R_beta_eq_q_chi2,estimated,0.096186425347483,0.3781129001366363,0.7993921314430714,,14519,270,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"1,5526*<br>(0,8390)"
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,adequate,fail,0.0004943375206163,,fail,0.0006982141826112,,adequate,44,226,estimated,-0.0124276913527925,0.0462821793067663,0.7882990727873533,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.072102996959977,wald_test_R_beta_eq_q_chi2,estimated,0.0294151381497112,0.0188981600207497,0.1207630294879431,,14519,270,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0124<br>(0,0463)"
income,Painel A: Renda,low_income,Baixa renda: até 2 salários mínimos,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,adequate,fail,0.0001091039749605,,fail,0.000682163024082,,adequate,44,226,estimated,0.0103465045958374,0.0209922161318365,0.6221020549605203,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.2429241723400441,wald_test_R_beta_eq_q_chi2,estimated,0.0173290466481194,0.0083684714903213,0.0393355965868669,**,14519,270,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0103<br>(0,0210)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),limited,fail,0.0251969772851479,,warning,0.0788197827242522,,limited,28,32,estimated,-0.8888471182854379,0.8800057116870655,0.3124727786462472,,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.0201949174470608,wald_test_R_beta_eq_q_chi2,estimated,-1.0278933947836142,0.8018345050957694,0.2048828408283354,,3240,60,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,8888<br>(0,8800)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,limited,fail,0.0005488448643384,,fail,0.044198272857779,,limited,28,32,estimated,0.056631620394362,0.0487490013725055,0.2453581334120444,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.3495423860862534,wald_test_R_beta_eq_q_chi2,estimated,0.0729772912349414,0.0470381623224456,0.1261422570149437,,3240,60,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0566<br>(0,0487)"
income,Painel A: Renda,middle_income,Média renda: mais de 2 até 5 salários mínimos,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,limited,fail,8.477322913669205e-05,,fail,0.0270551898967938,,limited,28,32,estimated,0.0169110567198897,0.0215103379745314,0.431760428941029,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.618083320611171,wald_test_R_beta_eq_q_chi2,estimated,0.0250123099189593,0.0202061111021712,0.2206718628663695,,3240,60,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0169<br>(0,0215)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),thin,pass,0.3390156676967688,,pass,0.6186402986716186,,thin,3,7,estimated,-3.438940806592816,2.058527961481145,0.0948041697110956,*,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,2.790845919141371,wald_test_R_beta_eq_q_chi2,estimated,-3.9567732164901503,2.1676643309804917,0.1012381964754614,,540,10,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-3,4389*<br>(2,0585)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,thin,pass,0.8419349322822525,,pass,0.8277273362374011,,thin,3,7,estimated,-0.1566825727895942,0.1033550992828536,0.1295285459926633,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,2.298145765669653,wald_test_R_beta_eq_q_chi2,estimated,-0.1427948608923662,0.0965379945804149,0.1732251841903882,,540,10,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,1567<br>(0,1034)"
income,Painel A: Renda,high_income,Alta renda: mais de 5 salários mínimos,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,thin,pass,0.7280077399204596,,pass,0.8261309065349662,,thin,3,7,estimated,-0.1193517686221519,0.0450349026988972,0.0080442709611633,***,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,7.023591757709047,wald_test_R_beta_eq_q_chi2,estimated,-0.1098224630683444,0.0455142481636972,0.0390612215896528,**,540,10,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,1194***<br>(0,0450)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_up_to_1sm,Até 1 salário mínimo,target_vs_complement,asinh_saldo,Saldo líquido (asinh),thin,fail,0.0,,fail,0.0002394587649618,,thin,1,6,estimated,-0.3212879269349739,0.506499809703013,0.5258656074174155,,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.4023743050518753,wald_test_R_beta_eq_q_chi2,estimated,-1.200136214625673,0.4403731776227269,0.0344012144861878,**,378,7,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,3213<br>(0,5065)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_up_to_1sm,Até 1 salário mínimo,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,thin,pass,0.1658294696310307,,pass,0.5214968916839213,,thin,1,6,estimated,0.0861347572727339,0.0733856059772758,0.2405038998416941,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.3776379534701508,wald_test_R_beta_eq_q_chi2,estimated,0.1080096406335075,0.1008471101022232,0.3253380782931683,,378,7,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0861<br>(0,0734)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_up_to_1sm,Até 1 salário mínimo,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,thin,pass,0.3449864807796747,,pass,0.8008390163760621,,thin,1,6,estimated,0.0327245930825686,0.028627335859914,0.2529871341124696,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,1.3067323519986835,wald_test_R_beta_eq_q_chi2,estimated,0.0447496241764594,0.0321145484398212,0.2129166872529055,,378,7,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0327<br>(0,0286)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_1_2sm,Mais de 1 até 2 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),adequate,fail,0.0035353659905226,,fail,0.0332903308999805,,adequate,43,220,estimated,1.751618157591224,0.8133896160784493,0.031280985152089,**,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,4.637475512896233,wald_test_R_beta_eq_q_chi2,estimated,0.1249120428611066,0.3868233579974037,0.7470152611362169,,14141,263,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"1,7516**<br>(0,8134)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_1_2sm,Mais de 1 até 2 salários mínimos,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,adequate,fail,0.0003838773983617,,fail,0.0004389534357636,,adequate,43,220,estimated,-0.0097580256816805,0.0446872995481556,0.8271467642738741,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0476821348295098,wald_test_R_beta_eq_q_chi2,estimated,0.0275176673281308,0.0191042069187453,0.150948644380878,,14141,263,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0098<br>(0,0447)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_1_2sm,Mais de 1 até 2 salários mínimos,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,adequate,fail,0.0001792826701207,,fail,0.0005411324972937,,adequate,43,220,estimated,0.0132542943774597,0.0202759265345726,0.5133076075468415,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.4273186090756991,wald_test_R_beta_eq_q_chi2,estimated,0.0167365322755996,0.0085101367884477,0.050277997598314,*,14141,263,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,0133<br>(0,0203)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_2_3sm,Mais de 2 até 3 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),limited,fail,0.0123990060071994,,warning,0.0751435071841686,,limited,16,25,estimated,-1.716175382414932,1.1426784843150062,0.1331259731801614,,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,2.255668297860987,wald_test_R_beta_eq_q_chi2,estimated,-1.9383720779918383,1.1111980087907507,0.0887702249348314,*,2214,41,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-1,7162<br>(1,1427)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_2_3sm,Mais de 2 até 3 salários mínimos,target_vs_complement,saldo_per_pre_adm,Saldo líquido / admissões pré,limited,fail,0.0306825187339057,,pass,0.2395961252651759,,limited,16,25,estimated,-0.0045287980498078,0.048111752876124,0.9250052498072262,,18299,340,,saldo_per_pre_adm ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.0088606085345365,wald_test_R_beta_eq_q_chi2,estimated,0.0117757919122157,0.0432413853280473,0.786771556436707,,2214,41,,saldo_per_pre_adm ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0045<br>(0,0481)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_2_3sm,Mais de 2 até 3 salários mínimos,target_vs_complement,saldo_flow_rate,Saldo líquido / fluxo total,limited,fail,0.0020798305954878,,pass,0.1108005499507309,,limited,16,25,estimated,-0.016721500986276,0.0202662698498766,0.4093203734772259,,18307,341,,saldo_flow_rate ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.6807738660312066,wald_test_R_beta_eq_q_chi2,estimated,-0.0058845311960176,0.0177237809970974,0.7416127398849528,,2214,41,,saldo_flow_rate ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"-0,0167<br>(0,0203)"
income_pnad,Painel A.2: Renda — faixas PNAD/IBGE,income_3_5sm,Mais de 3 até 5 salários mínimos,target_vs_complement,asinh_saldo,Saldo líquido (asinh),thin,pass,0.2545703170768061,,pass,0.4945674371996515,,thin,12,7,estimated,0.7211479260342395,1.1089379870112983,0.5154952231164059,,18307,341,,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,0.422896602866157,wald_test_R_beta_eq_q_chi2,estimated,0.0278905075372559,1.057339570078182,0.9792460838145336,,1026,19,,asinh_saldo ~ post_treat + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,"0,7211<br>(1,1089)"
