dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-12,estimated,-0.2582703838338959,0.2399056577832867,0.0277019192202589,75,77.23863630846974,73.1567237461415,81.54830661216855,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-11,estimated,0.036344221758503,0.2425768219209338,0.028010358687043,75,103.70127474123728,98.1615022832852,109.55368584236452,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-10,estimated,0.0904924539506861,0.2501557174842244,0.0288854941657681,75,109.47132468503332,103.44572420837686,115.84790980974682,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-9,estimated,0.1153689502991402,0.1844714723388121,0.0213009308425239,75,112.22874294788508,107.63967557107252,117.01345880911748,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-8,estimated,0.0495480820743157,0.2331159477571995,0.0269179110380027,75,105.07961154570977,99.67941262624404,110.77236985734548,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-7,estimated,0.0130633967442392,0.1774879661573452,0.0204945450077724,75,101.31490956779494,97.3258156862458,105.46750446789308,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-6,estimated,0.0146964827990682,0.1758226708762522,0.0203022532720086,75,101.4805007092461,97.52163515115058,105.600075390838,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-5,estimated,-0.0109193700388623,0.2647335188282272,0.0305687936717987,75,98.91400298823302,93.16163360625848,105.0215588587414,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-4,estimated,0.1135766191411528,0.2553550649786134,0.0294858631008673,75,112.02777203209573,105.73696135566348,118.69285390432674,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-3,estimated,0.0380814618031422,0.2246221896535406,0.0259371363324869,75,103.88158532443252,98.73256789763974,109.29912995583425,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-2,estimated,-0.0682517880041097,0.2167249677313865,0.0250252436919657,75,93.40252676095162,88.93172320762967,98.09808795633262,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-1,estimated,-0.1337301266933799,0.2450687234993634,0.028298098696463,75,87.48261249677685,82.76256005238248,92.47185544305675,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,0,estimated,-0.4613551626937845,0.349697080206878,0.0403795406784534,75,63.04287328650329,58.24574971773697,68.23508825070245,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,1,estimated,-0.0007433157406878,0.2392387229638413,0.0276249082207512,75,99.92569604500208,94.659103162905,105.4853088233264,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,2,estimated,-0.0797121934986892,0.2944739206703442,0.0340029194736695,75,92.33820635083154,86.38484629481079,98.70185244053545,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,3,estimated,0.0443284190186632,0.3020284768467552,0.0348752444820813,75,104.53256033295295,97.62592916617696,111.92780712143214,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,4,estimated,-0.0513643562439295,0.2330542347153391,0.0269107850297366,75,94.99324936350322,90.11266232476494,100.13817361333012,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,5,estimated,-0.019813212225577,0.2825936658235246,0.032631105806899,75,98.03817795359046,91.96425844304962,104.51325872879129,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,6,estimated,-0.1168860604820825,0.2878899232171449,0.0332426649332798,75,88.96865578460788,83.35665935089645,94.95848050723151,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,7,estimated,-0.0826389542990506,0.2998122079209745,0.0346193317899021,75,92.0683496038138,86.0283885654461,98.53236983884132,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,8,estimated,0.0048671557184385,0.2736660084791134,0.0316002287326933,75,100.48790195607457,94.45286182574064,106.90854934775264,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,9,estimated,-0.0505625314615261,0.3517956134075595,0.0406218584201167,75,95.06944784983877,87.7936181712913,102.9482564078755,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,10,estimated,-0.1136472166954023,0.295533642644983,0.0341252856271343,75,89.25727851226227,83.48253175759656,95.43148248724026,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,11,estimated,-0.1306407279525163,0.3385515600417189,0.0390925668649308,75,87.75329908377766,81.28065374987239,94.74138241781829,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,12,estimated,-0.3822622521232659,0.3712785067946182,0.042871549168439,75,68.23160908962168,62.73250268748837,74.21276498645844,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,13,estimated,0.0606719737421173,0.27974831455732,0.0323025529430025,75,106.25503126122278,99.73624544254432,113.19988654302622,adequate,75,266
