dimension,group_id,group_label,outcome,outcome_label,estimand,window_rule,t,is_reference,is_pre,result_status,n_obs_input,n_obs,n_cbo,sample_count_source,formula,error,coef,se,p_value,ci_low,ci_high,coefficient_status,power_status,treated_cbo,control_cbo
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-12,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,0.1450377559937959,0.0433303283476965,0.0009075242017853,0.0601103124323107,0.2299651995552811,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-11,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.0525103523408958,0.0444071550535643,0.2378435267994867,-0.1395483762458818,0.0345276715640902,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-10,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1344929984891943,0.0495377017811448,0.0069665990909399,-0.2315868939802383,-0.0373991029981503,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-9,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.0689291898685313,0.0419370646120505,0.1011761495738752,-0.1511258365081504,0.0132674567710878,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-8,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.0407799254940499,0.0384452193363475,0.2895663791966201,-0.1161325553932911,0.0345727044051913,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-7,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1558041218048978,0.0379118576104623,4.971511592044564e-05,-0.2301113627214039,-0.0814968808883916,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-6,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1437746068880436,0.0398690007880095,0.0003572926610051,-0.2219178484325422,-0.0656313653435449,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-5,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.10606648548521,0.0362814221700871,0.0036939255831724,-0.1771780729385808,-0.0349548980318392,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-4,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.0811655638545945,0.0475479075102248,0.0887300073105468,-0.1743594625746352,0.0120283348654461,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-3,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.0823528962789915,0.0386917340072589,0.0340195706975456,-0.158188694933219,-0.006517097624764,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-2,False,True,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1040694225060541,0.0376828276054046,0.0060621179199147,-0.1779277646126471,-0.030211080399461,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,-1,True,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,0.0,0.0,,0.0,0.0,reference,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,0,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,0.0298957236082357,0.0371376805417437,0.4213839407347621,-0.0428941302535819,0.1026855774700535,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,1,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.111105310546332,0.037042897918048,0.0029049374369565,-0.1837093904657062,-0.0385012306269579,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,2,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.2144522233461481,0.045655926533923,3.835108326910586e-06,-0.3039378393526373,-0.1249666073396589,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,3,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1924940116771628,0.0398582445702172,2.0736430206280687e-06,-0.2706161710347887,-0.114371852319537,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,4,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1274440936777116,0.0403535140767154,0.0017297602333095,-0.2065369812680739,-0.0483512060873493,estimated,adequate,75,266
national,national,Nacional,ln_admissoes,Admissões (log),did,strict_no_tail_binning,5,False,False,estimated,12538,12538,341,pyfixest_retained_sample,ln_admissoes ~ did_tm12 + did_tm11 + did_tm10 + did_tm9 + did_tm8 + did_tm7 + did_tm6 + did_tm5 + did_tm4 + did_tm3 + did_tm2 + did_t0 + did_t1 + did_t2 + did_t3 + did_t4 + did_t5 + did_t6 + did_t7 + did_t8 + did_t9 + did_t10 + did_t11 + did_t12 + did_t13 + did_t14 + did_t15 + did_t16 + did_t17 + did_t18 + did_t19 + did_t20 + did_t21 + did_t22 + did_t23 + did_t24 + idade_media_adm + pct_mulher_adm + pct_superior_adm + pct_negra_adm | cbo_4d + periodo,,-0.1740057248144112,0.0449747915271085,0.0001310054470444,-0.2621563162075441,-0.0858551334212784,estimated,adequate,75,266
