ano,cbo_6d,positive_wage_records,lower_quantile,upper_quantile,lower_bound,upper_bound,raw_min,raw_max,records_below_lower_bound,records_above_upper_bound
2021,142315,10889,0.01,0.99,1100,35000,5,2750000,85,102
2021,142320,23825,0.01,0.99,1100,32000,0.01,484000,195,238
2021,212205,4754,0.01,0.99,2000,32883.4338,10.77,505900,43,48
2021,212215,3915,0.01,0.99,1675.66,37645,0.01,2420000,32,40
2021,212405,104114,0.01,0.99,1239,18000,0.01,3460000,935,892
2021,212415,4170,0.01,0.99,1100,15000,2,572088,24,37
2021,317105,3263,0.01,0.99,1100,14767.5,2.5,35879.3,27,33
2021,317110,44960,0.01,0.99,1000,16000,0.01,842160,423,418
2021,317120,1112,0.01,0.99,627.5,15000,8.39,28834.14,10,11
2021,322220,453,0.01,0.99,47.6,2763.4,45.75,4000,4,4
2021,322230,30452,0.01,0.99,1005.71,3508.14,0.01,325600,301,256
2021,322235,670,0.01,0.99,814.76,4249.706,12.09,20000,7,7
2021,322250,279,0.01,0.99,1100,3774.89,867.93,4127.36,1,1
2021,414105,211035,0.01,0.99,11.28,3000,0.01,990000,1343,1835
2021,414110,141909,0.01,0.99,750,2275,1,29160000,1391,1415
2021,414120,7750,0.01,0.99,853.1499,2870.5706,0.01,440000,78,78
2021,414125,66762,0.01,0.99,614.5706,2499.2,0.01,1157060,668,594
2021,414135,36542,0.01,0.99,900.64,2869.4179,0.01,439472,316,366
2021,414140,168661,0.01,0.99,550,2493.284,1,2072021,1321,1687
2021,422310,274706,0.01,0.99,712.5,2120,0.01,275000,2421,1354
2021,422315,73791,0.01,0.99,734,2603.75,5,424380,587,736
2021,422320,16311,0.01,0.99,831.67,3450.447,11,238500,80,164
2021,515110,8090,0.01,0.99,851.29,2797,0.01,503460,77,66
2021,516210,23786,0.01,0.99,693,2050.12,5,288000,196,238
2021,516220,8407,0.01,0.99,573.096,135000,5,300000,85,32
2021,521125,370340,0.01,0.99,516.66,1993.4,1,7.003022168e+10,2556,3699
2021,720105,101,0.01,0.99,1100,9000,1100,9885.88,0,1
2021,720110,1494,0.01,0.99,122.613,726000,75,1319868,15,14
2021,720115,81,0.01,0.99,1382.228,12692.74,1261.54,15463.7,1,1
2021,720120,27,0.01,0.99,1484.4,6703.332,1461,7301.8,1,1
2021,720125,267,0.01,0.99,1182.9,9507.48,1100,13500,3,3
2021,720130,74,0.01,0.99,1100,5756.23,1100,6449,0,1
2021,720135,992,0.01,0.99,1100,9027,9.3,655820,8,10
2021,720140,913,0.01,0.99,1118,10422.7632,75.25,841676,8,10
2021,720145,497,0.01,0.99,1509,7221.792,8.92,8653.91,4,5
2021,720150,526,0.01,0.99,1266.5,8000,1100,10000,6,4
2021,720155,303,0.01,0.99,577.55,5998,11.05,10457.84,2,4
2021,720160,51,0.01,0.99,1600,8750,1600,9000,0,1
2021,720205,145,0.01,0.99,1179.9568,13043.0752,880.86,23744.3,2,2
2021,720210,463,0.01,0.99,1388.8622,11804,1210,18500,5,5
2021,720215,1045,0.01,0.99,628,12037.6432,1.7,337500,6,11
2021,720220,80,0.01,0.99,1198.95,7635.8362,1198.95,14587.22,0,1
2021,730105,2128,0.01,0.99,1100,13146,6.5,762407.8,13,22
2021,740105,202,0.01,0.99,1250.5,9172.94,14.5,330000,3,3
2021,740110,6,0.01,0.99,2145.33,8750,2100,9000,1,1
2021,750105,40,0.01,0.99,1144.11,3683,1125,3800,1,1
