case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
customer_service,customer_extended,age,age_22_25,admissions,-14.56729139,adequate,6883,6883,6,-14.94296101,adequate,-18.74023807,adequate,6,-14.56729139,adequate,-14.56729139,adequate,-15.04151839,0.4742269925,-0.3756696187,-4.172946677,,
customer_service,customer_extended,age,age_22_25,real_admission_wage,9.57846593,adequate,1394.709544,6873,6,10.09477345,adequate,11.11043399,adequate,6,-9.640312142,adequate,-9.640312142,adequate,7.864218462,1.714247468,0.5163075215,1.53196806,-19.21877807,-19.21877807
customer_service,customer_extended,age,age_26_30,admissions,-7.58302583,adequate,5420,5420,6,-3.331017446,adequate,-5.333661467,adequate,6,-7.58302583,adequate,-7.58302583,adequate,-9.942244224,2.359218394,4.252008384,2.249364363,,
customer_service,customer_extended,age,age_26_30,real_admission_wage,9.42897479,adequate,1420.193589,5410,6,9.750642939,adequate,10.5247705,adequate,6,10.57175291,adequate,10.57175291,adequate,9.280331723,0.1486430675,0.321668149,1.095795715,1.142778124,1.142778124
customer_service,customer_extended,age,age_31_34,admissions,-2.508892276,adequate,2624,2624,6,3.640832422,adequate,2.238077148,adequate,6,-2.508892276,adequate,-2.508892276,adequate,-9.693053312,7.184161035,6.149724698,4.746969424,,
customer_service,customer_extended,age,age_31_34,real_admission_wage,9.289192252,adequate,1422.393276,2620,6,8.733186489,adequate,9.355917107,adequate,6,10.34037251,adequate,10.14989431,adequate,8.034800332,1.25439192,-0.5560057634,0.06672485494,1.051180256,0.8607020618
customer_service,customer_extended,age,age_35_40,admissions,1.520936744,adequate,2619,2619,6,10.28384974,adequate,9.889014307,adequate,6,1.520936744,adequate,1.520936744,adequate,0.1666666667,1.354270078,8.762912994,8.368077562,,
customer_service,customer_extended,age,age_35_40,real_admission_wage,8.596029811,adequate,1432.210432,2617,6,8.09820572,adequate,8.756518699,adequate,6,10.70573711,adequate,10.70573711,adequate,5.633553167,2.962476644,-0.4978240917,0.1604888879,2.109707294,2.109707294
customer_service,customer_extended,age,age_41_49,admissions,20.75523705,adequate,1814,1814,6,34.0903526,adequate,36.63246242,adequate,6,20.75523705,adequate,20.75523705,adequate,17.28395062,3.471286428,13.33511555,15.87722537,,
customer_service,customer_extended,age,age_41_49,real_admission_wage,8.491212427,adequate,1423.857219,1813,6,7.547290527,adequate,7.97805434,adequate,6,-2.141985021,adequate,-2.141985021,adequate,4.033541442,4.457670985,-0.9439219005,-0.513158087,-10.63319745,-10.63319745
customer_service,customer_extended,age,age_50_plus,admissions,35.51228558,adequate,719,719,6,61.55419223,adequate,70.06200908,adequate,6,35.51228558,adequate,35.51228558,adequate,29.6875,5.824785582,26.04190665,34.54972349,,
customer_service,customer_extended,age,age_50_plus,real_admission_wage,9.86167517,adequate,1380.860945,719,6,7.983429386,adequate,8.497361368,adequate,6,10.40342418,adequate,7.987599403,adequate,3.488592899,6.373082271,-1.878245784,-1.364313802,0.5417490097,-1.874075767
customer_service,customer_extended,education,education_other,admissions,-0.591563786,adequate,23976,23976,6,-0.3050697631,adequate,-4.703117603,adequate,6,-0.591563786,adequate,-0.591563786,adequate,-2.638596491,2.047032705,0.2864940229,-4.111553817,,
customer_service,customer_extended,education,education_other,real_admission_wage,9.290110631,adequate,1373.944733,23951,6,10.12293434,adequate,11.23770532,adequate,6,4.647155617,adequate,4.647155617,adequate,6.551326498,2.738784132,0.8328237121,1.947594688,-4.642955014,-4.642955014
customer_service,customer_extended,education,higher_education,admissions,9.006052651,adequate,4571,4571,6,1.477906085,adequate,-5.39251029,adequate,6,9.006052651,adequate,9.006052651,adequate,3.302154195,5.703898456,-7.528146566,-14.39856294,,
customer_service,customer_extended,education,higher_education,real_admission_wage,7.55054588,adequate,1500.199424,4564,6,7.560002153,adequate,8.420745797,adequate,6,-0.7503356259,adequate,-0.7503356259,adequate,6.362640876,1.187905003,0.009456273428,0.8701999173,-8.300881506,-8.300881506
customer_service,customer_extended,overall,all,admissions,0.9452248339,adequate,28547,28547,6,-0.00127238825,adequate,-4.824728255,adequate,6,0.9452248339,adequate,0.9452248339,adequate,-1.459669254,2.404894088,-0.9464972221,-5.769953089,,
