result_id,case_id,dimension,group_id,outcome,terminal_change_pct,support_status,terminal_months,alternative_normalization_change_pct,same_month_change_pct,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp,pre_months_observed,annualized_log_slope_pct,coefficient_of_variation,eligible_for_review,stable_across_time_baselines,selection_decision,selection_reason,selection_basis
customer_service__age__age_22_25__admissions,customer_service,age,age_22_25,admissions,-15.04151839,adequate,6,-29.89977292,-32.35132644,-14.85825454,-17.30980806,,,22,-10.65154761,0.0964552067,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_22_25__real_admission_wage,customer_service,age,age_22_25,real_admission_wage,7.864218462,adequate,6,11.80544499,12.81651621,3.941226528,4.952297745,-26.42362225,-26.42362225,22,0.593203615,0.02110544842,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_26_30__admissions,customer_service,age,age_26_30,admissions,-9.942244224,adequate,6,-22.92755261,-24.82421732,-12.98530838,-14.88197309,,,22,-5.827869354,0.09435376613,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_26_30__real_admission_wage,customer_service,age,age_26_30,real_admission_wage,9.280331723,adequate,6,12.45578614,13.1353625,3.175454416,3.855030776,3.033509571,3.033509571,22,-0.3440892082,0.02512317843,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_31_34__admissions,customer_service,age,age_31_34,admissions,-9.693053312,adequate,6,-18.01114696,-19.78954336,-8.318093652,-10.09649005,,,22,-11.53821355,0.09707121766,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_31_34__real_admission_wage,customer_service,age,age_31_34,real_admission_wage,8.034800332,adequate,6,10.32455508,11.25158493,2.289754752,3.216784594,2.970231021,2.970231021,22,-0.1149672354,0.02273216753,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_35_40__admissions,customer_service,age,age_35_40,admissions,0.1666666667,adequate,6,-11.37000442,-12.6355508,-11.53667109,-12.80221746,,,22,-2.316474363,0.08830875535,True,False,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_35_40__real_admission_wage,customer_service,age,age_35_40,real_admission_wage,5.633553167,adequate,6,8.197834659,8.961572319,2.564281492,3.328019152,6.637511833,6.637511833,22,0.4788076105,0.02656071445,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_41_49__admissions,customer_service,age,age_41_49,admissions,17.28395062,adequate,6,12.69276394,15.35456636,-4.591186679,-1.929384253,,,22,10.25957404,0.1009348125,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_41_49__real_admission_wage,customer_service,age,age_41_49,real_admission_wage,4.033541442,adequate,6,5.336473932,5.900973657,1.30293249,1.867432215,-0.1159091899,-0.1159091899,22,0.799649204,0.01968880024,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
