source_id,provider,url,vintage,acquired_at,bytes,schema,encoding,sha256,terms_url,redistribution_notes
novo_caged,Ministry of Labor and Employment,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/,202101-202605 official archive vintage,2026-07-25,manifest:data/vintage/manifest.json,official Novo CAGED semicolon-delimited layouts,UTF-8,manifest:data/vintage/manifest.json,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/dados-abertos/dados-abertos/,Raw archives stay in the full-mode cache; signed derived partitions enter the analytical bundle.
mte_pdet,Ministry of Labor and Employment,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/novo-caged,May 2026 release,2026-07-25,manifest:data/vintage/pdet/,official PDET workbook,binary,manifest:data/vintage/pdet/,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/dados-abertos/dados-abertos/,Used only to reconcile the official adjusted monthly series.
rais_2016_2024,Ministry of Labor and Employment via Base dos Dados,https://basedosdados.org/dataset/3e7c4d58-96ba-448e-b053-d385a829ef00,2016-2024,2026-07-30,manifest:data/derived/rais/vintage/manifest.json,occupation-year aggregates,UTF-8,4f6cdc8ce725e0fa5565a365f2d2a01a09a18b525171c8c115f30b21f0586c7c,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/dados-abertos/dados-abertos/,The bundle contains nonidentified CBO4-year aggregates.
pnadc_quarterly,Brazilian Institute of Geography and Statistics,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/,2012Q1-2026Q1 as registered by component,2026-07-30,manifest:data/derived/pnadc/vintage/manifest.json,IBGE fixed-width microdata parsed to Parquet,binary,07542c9114c6b6ae7cfacbf1314d3721596c22277443cdbc849b168181aa3bc5,https://www.ibge.gov.br/acesso-informacao/dados-abertos.html,The analytical bundle contains only the extracts and panels needed for reproduction.
pnadc_ilo_2025q3,Brazilian Institute of Geography and Statistics,https://basedosdados.org/dataset/2d5c857a-0e9a-4d3f-8a1e-0f39f70a5c81,2025Q3,2026-08-02,3962990,Section 3 PNAD-ILO analytical cross-section,binary,027f16541c3f7b9aea8df410a5c24519d547b1ad5d82710d34cfc9699dd05ec3,https://www.ibge.gov.br/acesso-informacao/dados-abertos.html,Frozen analytical extract for offline Section 3 reproduction.
ilo_nask_2025,International Labour Organization,https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure,ILO Working Paper 140 data release,2026-07-25,2598951,ISCO-08 occupation scores workbook,binary,c1940b87e7293b1eb95b530b6d3da7cd806b61d217c4bff1e69372b2cff5c90a,https://creativecommons.org/licenses/by/4.0/,The exact workbook is included when redistribution under the source license permits.
anatel_broadband,National Telecommunications Agency,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/acessos/acessos_banda_larga_fixa.zip,2021-2022 members from archive modified 2026-07-22,2026-07-30,4159,Anatel fixed-broadband access and density CSV member manifest,UTF-8,7fda3eb9676e4238785b028aef9c9d86ad8de6a092655b3eecca98e0b6347f4a,https://www.gov.br/anatel/pt-br/dados/dados-abertos,The reproduce bundle contains the analytical panel; extracted source members remain in the full cache.
pnad_tic_2021,Brazilian Institute of Geography and Statistics,https://servicodados.ibge.gov.br/api/v3/agregados/7334/periodos/2021/variaveis/10659,2021 table 7334,2026-07-30,8953,SIDRA Federative Unit percentages,UTF-8,845e9a5a28a3e4f2343f035f67a9a7daa7de01ac037dfb0679ba3565b24e390a,https://www.ibge.gov.br/acesso-informacao/dados-abertos.html,Frozen API response used by the spatial support gate.
ibge_municipality_crosscheck,IBGE via Base dos Dados,https://basedosdados.org/dataset/08a1546e-251f-4546-9fe0-b1e6ab2b203d,Population 2022; PIB 2021; occupied households from Census 2022,2026-07-30,196355,"Composite of basedosdados.br_ibge_populacao.municipio, basedosdados.br_ibge_pib.municipio, and basedosdados.br_ibge_censo_2022.setor_censitario",binary,66c65598a2a5d5c9d18459542587058719dd084f7b8efa97c45d00814392bd7f,https://www.ibge.gov.br/acesso-informacao/dados-abertos.html,Frozen municipality-level cross-check used for the spatial population filter and household-ratio validation.
occupation_crosswalks,MTE and ILO,https://www.gov.br/trabalho-e-emprego/pt-br/servicos/empregador/cbo,versions frozen in file names and bundle manifest,2026-07-25,manifest:data/vintage/crosswalk/,CBO-ISCO crosswalk and occupational metadata,mixed,manifest:data/vintage/crosswalk/,https://www.gov.br/trabalho-e-emprego/pt-br/acesso-a-informacao/dados-abertos/dados-abertos/,Small metadata files are redistributed with hashes.
concla_cnae20,IBGE CONCLA,https://concla.ibge.gov.br/classificacoes/por-tema/atividades-economicas/classificacao-nacional-de-atividades-economicas.html,CNAE 2.0,2026-07-25,manifest:data/vintage/cnae/,CNAE subclass and division metadata,mixed,manifest:data/vintage/cnae/,https://www.ibge.gov.br/acesso-informacao/dados-abertos.html,Small official classification metadata.
bcb_ipca,Central Bank of Brazil,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados,202101-202605,2026-07-25,manifest:data/vintage/ipca/,SGS series 433 JSON,UTF-8,manifest:data/vintage/ipca/,https://dadosabertos.bcb.gov.br/,Frozen inflation series used for real wages.
