artifact_id,caption,component,producer,input_contract,reference_path,command
table_3_1,Table 3.1: Final analytical data specification,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_1_base_specs.csv,python run_replication.py --target section3 --mode reproduce
table_3_2,Table 3.2: Employed population by AI exposure gradient,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_2_gradients.csv,python run_replication.py --target section3 --mode reproduce
figure_3_1,Figure 3.1: Distribution of AI exposure in Brazil,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_1_histogram_kde.png,python run_replication.py --target section3 --mode reproduce
figure_3_2,Figure 3.2: Employed population by AI exposure gradient,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_2_gradient_population.png,python run_replication.py --target section3 --mode reproduce
figure_3_3,Figure 3.3: Occupational composition by AI exposure score,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_3_score_by_occupation_group.png,python run_replication.py --target section3 --mode reproduce
table_3_3,Table 3.3: Largest occupations with high AI exposure,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_3_high_exposure_occupations.csv,python run_replication.py --target section3 --mode reproduce
table_3_4,Table 3.4: AI exposure by sector,section3,code.section3.pipeline,section3_analytic_2025q3,section3/tables/table_3_4_sector_exposure.csv,python run_replication.py --target section3 --mode reproduce
figure_3_4,Figure 3.4: High AI exposure by state,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_4_state_high_exposure.png,python run_replication.py --target section3 --mode reproduce
figure_3_5,Figure 3.5: AI exposure by sex,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_5_sex.png,python run_replication.py --target section3 --mode reproduce
figure_3_6,Figure 3.6: AI exposure by race or color,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_6_race.png,python run_replication.py --target section3 --mode reproduce
figure_3_7,Figure 3.7: AI exposure by age group,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_7_age.png,python run_replication.py --target section3 --mode reproduce
figure_3_8,Figure 3.8: AI exposure by education,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_8_education.png,python run_replication.py --target section3 --mode reproduce
figure_3_9,Figure 3.9: AI exposure by income group,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_9_income.png,python run_replication.py --target section3 --mode reproduce
figure_3_10,Figure 3.10: AI exposure by formality status,section3,code.section3.pipeline,section3_analytic_2025q3,section3/figures/figure_3_10_formality.png,python run_replication.py --target section3 --mode reproduce
table_4_2_1,Table 4.2.1: Occupation-month panel scope,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_1_panel_scope.csv,python run_replication.py --target caged --mode reproduce
table_4_2_2,Table 4.2.2: CBO treatment and control classification,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_2_treatment_classification.csv,python run_replication.py --target caged --mode reproduce
table_4_2_3,Table 4.2.3: Panel coverage by exposure group,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_2_3_panel_coverage.csv,python run_replication.py --target caged --mode reproduce
table_4_3_1,Table 4.3.1: Analysis outcomes,caged,code.render.phase8b_tables,caged_panel_202101_202605,caged/tables/table_4_3_1_outcomes.csv,python run_replication.py --target caged --mode reproduce
table_5_1,Table 5.1: National average results,caged,code.render.phase8b_tables,caged_model_contracts,caged/tables/table_5_1_national_results.csv,python run_replication.py --target caged --mode reproduce
figure_5_1,Figure 5.1: National event studies and trajectories,caged,code.render.phase8b_figures,caged_event_studies,caged/figures/figure_5_1_national_event_studies.png,python run_replication.py --target caged --mode reproduce
table_5_1_1,Table 5.1.1: Sector-control co-principal specifications,caged,code.render.phase8b_tables,caged_sector_models,caged/tables/table_5_1_1_sector_control.csv,python run_replication.py --target caged --mode reproduce
table_5_2_1,Table 5.2.1: Results by sex,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_1_sex.csv,python run_replication.py --target caged --mode reproduce
figure_5_2_1_1,Figure 5.2.1.1: Admissions by sex,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_1_1_sex_admissions.png,python run_replication.py --target caged --mode reproduce
figure_5_2_1_2,Figure 5.2.1.2: Real admission wage by sex,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_1_2_sex_wage.png,python run_replication.py --target caged --mode reproduce
table_5_2_2,Table 5.2.2: Results by race or color,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_2_race.csv,python run_replication.py --target caged --mode reproduce
figure_5_2_2_1,Figure 5.2.2.1: Admissions by race or color,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_2_1_race_admissions.png,python run_replication.py --target caged --mode reproduce
