cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient
1010,no_score,,,,0,0,,,No score
1011,no_score,,,,0,0,,,No score
1020,no_score,,,,0,0,,,No score
1021,no_score,,,,0,0,,,No score
1030,no_score,,,,0,0,,,No score
1031,no_score,,,,0,0,,,No score
1111,matched_official_mte,1110,1111,1111,1,1,0.31,0.04,Not Exposed
1112,no_score,,,,0,0,,,No score
1113,matched_official_mte,1110,1111,1111,1,1,0.31,0.04,Not Exposed
1114,no_score,,,,0,0,,,No score
1115,no_score,,,,0,0,,,No score
1130,no_score,,,,0,0,,,No score
1141,no_score,,,,0,0,,,No score
1142,no_score,,,,0,0,,,No score
1143,no_score,,,,0,0,,,No score
1144,no_score,,,,0,0,,,No score
1210,no_score,,,,0,0,,,No score
1221,no_score,,,,0,0,,,No score
1222,no_score,,,,0,0,,,No score
1223,no_score,,,,0,0,,,No score
1224,no_score,,,,0,0,,,No score
1225,no_score,,,,0,0,,,No score
1226,no_score,,,,0,0,,,No score
1227,no_score,,,,0,0,,,No score
1231,no_score,,,,0,0,,,No score
1232,no_score,,,,0,0,,,No score
1233,no_score,,,,0,0,,,No score
1234,no_score,,,,0,0,,,No score
1236,no_score,,,,0,0,,,No score
1237,no_score,,,,0,0,,,No score
1238,no_score,,,,0,0,,,No score
1311,no_score,,,,0,0,,,No score
1312,no_score,,,,0,0,,,No score
1313,matched_official_mte,2310,2310; 2320,2310; 2320,2,2,0.36,0.12041594578792296,Minimal Exposure
1411,no_score,,,,0,0,,,No score
1412,no_score,,,,0,0,,,No score
1413,no_score,,,,0,0,,,No score
1414,matched_official_mte,1314,1420; 5221,1420; 5221,2,2,0.435,0.12757350822173075,Exposed: Gradient 2
1415,matched_official_mte,1315,1411; 1412,1411; 1412,2,2,0.365,0.12519984025548914,Minimal Exposure
1416,matched_official_mte,1226,1324; 1330,1324; 1330,2,2,0.41000000000000003,0.06782329983125268,Minimal Exposure
1417,matched_official_mte,1317,1211; 1212; 1219; 1221; 1222; 1330; 1346,1211; 1212; 1219; 1221; 1222; 1330; 1346,7,7,0.4085714285714285,0.08708428945216097,Minimal Exposure
1418,no_score,,,,0,0,,,No score
1421,matched_official_mte,2149,2141; 2143; 2149,2141; 2143; 2149,3,3,0.35000000000000003,0.08164965809277261,Minimal Exposure
1422,matched_official_mte,1232,1212,1212,1,1,0.36,0.05,Minimal Exposure
1423,matched_official_mte,1233; 1234; 1239; 2419,1221; 1222; 1213; 2412; 2413; 2421; 2422; 2431; 2432; 3339,1221; 1222; 1213; 2412; 2413; 2421; 2422; 2431; 2432; 3339,10,10,0.465,0.1174521179034248,Exposed: Gradient 2
1424,matched_official_mte,1233,1221,1221,1,1,0.41,0.09,Exposed: Gradient 2
1425,no_score,,,,0,0,,,No score
1426,matched_official_mte,1236,1330,1330,1,1,0.44,0.07,Exposed: Gradient 2
1427,no_score,,,,0,0,,,No score
2010,no_score,,,,0,0,,,No score
2011,no_score,,,,0,0,,,No score
2012,no_score,,,,0,0,,,No score
2020,no_score,,,,0,0,,,No score
2021,no_score,,,,0,0,,,No score
2030,matched_official_mte,2211,2131; 2133,2131; 2133,2,2,0.39,0.07681145747868609,Minimal Exposure
2031,no_score,,,,0,0,,,No score
2032,no_score,,,,0,0,,,No score
2033,no_score,,,,0,0,,,No score
2034,no_score,,,,0,0,,,No score
2035,matched_official_mte,2443,2633,2633,1,1,0.47,0.06,Exposed: Gradient 2
2041,matched_official_mte,3450,3355; 3411,3355; 3411,2,2,0.31,0.13656500283747663,Minimal Exposure
2110,no_score,,,,0,0,,,No score
2111,matched_official_mte,2121,2120,2120,1,1,0.56,0.09,Exposed: Gradient 3
2112,matched_official_mte,2122,2120,2120,1,1,0.56,0.09,Exposed: Gradient 3
2120,no_score,,,,0,0,,,No score
2121,no_score,,,,0,0,,,No score
2122,no_score,,,,0,0,,,No score
2123,matched_official_mte,2131,2511; 2512; 2513; 2519; 2521; 2522; 2523,2511; 2512; 2513; 2519; 2521; 2522; 2523,7,7,0.547142857142857,0.09261506907846132,Exposed: Gradient 3
2124,matched_official_mte,2131,2511; 2512; 2513; 2519; 2521; 2522; 2523,2511; 2512; 2513; 2519; 2521; 2522; 2523,7,7,0.547142857142857,0.09261506907846132,Exposed: Gradient 3
2131,matched_official_mte,2111,2111,2111,1,1,0.37999999999999995,0.14,Exposed: Gradient 1
2132,matched_official_mte,2113,2113; 2262,2113; 2262,2,2,0.36,0.09974968671630002,Minimal Exposure
2133,matched_official_mte,2111; 2112,2111; 2112,2111; 2112,2,2,0.45999999999999996,0.15700318468107585,Exposed: Gradient 2
2134,matched_official_mte,2114,2114,2114,1,1,0.36000000000000004,0.10000000000000002,Minimal Exposure
2140,no_score,,,,0,0,,,No score
2141,matched_official_mte,2141,2161; 2162; 2164,2161; 2162; 2164,3,3,0.3833333333333333,0.07630348761506398,Minimal Exposure
2142,matched_official_mte,2142,2142,2142,1,1,0.3,0.06,Not Exposed
2143,matched_official_mte,2143; 2144,2151; 2152; 2153,2151; 2152; 2153,3,3,0.4033333333333333,0.13237153101109853,Exposed: Gradient 2
2144,matched_official_mte,2145,2144,2144,1,1,0.32,0.07,Not Exposed
2145,matched_official_mte,2146,2145,2145,1,1,0.35,0.12,Minimal Exposure
2146,matched_official_mte,2147,2146,2146,1,1,0.29,0.05,Not Exposed
2147,matched_official_mte,2147,2146,2146,1,1,0.29,0.05,Not Exposed
2148,matched_official_mte,2148,2165,2165,1,1,0.44,0.12,Exposed: Gradient 2
2149,matched_official_mte,2149,2141; 2143; 2149,2141; 2143; 2149,3,3,0.35000000000000003,0.08164965809277261,Minimal Exposure
2151,no_score,,,,0,0,,,No score
2152,matched_official_mte,3141,3151,3151,1,1,0.23000000000000004,0.05,Not Exposed
2153,matched_official_mte,3143,3153,3153,1,1,0.27,0.05,Not Exposed
2211,matched_official_mte,2211,2131; 2133,2131; 2133,2,2,0.39,0.07681145747868609,Minimal Exposure
2212,no_score,,,,0,0,,,No score
2221,matched_official_mte,2213,2132,2132,1,1,0.29,0.10000000000000002,Not Exposed
2222,no_score,,,,0,0,,,No score
2232,matched_official_mte,2222,2261,2261,1,1,0.15,0.06,Not Exposed
2233,matched_official_mte,2223,2250,2250,1,1,0.14,0.05,Not Exposed
2234,matched_official_mte,2224,2262,2262,1,1,0.33,0.09,Minimal Exposure
2235,matched_official_mte,2230,1342; 1343; 2221; 2222; 3221; 3222,1342; 1343; 2221; 2222; 3221; 3222,6,6,0.2783333333333333,0.14158821357098272,Minimal Exposure
2236,matched_official_mte,2229,2263; 2269,2263; 2269,2,2,0.24000000000000002,0.07778174593052023,Not Exposed
2237,matched_official_mte,2229,2263; 2269,2263; 2269,2,2,0.24000000000000002,0.07778174593052023,Not Exposed
2238,matched_official_mte,2229,2263; 2269,2263; 2269,2,2,0.24000000000000002,0.07778174593052023,Not Exposed
