cbo_4d,periodo,periodo_num,post,admissoes,desligamentos,n_movimentacoes,ln_salario_real_adm,asinh_saldo,treatment,post_treat
1111,2021-01,202101,0,95,21,116,8.662753424650065,4.997257924399904,0,0
1111,2021-02,202102,0,23,20,43,7.888445964416547,1.8184464592320668,0,0
1111,2021-03,202103,0,16,18,34,7.403363621286916,-1.4436354751788103,0,0
1111,2021-04,202104,0,17,14,31,7.86025361338202,1.8184464592320668,0,0
1111,2021-05,202105,0,15,19,34,8.265539223202444,-2.0947125472611012,0,0
1111,2021-06,202106,0,17,21,38,7.466091876431766,-2.0947125472611012,0,0
1111,2021-07,202107,0,13,14,27,8.262295488577358,-0.881373587019543,0,0
1111,2021-08,202108,0,33,16,49,7.743426946165281,3.5272244561999657,0,0
1111,2021-09,202109,0,19,24,43,7.37712711636937,-2.3124383412727525,0,0
1111,2021-10,202110,0,14,25,39,8.312704921834547,-3.093102195050827,0,0
1111,2021-11,202111,0,38,23,61,7.818036634057795,3.4023066454805946,0,0
1111,2021-12,202112,0,9,18,27,7.550692893766069,-2.8934439858858716,0,0
1111,2022-01,202201,0,27,24,51,8.17709295718968,1.8184464592320668,0,0
1111,2022-02,202202,0,16,24,40,7.902926292680611,-2.7764722807237177,0,0
1111,2022-03,202203,0,25,29,54,8.059691865001886,-2.0947125472611012,0,0
1111,2022-04,202204,0,17,18,35,7.496988046833605,-0.881373587019543,0,0
1111,2022-05,202205,0,15,25,40,7.451624954601513,-2.99822295029797,0,0
1111,2022-06,202206,0,13,16,29,7.517197709707992,-1.8184464592320668,0,0
1111,2022-07,202207,0,18,23,41,7.633811379031164,-2.3124383412727525,0,0
1111,2022-08,202208,0,14,17,31,7.957556253230039,-1.8184464592320668,0,0
1111,2022-09,202209,0,9,26,35,7.686332263399311,-3.5272244561999657,0,0
1111,2022-10,202210,0,13,21,34,7.598665680551715,-2.7764722807237177,0,0
1111,2022-11,202211,0,20,11,31,7.66113037445573,2.8934439858858716,0,0
1111,2022-12,202212,1,15,21,36,7.525677114914472,-2.491779852644912,0,0
1111,2023-01,202301,1,9,18,27,7.786886090032453,-2.8934439858858716,0,0
1111,2023-02,202302,1,20,11,31,7.619618424185209,2.8934439858858716,0,0
1111,2023-03,202303,1,20,24,44,7.487696671019834,-2.0947125472611012,0,0
1111,2023-04,202304,1,25,13,38,7.364703165044882,3.179785437699879,0,0
1111,2023-05,202305,1,23,16,39,7.475718859575742,2.644120761058629,0,0
1111,2023-06,202306,1,21,11,32,7.579372502952512,2.99822295029797,0,0
1111,2023-07,202307,1,13,6,19,7.579523057962401,2.644120761058629,0,0
1111,2023-08,202308,1,5,12,17,7.522548435836675,-2.644120761058629,0,0
1111,2023-09,202309,1,8,10,18,7.356847925263376,-1.4436354751788103,0,0
1111,2023-10,202310,1,17,8,25,7.699692190359798,2.8934439858858716,0,0
1111,2023-11,202311,1,6,8,14,7.428561023583186,-1.4436354751788103,0,0
1111,2023-12,202312,1,5,6,11,7.765655193472218,-0.881373587019543,0,0
1111,2024-01,202401,1,11,5,16,7.444005751437082,2.491779852644912,0,0
1111,2024-02,202402,1,6,9,15,7.2984168331374555,-1.8184464592320668,0,0
1111,2024-03,202403,1,20,12,32,7.487478899864501,2.7764722807237177,0,0
1111,2024-04,202404,1,11,11,22,7.359500586281465,0.0,0,0
1111,2024-05,202405,1,10,7,17,7.329539909553039,1.8184464592320668,0,0
1111,2024-06,202406,1,12,9,21,7.51187684750432,1.8184464592320668,0,0
1111,2024-07,202407,1,7,13,20,7.354715765566296,-2.491779852644912,0,0
1111,2024-08,202408,1,6,7,13,7.516029768173339,-0.881373587019543,0,0
1111,2024-09,202409,1,11,9,20,7.466019030492186,1.4436354751788103,0,0
1111,2024-10,202410,1,9,2,11,7.427501831667457,2.644120761058629,0,0
1111,2024-11,202411,1,7,5,12,7.628004226325208,1.4436354751788103,0,0
1111,2024-12,202412,1,2,52,54,7.362264487269224,-4.605270170991424,0,0
1111,2025-01,202501,1,110,17,127,8.661882831791784,5.2257755775357575,0,0
1111,2025-02,202502,1,16,8,24,7.544444800134916,2.7764722807237177,0,0
1111,2025-03,202503,1,13,6,19,7.410395045423151,2.644120761058629,0,0
1111,2025-04,202504,1,12,8,20,7.356531951820572,2.0947125472611012,0,0
1111,2025-05,202505,1,15,7,22,7.400209382000466,2.7764722807237177,0,0
1111,2025-06,202506,1,14,9,23,7.505930822940618,2.3124383412727525,0,0
1111,2025-07,202507,1,7,7,14,7.445588879939431,0.0,0,0
1111,2025-08,202508,1,12,3,15,7.406018686517228,2.8934439858858716,0,0
1111,2025-09,202509,1,9,12,21,7.61500852919243,-1.8184464592320668,0,0
1111,2025-10,202510,1,9,6,15,7.4452588855683,1.8184464592320668,0,0
1111,2025-11,202511,1,11,6,17,7.372137715585667,2.3124383412727525,0,0
1111,2025-12,202512,1,7,5,12,8.019373223284529,1.4436354751788103,0,0
1111,2026-01,202601,1,12,13,25,7.374264913373842,-0.881373587019543,0,0
1111,2026-02,202602,1,16,10,26,8.613511080479881,2.491779852644912,0,0
1111,2026-03,202603,1,20,5,25,7.433530140789961,3.4023066454805946,0,0
1111,2026-04,202604,1,10,19,29,7.346953879123884,-2.8934439858858716,0,0
1111,2026-05,202605,1,12,10,22,7.6951362344112715,1.4436354751788103,0,0
1113,2021-01,202101,0,0,1,1,,-0.881373587019543,0,0
1113,2021-02,202102,0,3,0,3,7.3909245582633725,1.8184464592320668,0,0
1113,2021-03,202103,0,0,1,1,,-0.881373587019543,0,0
1113,2021-04,202104,0,1,1,2,8.805013233377517,0.0,0,0
1113,2021-05,202105,0,41,7,48,7.685761798215142,4.219723898031069,0,0
1113,2021-06,202106,0,4,27,31,7.782125751686286,-3.8291136516208812,0,0
1113,2021-07,202107,0,1,6,7,8.491990828780283,-2.3124383412727525,0,0
1113,2021-08,202108,0,1,1,2,7.346803997363659,0.0,0,0
1113,2021-09,202109,0,0,2,2,,-1.4436354751788103,0,0
1113,2021-10,202110,0,1,2,3,7.751050965958507,-0.881373587019543,0,0
1113,2021-11,202111,0,0,2,2,,-1.4436354751788103,0,0
1113,2021-12,202112,0,1,5,6,7.631686965574677,-2.0947125472611012,0,0
1113,2022-01,202201,0,16,2,18,7.64211605346755,3.3334775868839928,0,0
1113,2022-02,202202,0,2,6,8,7.654401787654849,-2.0947125472611012,0,0
1113,2022-03,202203,0,1,2,3,7.343043860987218,-0.881373587019543,0,0
1113,2022-04,202204,0,1,1,2,7.604861085634595,0.0,0,0
1113,2022-05,202205,0,0,3,3,,-1.8184464592320668,0,0
1113,2022-06,202206,0,0,1,1,,-0.881373587019543,0,0
1113,2022-07,202207,0,0,2,2,,-1.4436354751788103,0,0
1113,2022-08,202208,0,1,3,4,7.929654302426771,-1.4436354751788103,0,0
1113,2022-09,202209,0,0,1,1,,-0.881373587019543,0,0
1113,2022-10,202210,0,2,0,2,8.173535930347532,1.4436354751788103,0,0
1113,2022-11,202211,0,1,0,1,7.6814701765439,0.881373587019543,0,0
1113,2023-01,202301,1,0,3,3,,-1.8184464592320668,0,0
1113,2023-02,202302,1,0,1,1,,-0.881373587019543,0,0
1113,2023-03,202303,1,1,2,3,7.934898254158124,-0.881373587019543,0,0
1113,2023-04,202304,1,3,0,3,7.416789583771653,1.8184464592320668,0,0
1113,2023-06,202306,1,1,1,2,7.559594964839025,0.0,0,0
1113,2023-08,202308,1,1,0,1,10.431440104144023,0.881373587019543,0,0
1113,2023-09,202309,1,2,1,3,8.02178162166148,0.881373587019543,0,0
1113,2023-10,202310,1,0,1,1,,-0.881373587019543,0,0
1113,2023-12,202312,1,0,1,1,,-0.881373587019543,0,0
1113,2024-03,202403,1,0,1,1,,-0.881373587019543,0,0
1113,2024-05,202405,1,0,1,1,,-0.881373587019543,0,0
1113,2024-08,202408,1,1,0,1,6.926808946979975,0.881373587019543,0,0
1113,2024-10,202410,1,1,0,1,7.833124952258936,0.881373587019543,0,0
1113,2024-12,202412,1,1,0,1,9.056256356593467,0.881373587019543,0,0
1113,2025-01,202501,1,1,0,1,10.461504619107854,0.881373587019543,0,0
1113,2025-03,202503,1,0,1,1,,-0.881373587019543,0,0
1113,2025-04,202504,1,0,1,1,,-0.881373587019543,0,0
1113,2025-07,202507,1,0,1,1,,-0.881373587019543,0,0
1113,2025-08,202508,1,0,1,1,,-0.881373587019543,0,0
1113,2026-01,202601,1,0,1,1,,-0.881373587019543,0,0
1113,2026-02,202602,1,1,1,2,8.108488416923738,0.0,0,0
1113,2026-03,202603,1,1,0,1,7.595545830207843,0.881373587019543,0,0
1113,2026-04,202604,1,1,0,1,7.3233295307600965,0.881373587019543,0,0
1113,2026-05,202605,1,1,0,1,7.527650223810776,0.881373587019543,0,0
1414,2021-01,202101,0,4775,4983,9758,7.8411844205575,-6.030691038687509,1,0
1414,2021-02,202102,0,5263,5007,10270,7.793684547586698,6.238328439714945,1,0
1414,2021-03,202103,0,4748,5471,10219,7.836701460995729,-7.276556880977656,1,0
1414,2021-04,202104,0,4351,4630,8981,7.813062500478371,-6.32436217404092,1,0
1414,2021-05,202105,0,4747,4653,9400,7.7894418630062905,5.23647025497466,1,0
