cbo_4d,vintage_2023_label,vintage_2023_mean_score,vintage_2023_pooled_sd,vintage_2023_destinations,model_consensus_label,model_consensus_mean_score,model_consensus_pooled_sd,model_consensus_destinations,all_2025_destinations
1010,No score,,,0,No score,,,0,0
1011,No score,,,0,No score,,,0,0
1020,No score,,,0,No score,,,0,0
1021,No score,,,0,No score,,,0,0
1030,No score,,,0,No score,,,0,0
1031,No score,,,0,No score,,,0,0
1111,Not affected,0.22,0.07,1,Not Exposed,0.31,0.04,1,1
1112,No score,,,0,No score,,,0,0
1113,Not affected,0.22,0.07,1,Not Exposed,0.31,0.04,1,1
1114,No score,,,0,No score,,,0,0
1115,No score,,,0,No score,,,0,0
1130,No score,,,0,No score,,,0,0
1141,No score,,,0,No score,,,0,0
1142,No score,,,0,No score,,,0,0
1143,No score,,,0,No score,,,0,0
1144,No score,,,0,No score,,,0,0
1210,No score,,,0,No score,,,0,0
1221,No score,,,0,No score,,,0,0
1222,No score,,,0,No score,,,0,0
1223,No score,,,0,No score,,,0,0
1224,No score,,,0,No score,,,0,0
1225,No score,,,0,No score,,,0,0
1226,No score,,,0,No score,,,0,0
1227,No score,,,0,No score,,,0,0
1231,No score,,,0,No score,,,0,0
1232,No score,,,0,No score,,,0,0
1233,No score,,,0,No score,,,0,0
1234,No score,,,0,No score,,,0,0
1236,No score,,,0,No score,,,0,0
1237,No score,,,0,No score,,,0,0
1238,No score,,,0,No score,,,0,0
1311,No score,,,0,No score,,,0,0
1312,No score,,,0,No score,,,0,0
1313,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
1411,No score,,,0,No score,,,0,0
1412,No score,,,0,No score,,,0,0
1413,No score,,,0,No score,,,0,0
1414,The Big Uknown,0.525,0.21406774628607647,2,Exposed: Gradient 2,0.44,0.15,1,2
1415,The Big Uknown,0.41000000000000003,0.2157544901039142,2,Exposed: Gradient 1,0.37,0.13,1,2
1416,Not affected,0.35,0.14089002803605372,2,Minimal Exposure,0.41000000000000003,0.06782329983125268,2,2
1417,Not affected,0.32,0.1507599795322732,7,Exposed: Gradient 2,0.4275,0.09161741100904347,4,7
1418,No score,,,0,No score,,,0,0
1421,Not affected,0.2866666666666667,0.1370725679663473,3,Minimal Exposure,0.375,0.07017834423809101,2,3
1422,Not affected,0.27,0.09,1,No score,,,0,1
1423,The Big Uknown,0.417,0.1917837323653912,10,Exposed: Gradient 2,0.4628571428571428,0.11234059000764285,7,10
1424,Not affected,0.29,0.16,1,Exposed: Gradient 2,0.41,0.09,1,1
1425,No score,,,0,No score,,,0,0
1426,Not affected,0.31,0.13,1,Exposed: Gradient 2,0.44,0.07,1,1
1427,No score,,,0,No score,,,0,0
2010,No score,,,0,No score,,,0,0
2011,No score,,,0,No score,,,0,0
2012,No score,,,0,No score,,,0,0
2020,No score,,,0,No score,,,0,0
2021,No score,,,0,No score,,,0,0
