cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
1010,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1011,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1020,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1021,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1030,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1031,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1111,matched_official_mte,1110,1111,1111,1,1,0.31,0.04,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,496.0,0.31,0.04,0.04,0.0
1112,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1113,matched_official_mte,1110,1111,1111,1,1,0.31,0.04,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6.0,0.31,0.04,0.04,0.0
1114,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1115,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1130,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1141,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1142,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1143,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1144,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1210,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1221,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1222,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1223,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1224,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1225,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1226,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1227,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1231,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1232,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1233,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1234,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1236,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1237,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1238,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1311,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1312,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1313,matched_official_mte,2310,2310; 2320,2310; 2320,2,2,0.36,0.12041594578792296,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,4958.0,0.36000000000000004,0.12041594578792296,0.12000000000000001,0.010000000000000009
1411,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1412,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1413,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1414,matched_official_mte,1314,1420; 5221,1420; 5221,2,2,0.435,0.12757350822173075,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,False,108414.0,0.43499999999999994,0.12757350822173075,0.12747548783981963,0.0050000000000000044
1415,matched_official_mte,1315,1411; 1412,1411; 1412,2,2,0.365,0.12519984025548914,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,37104.0,0.365,0.12519984025548914,0.12509996003196805,0.0050000000000000044
1416,matched_official_mte,1226,1324; 1330,1324; 1330,2,2,0.41000000000000003,0.06782329983125268,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,7640.0,0.41000000000000003,0.06782329983125268,0.060827625302982205,0.02999999999999997
1417,matched_official_mte,1317,1211; 1212; 1219; 1221; 1222; 1330; 1346,1211; 1212; 1219; 1221; 1222; 1330; 1346,7,7,0.4085714285714285,0.08708428945216097,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Exposed: Gradient 2,False,6221.000000000002,0.40857142857142853,0.08708428945216097,0.07928249671720919,0.03602720060833854
1418,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1421,matched_official_mte,2149,2141; 2143; 2149,2141; 2143; 2149,3,3,0.35000000000000003,0.08164965809277261,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,149768.0,0.35000000000000003,0.08164965809277261,0.07348469228349536,0.035590260840104374
1422,matched_official_mte,1232,1212,1212,1,1,0.36,0.05,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,7651.0,0.35999999999999993,0.05,0.05,0.0
1423,matched_official_mte,1233; 1234; 1239; 2419,1221; 1222; 1213; 2412; 2413; 2421; 2422; 2431; 2432; 3339,1221; 1222; 1213; 2412; 2413; 2421; 2422; 2431; 2432; 3339,10,10,0.465,0.1174521179034248,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,False,321191.0,0.4522857427511978,0.11450735627222004,0.08491171886141512,0.0811480129146734
1424,matched_official_mte,1233,1221,1221,1,1,0.41,0.09,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,False,6646.0,0.41,0.09,0.09,0.0
1425,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
1426,matched_official_mte,1236,1330,1330,1,1,0.44,0.07,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,Exposed: Gradient 2,False,8376.0,0.44,0.07,0.07,0.0
1427,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2010,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2011,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2012,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2020,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2021,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
2030,matched_official_mte,2211,2131; 2133,2131; 2133,2,2,0.39,0.07681145747868609,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,993.0,0.39,0.07681145747868609,0.07615773105863909,0.010000000000000009
