divisao,secao,divisao_descricao,secao_descricao
01,A,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
02,A,PRODUÇÃO FLORESTAL,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
03,A,PESCA E AQÜICULTURA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
05,B,EXTRAÇÃO DE CARVÃO MINERAL,INDÚSTRIAS EXTRATIVAS
06,B,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,INDÚSTRIAS EXTRATIVAS
07,B,EXTRAÇÃO DE MINERAIS METÁLICOS,INDÚSTRIAS EXTRATIVAS
08,B,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,INDÚSTRIAS EXTRATIVAS
09,B,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,INDÚSTRIAS EXTRATIVAS
10,C,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,INDÚSTRIAS DE TRANSFORMAÇÃO
11,C,FABRICAÇÃO DE BEBIDAS,INDÚSTRIAS DE TRANSFORMAÇÃO
12,C,FABRICAÇÃO DE PRODUTOS DO FUMO,INDÚSTRIAS DE TRANSFORMAÇÃO
13,C,FABRICAÇÃO DE PRODUTOS TÊXTEIS,INDÚSTRIAS DE TRANSFORMAÇÃO
14,C,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,INDÚSTRIAS DE TRANSFORMAÇÃO
15,C,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",INDÚSTRIAS DE TRANSFORMAÇÃO
16,C,FABRICAÇÃO DE PRODUTOS DE MADEIRA,INDÚSTRIAS DE TRANSFORMAÇÃO
17,C,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",INDÚSTRIAS DE TRANSFORMAÇÃO
18,C,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,INDÚSTRIAS DE TRANSFORMAÇÃO
19,C,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",INDÚSTRIAS DE TRANSFORMAÇÃO
20,C,FABRICAÇÃO DE PRODUTOS QUÍMICOS,INDÚSTRIAS DE TRANSFORMAÇÃO
21,C,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,INDÚSTRIAS DE TRANSFORMAÇÃO
22,C,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,INDÚSTRIAS DE TRANSFORMAÇÃO
23,C,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,INDÚSTRIAS DE TRANSFORMAÇÃO
24,C,METALURGIA,INDÚSTRIAS DE TRANSFORMAÇÃO
25,C,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",INDÚSTRIAS DE TRANSFORMAÇÃO
26,C,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",INDÚSTRIAS DE TRANSFORMAÇÃO
27,C,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",INDÚSTRIAS DE TRANSFORMAÇÃO
28,C,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,INDÚSTRIAS DE TRANSFORMAÇÃO
29,C,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",INDÚSTRIAS DE TRANSFORMAÇÃO
30,C,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",INDÚSTRIAS DE TRANSFORMAÇÃO
31,C,FABRICAÇÃO DE MÓVEIS,INDÚSTRIAS DE TRANSFORMAÇÃO
32,C,FABRICAÇÃO DE PRODUTOS DIVERSOS,INDÚSTRIAS DE TRANSFORMAÇÃO
33,C,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",INDÚSTRIAS DE TRANSFORMAÇÃO
35,D,"ELETRICIDADE, GÁS E OUTRAS UTILIDADES",ELETRICIDADE E GÁS
36,E,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
37,E,ESGOTO E ATIVIDADES RELACIONADAS,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
38,E,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
39,E,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
41,F,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUÇÃO
42,F,OBRAS DE INFRA-ESTRUTURA,CONSTRUÇÃO
43,F,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,CONSTRUÇÃO
45,G,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46,G,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
47,G,COMÉRCIO VAREJISTA,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
49,H,TRANSPORTE TERRESTRE,"TRANSPORTE, ARMAZENAGEM E CORREIO"
50,H,TRANSPORTE AQUAVIÁRIO,"TRANSPORTE, ARMAZENAGEM E CORREIO"
