source_cbo_4d,status,cbo2002_6d,cbo2002_title,cbo94_code,ciuo88_code,query_note
1010,no_result,,,,,No MTE result table for this CBO 4d family.
1011,no_result,,,,,No MTE result table for this CBO 4d family.
1020,no_result,,,,,No MTE result table for this CBO 4d family.
1021,no_result,,,,,No MTE result table for this CBO 4d family.
1030,no_result,,,,,No MTE result table for this CBO 4d family.
1031,no_result,,,,,No MTE result table for this CBO 4d family.
1111,matched,111105,Senador,2-11.20,1110,
1111,matched,111110,Deputado federal,2-11.30,1110,
1111,matched,111115,Deputado estadual e distrital,2-11.35,1110,
1111,matched,111120,Vereador,2-11.40,1110,
1112,no_result,,,,,No MTE result table for this CBO 4d family.
1113,matched,111330,Juiz federal,2-13.20,1110,
1113,matched,111345,Juiz do trabalho,2-13.50,1110,
1114,no_result,,,,,No MTE result table for this CBO 4d family.
1115,no_result,,,,,No MTE result table for this CBO 4d family.
1130,no_result,,,,,No MTE result table for this CBO 4d family.
1141,no_result,,,,,No MTE result table for this CBO 4d family.
1142,no_result,,,,,No MTE result table for this CBO 4d family.
1143,no_result,,,,,No MTE result table for this CBO 4d family.
1144,no_result,,,,,No MTE result table for this CBO 4d family.
1210,no_result,,,,,No MTE result table for this CBO 4d family.
1221,no_result,,,,,No MTE result table for this CBO 4d family.
1222,no_result,,,,,No MTE result table for this CBO 4d family.
1223,no_result,,,,,No MTE result table for this CBO 4d family.
1224,no_result,,,,,No MTE result table for this CBO 4d family.
1225,no_result,,,,,No MTE result table for this CBO 4d family.
1226,no_result,,,,,No MTE result table for this CBO 4d family.
1227,no_result,,,,,No MTE result table for this CBO 4d family.
1231,no_result,,,,,No MTE result table for this CBO 4d family.
1232,no_result,,,,,No MTE result table for this CBO 4d family.
1233,no_result,,,,,No MTE result table for this CBO 4d family.
1234,no_result,,,,,No MTE result table for this CBO 4d family.
1236,no_result,,,,,No MTE result table for this CBO 4d family.
1237,no_result,,,,,No MTE result table for this CBO 4d family.
1238,no_result,,,,,No MTE result table for this CBO 4d family.
1311,no_result,,,,,No MTE result table for this CBO 4d family.
1312,no_result,,,,,No MTE result table for this CBO 4d family.
1313,matched,131305,Diretor de instituição educacional da área privada,1-39.15,2310,
1411,no_result,,,,,No MTE result table for this CBO 4d family.
1412,no_result,,,,,No MTE result table for this CBO 4d family.
1413,no_result,,,,,No MTE result table for this CBO 4d family.
1414,matched,141405,Comerciante atacadista,4-10.20,1314,
1414,matched,141410,Comerciante varejista,4-10.30,1314,
1414,matched,141415,Gerente de loja e supermercado,4-21.50,1314,
1415,matched,141505,Gerente de hotel,5-00.20,1315,
1415,matched,141510,Gerente de restaurante,5-00.30,1315,
1415,matched,141515,Gerente de bar,5-00.25,1315,
1415,matched,141520,Gerente de pensão,5-00.35,1315,
1416,matched,141605,Gerente de operações de transportes,2-49.20,1226,
1416,matched,141610,Gerente de operações de correios e telecomunicações,2-49.30,1226,
1417,matched,141705,Gerente de produtos bancários,2-43.55,1317,
1417,matched,141710,Gerente de agência bancária,2-43.25,1317,
1417,matched,141715,Gerente de câmbio e comércio exterior,2-43.47,1317,
1418,no_result,,,,,No MTE result table for this CBO 4d family.
1421,matched,142105,Gerente administrativo,2-41.20,2149,
1421,matched,142115,Gerente financeiro,2-43.20,2149,
1422,matched,142210,Gerente de departamento pessoal,2-41.30,1232,
1423,matched,142305,Gerente comercial,2-43.30,1233,
1423,matched,142310,Gerente de comunicação,2-41.40,1234,
1423,matched,142315,Gerente de marketing,2-43.70,1239,
1423,matched,142320,Gerente de vendas,2-43.50,1233,
1423,matched,142325,Relações públicas,1-59.55,2419,
1423,matched,142330,Analista de negócios,1-99.55,2419,
1423,matched,142335,Analista de pesquisa de mercado,1-99.45,2419,
1424,matched,142405,Gerente de compras,2-43.40,1233,
1425,no_result,,,,,No MTE result table for this CBO 4d family.
1426,matched,142605,"Gerente de pesquisa, desenvolvimento e inovação (pdi)",2-42.30,1236,
1427,no_result,,,,,No MTE result table for this CBO 4d family.
2010,no_result,,,,,No MTE result table for this CBO 4d family.
2011,no_result,,,,,No MTE result table for this CBO 4d family.
2012,no_result,,,,,No MTE result table for this CBO 4d family.
2020,no_result,,,,,No MTE result table for this CBO 4d family.
2021,no_result,,,,,No MTE result table for this CBO 4d family.
2030,matched,203005,Pesquisador em biologia ambiental,0-51.25,2211,
2030,matched,203010,Pesquisador em biologia animal,0-51.30,2211,
2030,matched,203015,Pesquisador em biologia de microorganismos e parasitas,0-51.40,2211,
2030,matched,203020,Pesquisador em biologia humana,0-51.50,2211,
2030,matched,203025,Pesquisador em biologia vegetal,0-51.20,2211,
2031,no_result,,,,,No MTE result table for this CBO 4d family.
2032,no_result,,,,,No MTE result table for this CBO 4d family.
2033,no_result,,,,,No MTE result table for this CBO 4d family.
2034,no_result,,,,,No MTE result table for this CBO 4d family.
2035,matched,203520,Pesquisador em história,1-92.60,2443,
2041,matched,204105,Perito criminal,3-13.40,3450,
2110,no_result,,,,,No MTE result table for this CBO 4d family.
2111,matched,211105,Atuário,0-82.50,2121,
2111,matched,211110,Especialista em pesquisa operacional,0-82.40,2121,
2111,matched,211115,Matemático,0-82.20,2121,
2112,matched,211205,Estatístico,0-81.10,2122,
2112,matched,211210,Estatístico (estatística aplicada),0-81.30,2122,
2120,no_result,,,,,No MTE result table for this CBO 4d family.
2121,no_result,,,,,No MTE result table for this CBO 4d family.
2122,no_result,,,,,No MTE result table for this CBO 4d family.
