competencia,tipo,url,bytes,data_modificacao_ftp
202101,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/CAGEDMOV202101.7z,36186193,2026-06-08T18:26:14Z
202101,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/CAGEDFOR202101.7z,2038877,2026-06-08T18:26:13Z
202101,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/CAGEDEXC202101.7z,58957,2026-06-08T18:26:13Z
202102,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/CAGEDMOV202102.7z,38710316,2026-06-08T18:28:30Z
202102,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/CAGEDFOR202102.7z,2225259,2026-06-08T18:28:29Z
202102,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/CAGEDEXC202102.7z,49538,2026-06-08T18:28:29Z
202103,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/CAGEDMOV202103.7z,39256619,2026-06-08T18:33:50Z
202103,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/CAGEDFOR202103.7z,2455750,2026-06-08T18:33:49Z
202103,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/CAGEDEXC202103.7z,76550,2026-06-08T18:33:49Z
202104,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/CAGEDMOV202104.7z,34216378,2026-06-08T18:35:04Z
202104,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/CAGEDFOR202104.7z,2712244,2026-06-08T18:35:02Z
202104,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/CAGEDEXC202104.7z,97937,2026-06-08T18:35:02Z
202105,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202105/CAGEDMOV202105.7z,36157691,2026-06-08T18:36:31Z
