repetition,seed,outcome,estimator,coefficient,n_obs,n_clusters,treated_cbo_count,control_cbo_count
1,20260726,admissoes,ppml,0.0125928940251469,22049,341,75,266
1,20260726,asinh_saldo,ols,0.2513570039516052,22049,341,75,266
1,20260726,desligamentos,ppml,-0.0189473298378288,22049,341,75,266
1,20260726,ln_salario_real_adm,ols,-0.0022768689392901,22012,341,75,266
1,20260726,n_movimentacoes,ppml,-0.003047744045034,22049,341,75,266
2,20260726,admissoes,ppml,-0.0187787022441625,22049,341,75,266
2,20260726,asinh_saldo,ols,0.291140247261265,22049,341,75,266
2,20260726,desligamentos,ppml,-0.0260524051263928,22049,341,75,266
2,20260726,ln_salario_real_adm,ols,-0.010188136442195,22012,341,75,266
2,20260726,n_movimentacoes,ppml,-0.0210883393883705,22049,341,75,266
3,20260726,admissoes,ppml,-0.043803094420582,22049,341,75,266
3,20260726,asinh_saldo,ols,0.1335163017439516,22049,341,75,266
3,20260726,desligamentos,ppml,-0.0248111034743487,22049,341,75,266
3,20260726,ln_salario_real_adm,ols,-0.0010056045432179,22012,341,75,266
3,20260726,n_movimentacoes,ppml,-0.0350184966810047,22049,341,75,266
4,20260726,admissoes,ppml,0.0262047932483255,22049,341,75,266
4,20260726,asinh_saldo,ols,0.0162520651255839,22049,341,75,266
4,20260726,desligamentos,ppml,0.0052926959469914,22049,341,75,266
4,20260726,ln_salario_real_adm,ols,0.0038438433717488,22012,341,75,266
4,20260726,n_movimentacoes,ppml,0.0159882614389061,22049,341,75,266
5,20260726,admissoes,ppml,-0.0520032029598951,22049,341,75,266
5,20260726,asinh_saldo,ols,0.0646495431400242,22049,341,75,266
5,20260726,desligamentos,ppml,-0.0354855246841907,22049,341,75,266
5,20260726,ln_salario_real_adm,ols,-0.0051123113794106,22012,341,75,266
5,20260726,n_movimentacoes,ppml,-0.0439272038638591,22049,341,75,266
6,20260726,admissoes,ppml,0.0434101894497871,22049,341,75,266
6,20260726,asinh_saldo,ols,0.1048152773721576,22049,341,75,266
6,20260726,desligamentos,ppml,0.0053075938485562,22049,341,75,266
6,20260726,ln_salario_real_adm,ols,-0.01535054158929,22012,341,75,266
6,20260726,n_movimentacoes,ppml,0.0247612320818007,22049,341,75,266
7,20260726,admissoes,ppml,0.1022800602950155,22049,341,75,266
7,20260726,asinh_saldo,ols,-0.4442875975035252,22049,341,75,266
7,20260726,desligamentos,ppml,0.0857658553868532,22049,341,75,266
7,20260726,ln_salario_real_adm,ols,0.0102848590658171,22012,341,75,266
7,20260726,n_movimentacoes,ppml,0.0941109303385019,22049,341,75,266
8,20260726,admissoes,ppml,-0.0209411038085818,22049,341,75,266
8,20260726,asinh_saldo,ols,0.0385089695335673,22049,341,75,266
8,20260726,desligamentos,ppml,-0.0001276941038668,22049,341,75,266
8,20260726,ln_salario_real_adm,ols,0.0016726824032314,22012,341,75,266
8,20260726,n_movimentacoes,ppml,-0.0103970486670732,22049,341,75,266
9,20260726,admissoes,ppml,0.0752574889920651,22049,341,75,266
9,20260726,asinh_saldo,ols,0.5402955542110494,22049,341,75,266
9,20260726,desligamentos,ppml,0.0439351540990173,22049,341,75,266
9,20260726,ln_salario_real_adm,ols,-0.0034272859921783,22012,341,75,266
9,20260726,n_movimentacoes,ppml,0.0601899540051817,22049,341,75,266
10,20260726,admissoes,ppml,0.0226410375908017,22049,341,75,266
10,20260726,asinh_saldo,ols,-0.4530725196044805,22049,341,75,266
10,20260726,desligamentos,ppml,0.0511272782459855,22049,341,75,266
10,20260726,ln_salario_real_adm,ols,0.008633266776871,22012,341,75,266
10,20260726,n_movimentacoes,ppml,0.0366647215560078,22049,341,75,266
11,20260726,admissoes,ppml,0.0071276235394179,22049,341,75,266
11,20260726,asinh_saldo,ols,0.1675211590916186,22049,341,75,266
11,20260726,desligamentos,ppml,0.0304019832983613,22049,341,75,266
11,20260726,ln_salario_real_adm,ols,-0.0144069615226269,22012,341,75,266
11,20260726,n_movimentacoes,ppml,0.0191057058982551,22049,341,75,266
12,20260726,admissoes,ppml,0.035920737311244,22049,341,75,266
12,20260726,asinh_saldo,ols,0.3914543294354581,22049,341,75,266
12,20260726,desligamentos,ppml,-0.0004594489000737,22049,341,75,266
12,20260726,ln_salario_real_adm,ols,0.0238061008232889,22012,341,75,266
12,20260726,n_movimentacoes,ppml,0.0186161315068602,22049,341,75,266
13,20260726,admissoes,ppml,-0.0825428324751555,22049,341,75,266
13,20260726,asinh_saldo,ols,0.1707473238186213,22049,341,75,266
13,20260726,desligamentos,ppml,-0.0991786448284983,22049,341,75,266
13,20260726,ln_salario_real_adm,ols,0.0056040950997201,22012,341,75,266
13,20260726,n_movimentacoes,ppml,-0.0899777691811323,22049,341,75,266
14,20260726,admissoes,ppml,-0.0416248883120715,22049,341,75,266
14,20260726,asinh_saldo,ols,-0.0425738900544566,22049,341,75,266
14,20260726,desligamentos,ppml,-0.0157215967774391,22049,341,75,266
14,20260726,ln_salario_real_adm,ols,-0.0146501150872507,22012,341,75,266
14,20260726,n_movimentacoes,ppml,-0.0284998463466763,22049,341,75,266
15,20260726,admissoes,ppml,0.0163256824016571,22049,341,75,266
15,20260726,asinh_saldo,ols,-0.1192369545446456,22049,341,75,266
15,20260726,desligamentos,ppml,0.0415549771860241,22049,341,75,266
15,20260726,ln_salario_real_adm,ols,0.0072201519003162,22012,341,75,266
15,20260726,n_movimentacoes,ppml,0.0287475008517503,22049,341,75,266
16,20260726,admissoes,ppml,-0.0398721005767583,22049,341,75,266
16,20260726,asinh_saldo,ols,0.4545158342709696,22049,341,75,266
16,20260726,desligamentos,ppml,-0.0167250093072652,22049,341,75,266
16,20260726,ln_salario_real_adm,ols,-0.004626688742375,22012,341,75,266
16,20260726,n_movimentacoes,ppml,-0.0284216795116662,22049,341,75,266
17,20260726,admissoes,ppml,0.0427537811920046,22049,341,75,266
17,20260726,asinh_saldo,ols,0.4901632647430822,22049,341,75,266
17,20260726,desligamentos,ppml,-0.0064731370657682,22049,341,75,266
17,20260726,ln_salario_real_adm,ols,0.0081671509135642,22012,341,75,266
17,20260726,n_movimentacoes,ppml,0.0193320666439831,22049,341,75,266
18,20260726,admissoes,ppml,0.0028600492514669,22049,341,75,266
18,20260726,asinh_saldo,ols,-0.0163422535843764,22049,341,75,266
18,20260726,desligamentos,ppml,-0.0161545686423778,22049,341,75,266
18,20260726,ln_salario_real_adm,ols,-0.0194795234685229,22012,341,75,266
18,20260726,n_movimentacoes,ppml,-0.0060301227495074,22049,341,75,266
19,20260726,admissoes,ppml,-0.0179676238913089,22049,341,75,266
19,20260726,asinh_saldo,ols,-0.2998968929371224,22049,341,75,266
19,20260726,desligamentos,ppml,-0.0467490591108799,22049,341,75,266
19,20260726,ln_salario_real_adm,ols,-0.0091107065582485,22012,341,75,266
19,20260726,n_movimentacoes,ppml,-0.0320633174851536,22049,341,75,266
20,20260726,admissoes,ppml,0.0915730143897235,22049,341,75,266
20,20260726,asinh_saldo,ols,0.2636111564940184,22049,341,75,266
20,20260726,desligamentos,ppml,0.0306207677349448,22049,341,75,266
20,20260726,ln_salario_real_adm,ols,0.0049449407286126,22012,341,75,266
20,20260726,n_movimentacoes,ppml,0.0621287492103874,22049,341,75,266
21,20260726,admissoes,ppml,-0.006427789106965,22049,341,75,266
21,20260726,asinh_saldo,ols,0.5042518860228361,22049,341,75,266
21,20260726,desligamentos,ppml,-0.0099907033145427,22049,341,75,266
21,20260726,ln_salario_real_adm,ols,0.0087999188347176,22012,341,75,266
21,20260726,n_movimentacoes,ppml,-0.0078636845573782,22049,341,75,266
22,20260726,admissoes,ppml,-0.0326795205473899,22049,341,75,266
22,20260726,asinh_saldo,ols,-0.4316734605129128,22049,341,75,266
22,20260726,desligamentos,ppml,-0.0358612746931612,22049,341,75,266
22,20260726,ln_salario_real_adm,ols,-0.0038952505662407,22012,341,75,266
22,20260726,n_movimentacoes,ppml,-0.0339737497270107,22049,341,75,266
23,20260726,admissoes,ppml,0.0629588025622069,22049,341,75,266
23,20260726,asinh_saldo,ols,0.0699688983499441,22049,341,75,266
23,20260726,desligamentos,ppml,0.0268918373622,22049,341,75,266
23,20260726,ln_salario_real_adm,ols,0.0024215471029772,22012,341,75,266
23,20260726,n_movimentacoes,ppml,0.0456440206617116,22049,341,75,266
24,20260726,admissoes,ppml,-0.0879296576604247,22049,341,75,266
24,20260726,asinh_saldo,ols,0.2417634653281438,22049,341,75,266
24,20260726,desligamentos,ppml,-0.084719662554562,22049,341,75,266
24,20260726,ln_salario_real_adm,ols,0.0188082257131937,22012,341,75,266
24,20260726,n_movimentacoes,ppml,-0.0858117463067174,22049,341,75,266
25,20260726,admissoes,ppml,-0.0036823996342718,22049,341,75,266
25,20260726,asinh_saldo,ols,0.3988761245607061,22049,341,75,266
25,20260726,desligamentos,ppml,-0.0173136405646801,22049,341,75,266
25,20260726,ln_salario_real_adm,ols,0.0148913302306342,22012,341,75,266
25,20260726,n_movimentacoes,ppml,-0.0106864417903125,22049,341,75,266
26,20260726,admissoes,ppml,0.0805525304749608,22049,341,75,266
26,20260726,asinh_saldo,ols,0.2844202978051653,22049,341,75,266
26,20260726,desligamentos,ppml,0.0673305592499673,22049,341,75,266
26,20260726,ln_salario_real_adm,ols,0.0054065399022012,22012,341,75,266
26,20260726,n_movimentacoes,ppml,0.0741343479603529,22049,341,75,266
27,20260726,admissoes,ppml,-0.0324157550930976,22049,341,75,266
27,20260726,asinh_saldo,ols,-0.1340106632529867,22049,341,75,266
27,20260726,desligamentos,ppml,-0.0197625742293894,22049,341,75,266
27,20260726,ln_salario_real_adm,ols,-0.0064580103470399,22012,341,75,266
27,20260726,n_movimentacoes,ppml,-0.0266934889368712,22049,341,75,266
28,20260726,admissoes,ppml,-0.0203884048387408,22049,341,75,266
28,20260726,asinh_saldo,ols,-0.1178877910273634,22049,341,75,266
28,20260726,desligamentos,ppml,0.0192075511440634,22049,341,75,266
28,20260726,ln_salario_real_adm,ols,-0.0003027456406549,22012,341,75,266
28,20260726,n_movimentacoes,ppml,-0.0007187230512499,22049,341,75,266
29,20260726,admissoes,ppml,0.0495614395476877,22049,341,75,266
29,20260726,asinh_saldo,ols,0.9763824712018548,22049,341,75,266
29,20260726,desligamentos,ppml,0.0148791554383933,22049,341,75,266
29,20260726,ln_salario_real_adm,ols,0.0235644329334764,22012,341,75,266
29,20260726,n_movimentacoes,ppml,0.0330079859122633,22049,341,75,266
30,20260726,admissoes,ppml,0.0384500045329332,22049,341,75,266
30,20260726,asinh_saldo,ols,-0.4683257016062601,22049,341,75,266
30,20260726,desligamentos,ppml,0.051473518833518,22049,341,75,266
30,20260726,ln_salario_real_adm,ols,-0.0277234063694832,22012,341,75,266
30,20260726,n_movimentacoes,ppml,0.0452554314397275,22049,341,75,266
31,20260726,admissoes,ppml,-0.0462364237755537,22049,341,75,266
31,20260726,asinh_saldo,ols,-0.4287733102665428,22049,341,75,266
31,20260726,desligamentos,ppml,-0.0187457613646984,22049,341,75,266
31,20260726,ln_salario_real_adm,ols,-0.0310961857458307,22012,341,75,266
31,20260726,n_movimentacoes,ppml,-0.0332248946651816,22049,341,75,266
