model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,size_code,size_label,bh_adjusted_p_value,multiplicity_family_size
size_1__admissoes,admissoes,post_treat_group,ppml,0.05223507382516187,0.040037571234384776,-0.026517456869030682,0.13098760451935443,0.19289395172887902,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,5.36233926853863,1,Zero employees,0.5358165325802194,50
size_1__desligamentos,desligamentos,post_treat_group,ppml,0.05805141888605251,0.04997058624273524,-0.04023901196575972,0.15634184973786475,0.24616742986384121,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,5.9769486475815325,1,Zero employees,0.615418574659603,50
size_1__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.045865936869433056,0.04061407740540754,-0.034020561708652274,0.12575243544751838,0.2595626626882299,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,4.693404629254115,1,Zero employees,0.6180063397338807,50
size_1__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.027704090897010075,0.010301693020811253,0.0074410137219678985,0.04796716807205225,0.007513723880218981,340,"{""cbo_4d"": 341}",341,43041,44098,43041,1057,1057,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,1,Zero employees,0.37568619401094905,50
size_1__asinh_saldo,asinh_saldo,post_treat_group,ols,0.5885321226581811,0.3807124236221816,-0.16031616914872338,1.3373804144650856,0.12306607893785815,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,1,Zero employees,0.4310659005464165,50
size_2__admissoes,admissoes,post_treat_group,ppml,0.07947891268423556,0.042954800831894555,-0.005011708666729731,0.16396953403520084,0.0651388947056446,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,8.272272757266572,2,1-4 employees,0.4310659005464165,50
size_2__desligamentos,desligamentos,post_treat_group,ppml,0.06864348371608386,0.04128259997595297,-0.012557975850729597,0.14984494328289732,0.09727993502044185,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,7.105429277635555,2,1-4 employees,0.4310659005464165,50
size_2__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.07683394682396358,0.04123473030857356,-0.0042733547474123335,0.1579412483953395,0.06327771425625905,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,7.986274686509322,2,1-4 employees,0.4310659005464165,50
size_2__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.02623729529222631,0.012472620920189102,0.0017040773279295325,0.050770513256523084,0.03614833697143016,340,"{""cbo_4d"": 341}",341,42858,44098,42858,1240,1240,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,2,1-4 employees,0.4310659005464165,50
size_2__asinh_saldo,asinh_saldo,post_treat_group,ols,0.14907612334771514,0.3709357815200428,-0.5805418484498279,0.8786940951452582,0.6880160211194541,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,2,1-4 employees,0.8600200263993176,50
size_3__admissoes,admissoes,post_treat_group,ppml,0.029384377586300293,0.034244211600216075,-0.037972813222226565,0.09674156839482714,0.3914510898198189,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.9820358272527208,3,5-9 employees,0.6818146425011862,50
size_3__desligamentos,desligamentos,post_treat_group,ppml,0.0005519390214030476,0.036631143579653094,-0.07150026520027826,0.07260414324308435,0.9879871827850533,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,0.055209136777206735,3,5-9 employees,0.9879871827850534,50
size_3__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.016360792323492,0.03430183577189584,-0.051109743256184226,0.08383132790316822,0.6336931050974943,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.6495362978718489,3,5-9 employees,0.8439812993341252,50
size_3__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.022352945879668986,0.01143168783326331,-0.0001327923711650046,0.04483868413050297,0.05136068538807814,340,"{""cbo_4d"": 341}",341,42880,44098,42880,1218,1218,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,3,5-9 employees,0.4310659005464165,50
size_3__asinh_saldo,asinh_saldo,post_treat_group,ols,0.5533045020932803,0.3349291073181919,-0.10548957535070647,1.2120985795372672,0.09945674380907255,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,3,5-9 employees,0.4310659005464165,50
size_4__admissoes,admissoes,post_treat_group,ppml,0.024159107388487706,0.02475665543081304,-0.024536385534576245,0.07285460031155166,0.3298260906831336,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.445330301387918,4,10-19 employees,0.6818146425011862,50
size_4__desligamentos,desligamentos,post_treat_group,ppml,0.001728586428321094,0.02795136340598691,-0.053250787612331534,0.056707960468973716,0.9507244749901109,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,0.17300812950525413,4,10-19 employees,0.9701270152960315,50
size_4__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.013693376675381333,0.02539997438620552,-0.03626750258902972,0.06365425593979239,0.5901638820771704,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.3787560364335005,4,10-19 employees,0.8430912601102435,50
