model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,level_id,role,substantive_interpretation_allowed
level_2__admissoes,admissoes,post_treat,ppml,-0.07507598435569836,0.035644091101651086,-0.1451866901754018,-0.004965278535994891,0.03591369010309342,340,"{""cbo_4d"": 341}",341,804574,804929,804929,355,0,355,161,True,admissoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-7.232700498435672,level_2,co_principal_sector,True
level_2__desligamentos,desligamentos,post_treat,ppml,-0.0664461413486197,0.03482772252050197,-0.13495107814281582,0.0020587954455763974,0.05725252876485065,340,"{""cbo_4d"": 341}",341,804665,804929,804929,264,0,264,70,True,desligamentos ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-6.4286689243786155,level_2,co_principal_sector,True
level_2__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.07066500181561906,0.03430272995107552,-0.13813729621510185,-0.0031927074161362673,0.04015536187584057,340,"{""cbo_4d"": 341}",341,804735,804929,804929,194,0,194,0,True,n_movimentacoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,-6.8226017557799405,level_2,co_principal_sector,True
level_2__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.03559820334302994,0.006438191980342581,-0.04826190635785205,-0.022934500328207832,6.419984566186088e-08,340,"{""cbo_4d"": 341}",341,682889,804929,683175,122040,121754,286,0,True,ln_salario_real_adm ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,,level_2,co_principal_sector,True
level_2__asinh_saldo,asinh_saldo,post_treat,ols,-0.1394936331044451,0.07342699346913964,-0.2839220132154384,0.004934747006548196,0.058310619347393455,340,"{""cbo_4d"": 341}",341,804735,804929,804929,194,0,194,0,True,asinh_saldo ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d,,,level_2,co_principal_sector,True
level_2_two_way__admissoes,admissoes,post_treat,ppml,-0.07507598435569836,0.038403183904639905,-0.1514189872682192,0.0012670185568224857,0.053838014633085685,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804574,804929,804929,355,0,355,161,True,admissoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-7.232700498435672,level_2_two_way,inference_robustness,True
level_2_two_way__desligamentos,desligamentos,post_treat,ppml,-0.0664461413486197,0.038194964237784776,-0.14237521726298755,0.009482934565748141,0.0854968905884903,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804665,804929,804929,264,0,264,70,True,desligamentos ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-6.4286689243786155,level_2_two_way,inference_robustness,True
level_2_two_way__n_movimentacoes,n_movimentacoes,post_treat,ppml,-0.07066500181561906,0.03770086241962095,-0.14561183582429416,0.004281832193056029,0.0642758299044075,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804735,804929,804929,194,0,194,0,True,n_movimentacoes ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,-6.8226017557799405,level_2_two_way,inference_robustness,True
level_2_two_way__ln_salario_real_adm,ln_salario_real_adm,post_treat,ols,-0.03559820334302994,0.006913073432461954,-0.049340938489663144,-0.021855468196396735,1.6355640253262749e-06,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,682889,804929,683175,122040,121754,286,0,True,ln_salario_real_adm ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,,level_2_two_way,inference_robustness,True
level_2_two_way__asinh_saldo,asinh_saldo,post_treat,ols,-0.1394936331044451,0.0796704569927174,-0.2978732597869615,0.018885993578071303,0.08353191298833051,86,"{""cbo_4d"": 341, ""divisao"": 87}",87,804735,804929,804929,194,0,194,0,True,asinh_saldo ~ post_treat | cbo_section + section_period,cbo_section + section_period,cbo_4d + divisao,,,level_2_two_way,inference_robustness,True
