subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0111301,A,01,202101,13,48,true
0111301,A,01,202102,13,53,true
0111301,A,01,202103,11,52,true
0111301,A,01,202104,14,49,true
0111301,A,01,202105,15,49,true
0111301,A,01,202106,12,52,true
0111301,A,01,202107,14,52,true
0111301,A,01,202108,12,51,true
0111301,A,01,202109,11,58,true
0111301,A,01,202110,16,51,true
0111301,A,01,202111,13,50,true
0111301,A,01,202112,15,47,true
0111301,A,01,202201,16,53,true
0111301,A,01,202202,15,47,true
0111301,A,01,202203,16,53,true
0111301,A,01,202204,14,48,true
0111301,A,01,202205,13,48,true
0111301,A,01,202206,17,61,true
0111301,A,01,202207,19,54,true
0111301,A,01,202208,15,49,true
0111301,A,01,202209,14,51,true
0111301,A,01,202210,11,51,true
0111301,A,01,202211,18,46,true
0111301,A,01,202212,15,44,true
0111301,A,01,202301,12,38,true
0111301,A,01,202302,5,44,true
0111301,A,01,202303,9,41,true
0111301,A,01,202304,10,39,true
0111301,A,01,202305,7,41,true
0111301,A,01,202306,13,47,true
0111301,A,01,202307,11,45,true
0111301,A,01,202308,9,47,true
0111301,A,01,202309,6,44,true
0111301,A,01,202310,10,42,true
0111301,A,01,202311,13,46,true
0111301,A,01,202312,9,40,true
0111301,A,01,202401,6,38,true
0111301,A,01,202402,7,36,true
0111301,A,01,202403,10,41,true
0111301,A,01,202404,8,41,true
0111301,A,01,202405,7,46,true
0111301,A,01,202406,10,37,true
0111301,A,01,202407,9,40,true
0111301,A,01,202408,6,46,true
0111301,A,01,202409,11,33,true
0111301,A,01,202410,10,38,true
0111301,A,01,202411,9,38,true
0111301,A,01,202412,9,35,true
0111301,A,01,202501,11,40,true
0111301,A,01,202502,11,41,true
0111301,A,01,202503,8,41,true
0111301,A,01,202504,12,38,true
0111301,A,01,202505,6,37,true
0111301,A,01,202506,10,42,true
0111301,A,01,202507,10,35,true
0111301,A,01,202508,8,39,true
0111301,A,01,202509,11,38,true
0111301,A,01,202510,9,37,true
0111301,A,01,202511,7,42,true
0111301,A,01,202512,6,34,true
0111301,A,01,202601,9,41,true
0111301,A,01,202602,7,40,true
0111301,A,01,202603,7,42,true
0111301,A,01,202604,8,43,true
0111301,A,01,202605,10,39,true
0111302,A,01,202101,12,58,true
0111302,A,01,202102,12,43,true
0111302,A,01,202103,11,44,true
0111302,A,01,202104,12,44,true
0111302,A,01,202105,9,41,true
0111302,A,01,202106,10,43,true
0111302,A,01,202107,7,41,true
0111302,A,01,202108,10,39,true
0111302,A,01,202109,11,48,true
0111302,A,01,202110,9,46,true
0111302,A,01,202111,5,47,true
0111302,A,01,202112,11,45,true
0111302,A,01,202201,14,50,true
0111302,A,01,202202,12,48,true
0111302,A,01,202203,11,51,true
0111302,A,01,202204,15,54,true
0111302,A,01,202205,13,54,true
0111302,A,01,202206,11,51,true
0111302,A,01,202207,12,51,true
0111302,A,01,202208,11,56,true
0111302,A,01,202209,11,51,true
0111302,A,01,202210,9,57,true
0111302,A,01,202211,9,51,true
0111302,A,01,202212,10,47,true
0111302,A,01,202301,15,64,true
0111302,A,01,202302,16,65,true
0111302,A,01,202303,14,60,true
0111302,A,01,202304,15,63,true
0111302,A,01,202305,15,66,true
0111302,A,01,202306,16,62,true
0111302,A,01,202307,15,63,true
0111302,A,01,202308,15,62,true
0111302,A,01,202309,15,60,true
0111302,A,01,202310,14,57,true
0111302,A,01,202311,11,61,true
0111302,A,01,202312,14,59,true
0111302,A,01,202401,16,59,true
0111302,A,01,202402,18,57,true
0111302,A,01,202403,14,60,true
0111302,A,01,202404,17,65,true
0111302,A,01,202405,12,58,true
0111302,A,01,202406,15,53,true
