competenciamov,linhas_mov,linhas_for,linhas_exc,meses_for_possiveis,fracao_for_sobre_mov_pct
202101,2843091,337447,13297,12,11.869018613895932
202102,3032935,310242,13552,12,10.229101513880119
202103,3077440,300308,14352,12,9.758370593740251
202104,2678700,248358,11570,12,9.271586963825737
202105,2837927,208184,10155,12,7.335777135916463
202106,2909460,178403,8769,12,6.131825149684134
202107,3015377,219828,10553,12,7.290232697271353
202108,3265478,193109,10782,12,5.9136518451510005
202109,3262941,197208,9747,12,6.043872690312206
202110,3268395,171407,9426,12,5.244378356961138
202111,3221420,196749,9642,12,6.107524011150362
202112,3141631,119459,10580,12,3.8024516564803443
202201,3400114,143698,10097,12,4.2262700603568
202202,3697779,136641,10520,12,3.6952181295853537
202203,3769953,145606,10611,12,3.862276267104656
202204,3512148,63501,8298,12,1.808038841187786
202205,3644902,88433,8335,12,2.426210636115868
202206,3519808,68542,7426,12,1.9473221266614542
202207,3554172,71993,6831,12,2.0255913332275424
202208,3824961,62726,7478,12,1.6399121455094574
202209,3575059,57996,7592,12,1.622238961650703
202210,3419470,63631,6308,12,1.8608439319543673
202211,3360293,63648,5819,12,1.8941205424646006
202212,3196857,81663,7075,12,2.5544777260915956
202301,3665155,92078,7979,12,2.512253915591564
202302,3657903,77062,7068,12,2.106726176172523
202303,4141665,81149,8505,12,1.9593327804156058
202304,3550553,73659,6257,12,2.0745782417555803
202305,3845134,55923,7845,12,1.4543836443671403
202306,3671062,53800,6272,12,1.4655159733069067
202307,3623694,46209,5976,12,1.275190454823172
202308,3977578,43942,7317,12,1.1047426348395935
202309,3622350,61498,6288,12,1.6977376564937126
202310,3692196,52410,5930,12,1.4194804392832883
202311,3603407,48142,10206,12,1.3360133895505004
202312,3435285,51076,6748,12,1.4868053160072598
202401,3955239,102071,9239,12,2.5806531539560567
202402,4192029,61199,7987,12,1.459889709732447
202403,4280525,52016,7561,12,1.2151780447491838
202404,4280845,52012,7042,12,1.214993768753599
202405,4100841,50627,6343,12,1.2345516444065985
202406,3941593,42706,6006,12,1.0834705663420856
202407,4187245,40955,6069,12,0.9780894120119553
202408,4230307,46196,6220,12,1.0920247632145847
202409,4080040,42195,6076,12,1.0341810374408094
202410,4313210,36535,6426,12,0.8470489496222071
202411,3850117,42041,5412,12,1.0919408423172594
202412,3584049,47466,6359,12,1.3243680541197957
202501,4405919,80607,8636,12,1.8295161576960448
202502,4726389,73037,8779,12,1.545302343924717
202503,4397748,51558,6822,12,1.1723727689717556
202504,4306846,112508,8641,12,2.612306081991323
202505,4363458,56865,6967,12,1.3032095186890764
202506,4111743,70745,6487,11,1.7205598696222015
202507,4373105,40963,6509,10,0.9367028690141216
202508,4332432,46786,7111,9,1.0799015425977834
202509,4371982,34841,6013,8,0.7969154493316761
202510,4457773,44535,5082,7,0.9990414496206963
202511,3873940,38833,4667,6,1.0024161448034816
202512,3664782,42502,3984,5,1.1597415617081726
202601,4303726,76389,4047,4,1.7749503569697513
202602,4508213,61276,3845,3,1.3592081829319067
202603,4825112,53094,2892,2,1.1003682401569124
202604,4451422,55124,2522,1,1.2383458589187903
202605,4341646,0,0,0,0.0
