competenciamov,grupo_tratamento,linhas_mov,linhas_for,linhas_exc,meses_for_possiveis,fracao_for_sobre_mov_pct,diferencial_tratado_controle_pp,diferencial_acima_1pp
202101,control,1185252,141787,5318,12,11.96260373321454,-1.0910797266372292,True
202101,treated,659236,71669,3248,12,10.87152400657731,-1.0910797266372292,True
202102,control,1296042,133355,5489,12,10.289404201407054,-0.8873301758163006,False
202102,treated,684466,64354,3203,12,9.402074025590753,-0.8873301758163006,False
202103,control,1324043,130366,4962,12,9.846054848671834,-0.953584280414491,False
202103,treated,683106,60745,4579,12,8.892470568257343,-0.953584280414491,False
202104,control,1156474,109512,4706,12,9.469473589548922,-1.074015677922164,True
202104,treated,607650,51015,2649,12,8.395457911626758,-1.074015677922164,True
202105,control,1225941,99642,4599,12,8.127797340981337,-1.951135649062807,True
202105,treated,647939,40021,2223,12,6.17666169191853,-1.951135649062807,True
202106,control,1224882,84130,3742,12,6.868416712793559,-1.509663137422967,True
202106,treated,674056,36121,2112,12,5.358753575370592,-1.509663137422967,True
202107,control,1261545,100844,4877,12,7.993690276605274,-1.8067162284890088,True
202107,treated,693861,42929,2153,12,6.186974048116265,-1.8067162284890088,True
202108,control,1360772,88216,5059,12,6.482790651189178,-1.4909474779813205,True
202108,treated,741710,37025,2069,12,4.991843173207857,-1.4909474779813205,True
202109,control,1359256,89659,4191,12,6.596182028992331,-1.5751271242792715,True
202109,treated,740920,37202,2040,12,5.0210549047130595,-1.5751271242792715,True
202110,control,1338766,77323,4395,12,5.775691943177523,-1.3271318191878265,True
202110,treated,744578,33123,2037,12,4.448560123989696,-1.3271318191878265,True
202111,control,1287128,80364,4045,12,6.243668073416163,-0.5141162143456786,False
202111,treated,734211,42067,2257,12,5.729551859070485,-0.5141162143456786,False
202112,control,1204458,49185,4444,12,4.083579502149514,-0.7570796981006129,False
202112,treated,706809,23512,2515,12,3.3264998040489013,-0.7570796981006129,False
202201,control,1392314,58400,4161,12,4.194456135613088,-0.003479125961630025,False
202201,treated,779675,32676,2511,12,4.190977009651458,-0.003479125961630025,False
202202,control,1522586,56350,4583,12,3.700940373811397,-0.1750243806073013,False
202202,treated,832266,29345,2311,12,3.5259159932040958,-0.1750243806073013,False
202203,control,1571987,65695,4110,12,4.179105806854637,-0.8665391847300392,False
202203,treated,850881,28186,2466,12,3.312566622124598,-0.8665391847300392,False
202204,control,1436262,28844,3512,12,2.0082686863538823,-0.5623307947092593,False
202204,treated,800311,11572,2039,12,1.445937891644623,-0.5623307947092593,False
202205,control,1528904,41208,3625,12,2.695264058436632,-0.6197208655725528,False
202205,treated,820749,17035,1866,12,2.075543192864079,-0.6197208655725528,False
202206,control,1474743,31202,2844,12,2.1157584745274263,-0.370056895939205,False
202206,treated,789883,13789,1930,12,1.7457015785882213,-0.370056895939205,False
202207,control,1474132,31002,2749,12,2.1030681105898252,-0.2871353538396453,False
202207,treated,789016,14328,1771,12,1.81593275675018,-0.2871353538396453,False
202208,control,1593482,26935,3119,12,1.6903234551755213,-0.31461585649538826,False
202208,treated,847055,11653,1723,12,1.375707598680133,-0.31461585649538826,False
202209,control,1489657,25456,3071,12,1.708849755346365,-0.27338366332956254,False
202209,treated,805592,11564,1928,12,1.4354660920168025,-0.27338366332956254,False
202210,control,1409625,27871,2406,12,1.9771925157400019,-0.334088176390152,False
202210,treated,764285,12558,1505,12,1.64310433934985,-0.334088176390152,False
202211,control,1354819,27352,2328,12,2.018867464952883,-0.2850213152416783,False
202211,treated,744126,12902,1282,12,1.7338461497112048,-0.2850213152416783,False
202212,control,1254161,33318,3116,12,2.656596720835682,-0.3479746298721911,False
202212,treated,671786,15509,1364,12,2.308622090963491,-0.3479746298721911,False
202301,control,1511094,39101,3194,12,2.5875954771840797,-0.31391027783027825,False
202301,treated,809039,18395,2046,12,2.2736851993538014,-0.31391027783027825,False
202302,control,1509364,31346,2786,12,2.076768758231944,-0.36415612494018257,False
202302,treated,784182,13430,1658,12,1.7126126332917613,-0.36415612494018257,False
