outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbo,status
admissoes,ppml,-0.05356933743884467,0.038847142531313494,0.16881081972190337,21984,340,1414,estimated
desligamentos,ppml,-0.04438794165648765,0.03510263275637775,0.2069125136875236,21984,340,1414,estimated
n_movimentacoes,ppml,-0.04919548651526533,0.03572844247916362,0.16944315057744075,21984,340,1414,estimated
ln_salario_real_adm,ols,-0.05137634396308362,0.010416256097666601,1.2753142790700167e-06,21947,340,1414,estimated
asinh_saldo,ols,-0.5062575066920542,0.38005504323733025,0.18373410065060547,21984,340,1414,estimated
admissoes,ppml,-0.051933746834471994,0.039250247028866043,0.1866790822502602,21984,340,1423,estimated
desligamentos,ppml,-0.04792695275151093,0.035357205205327806,0.17615834342560577,21984,340,1423,estimated
n_movimentacoes,ppml,-0.04999150696885707,0.03629442021221562,0.16930096417089868,21984,340,1423,estimated
ln_salario_real_adm,ols,-0.04980677916009624,0.010393333931023608,2.472092237360002e-06,21947,340,1423,estimated
asinh_saldo,ols,-0.37504346063466615,0.33889092831408885,0.26921743629621453,21984,340,1423,estimated
admissoes,ppml,-0.053583850595998885,0.03857499371204575,0.1657194500926631,21984,340,1424,estimated
desligamentos,ppml,-0.042062524082840225,0.0347416005476401,0.22684423694424805,21984,340,1424,estimated
n_movimentacoes,ppml,-0.04802443178797702,0.035366295362647494,0.17539369485685308,21984,340,1424,estimated
ln_salario_real_adm,ols,-0.050916525883041436,0.010434517940033545,1.638659323122127e-06,21947,340,1424,estimated
asinh_saldo,ols,-0.5171389394458348,0.38120824337902603,0.17581786214956052,21984,340,1424,estimated
admissoes,ppml,-0.05353632782453758,0.038561526685281254,0.16594658419916453,21984,340,1426,estimated
desligamentos,ppml,-0.04200756538688768,0.03472496363432997,0.22722835309715173,21984,340,1426,estimated
n_movimentacoes,ppml,-0.04796913727915218,0.035351195622229534,0.17570591847826655,21984,340,1426,estimated
ln_salario_real_adm,ols,-0.05080684846612111,0.01043582502358208,1.7272051966443769e-06,21947,340,1426,estimated
asinh_saldo,ols,-0.4749893923938393,0.37493406865123186,0.20607463056403752,21984,340,1426,estimated
admissoes,ppml,-0.05374573123287413,0.03856132268025721,0.16429913872032698,21984,340,2035,estimated
desligamentos,ppml,-0.04199977050887641,0.034704290132545175,0.22703826036788688,21984,340,2035,estimated
n_movimentacoes,ppml,-0.04807232728019835,0.03533868891230479,0.17462892570699018,21984,340,2035,estimated
ln_salario_real_adm,ols,-0.051394859702924206,0.01041512768338883,1.2613022553065178e-06,21947,340,2035,estimated
asinh_saldo,ols,-0.5645188134961004,0.3825283775087696,0.14093742269977083,21984,340,2035,estimated
admissoes,ppml,-0.05379473582998397,0.03856973157969801,0.16400756927637605,21984,340,2111,estimated
desligamentos,ppml,-0.04203168969633244,0.0347087014042088,0.2267449997039166,21984,340,2111,estimated
n_movimentacoes,ppml,-0.048112145452442356,0.0353449003587038,0.17434863722659966,21984,340,2111,estimated
ln_salario_real_adm,ols,-0.05048062548663903,0.010432722709868236,1.988045407186334e-06,21947,340,2111,estimated
asinh_saldo,ols,-0.5771029387505481,0.3818721742899172,0.13165726685306112,21984,340,2111,estimated
admissoes,ppml,-0.05388087178645911,0.038575612513479254,0.16339947645488673,21984,340,2112,estimated
desligamentos,ppml,-0.042128685476354406,0.03470999575099741,0.2256944246475201,21984,340,2112,estimated
