ano,treated_main,fluxo,total,transferencias,share_pct
2020,0,admissao,134953,0,0.0
2020,0,desligamento,222266,0,0.0
2020,1,admissao,62072,0,0.0
2020,1,desligamento,102247,0,0.0
2021,0,admissao,8613999,0,0.0
2021,0,desligamento,7509738,0,0.0
2021,1,admissao,4742561,0,0.0
2021,1,desligamento,4019458,0,0.0
2022,0,admissao,9249349,0,0.0
2022,0,desligamento,8444714,0,0.0
2022,1,admissao,5007704,0,0.0
2022,1,desligamento,4608172,0,0.0
2023,0,admissao,9541794,0,0.0
2023,0,desligamento,8922682,0,0.0
2023,1,admissao,4935093,0,0.0
2023,1,desligamento,4653351,0,0.0
2024,0,admissao,10373529,0,0.0
2024,0,desligamento,9687450,0,0.0
2024,1,admissao,5356422,0,0.0
2024,1,desligamento,5005172,0,0.0
2025,0,admissao,10704155,0,0.0
2025,0,desligamento,10151663,0,0.0
2025,1,admissao,5525279,0,0.0
2025,1,desligamento,5280015,0,0.0
2026,0,admissao,4747908,0,0.0
2026,0,desligamento,4293604,0,0.0
2026,1,admissao,2378966,0,0.0
2026,1,desligamento,2296013,0,0.0
