fluxo,movement_type,rows,share_pct
admissao,97,122905899,93.23627985890789
admissao,20,8146244,6.1797317424361315
admissao,10,601660,0.4564186145362357
admissao,35,92046,0.06982599440481727
admissao,25,76119,0.057743789714928245
desligamento,31,55610864,45.5598764261009
desligamento,40,42088476,34.48149565744768
desligamento,43,19903200,16.305938574951316
desligamento,32,2441568,2.0002842675834405
desligamento,90,1236592,1.0130930299789078
desligamento,60,448127,0.36713349289446967
desligamento,45,116290,0.09527199630617632
desligamento,98,99700,0.0816804371117532
desligamento,50,61848,0.050669725922645056
desligamento,33,54386,0.04455639170270621
