dimension,group_id,group_label,outcome,coefficient,standard_error,adjusted_ci_low,adjusted_ci_high,nominal_p_value,bh_adjusted_p_value,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_discovery_alpha,adjusted_interval_method,family_id,family_size
sex,men,Men,admissoes,-0.0778784829017796,0.0272230190336014,-0.14418012609977568,-0.011576839703783509,0.0044876738739709,0.018819277536007,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,men,Men,desligamentos,-0.0635432237571123,0.0243874304340855,-0.12293879296862822,-0.004147654545596367,0.0095752513108526,0.0336427748759686,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,men,Men,n_movimentacoes,-0.0709620001960866,0.0233153024337706,-0.12774640243704277,-0.014177597955130426,0.0025199704373999,0.0112964192021374,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,men,Men,ln_salario_real_adm,-0.0501069649358208,0.0121783727804524,-0.07976738304834208,-0.02044654682329952,4.8743947160367895e-05,0.0004526223664891,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,men,Men,asinh_saldo,-0.2451347945450011,0.3434132983404746,-1.0815176346669397,0.5912480455769374,0.4758290797435245,0.5818511705419136,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,admissoes,-0.0723873481863334,0.0463534238272003,-0.18528276884120617,0.04050807246853938,0.1193059009516916,0.2280848106429398,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,desligamentos,-0.0776432705137559,0.0371176162754912,-0.16804319814926855,0.012756657121756748,0.0371963371115673,0.0948141926373284,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,n_movimentacoes,-0.0744482502593799,0.0406621998645687,-0.1734810086664691,0.024584508147709308,0.0679911438180949,0.1578365838634345,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,ln_salario_real_adm,-0.0490658945333244,0.0117260636181096,-0.07762514162858347,-0.020506647438065323,3.647498792158643e-05,0.0003647498792158,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
sex,women,Women,asinh_saldo,-1.0187905320358537,0.3015252866557431,-1.7531551499478821,-0.28442591412382534,0.0008125748238956,0.0042253890842571,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,admissoes,-0.0741052739665235,0.0322121368800767,-0.15255908477509278,0.004348536842045794,0.0220243408998903,0.0650719162951304,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,desligamentos,-0.0530134494522436,0.0359362776734424,-0.1405375382841221,0.03451063937963491,0.1410850267868744,0.2441470915797153,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,n_movimentacoes,-0.063850082076608,0.0310253295342569,-0.1394133811714774,0.011713217018261377,0.0403544006905136,0.100886001726284,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_22_25,Age 22-25,ln_salario_real_adm,-0.0517373180873344,0.0104744794396787,-0.07724867142753097,-0.02622596474713783,1.234660626403539e-06,4.0126470358115014e-05,True,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
