cbo_4d,outcome,trend_scale,pre_observations,pre_slope,slope_status
1111,admissoes,log1p,23,-0.029463879391330768,estimated
1113,admissoes,log1p,23,-0.02847299144446041,estimated
1414,admissoes,log1p,23,0.0006091044490687845,estimated
1423,admissoes,log1p,23,0.0034903165130698802,estimated
1424,admissoes,log1p,23,-0.003646887282764464,estimated
1426,admissoes,log1p,23,-0.006555130343925182,estimated
2035,admissoes,log1p,23,0.014473359596913546,estimated
2111,admissoes,log1p,23,0.008051464307481989,estimated
2112,admissoes,log1p,23,0.01857862134040491,estimated
2123,admissoes,log1p,23,0.0027586381544582286,estimated
2124,admissoes,log1p,23,-0.004633031675484883,estimated
2131,admissoes,log1p,23,-0.027953962509902286,estimated
2133,admissoes,log1p,23,-0.023399093559406812,estimated
2142,admissoes,log1p,23,0.0016773393797009338,estimated
2143,admissoes,log1p,23,0.0033970174847492976,estimated
2144,admissoes,log1p,23,0.014837084856873716,estimated
2146,admissoes,log1p,23,0.0009114648016663418,estimated
2147,admissoes,log1p,23,-0.011840788200318452,estimated
2148,admissoes,log1p,23,0.01367917897715989,estimated
2152,admissoes,log1p,23,-0.005369539148255988,estimated
2153,admissoes,log1p,23,0.012076759379382126,estimated
2221,admissoes,log1p,23,0.0037225894172401228,estimated
2232,admissoes,log1p,23,0.014739003746116874,estimated
2233,admissoes,log1p,23,-0.0001041199226485893,estimated
2236,admissoes,log1p,23,-0.029897092854490197,estimated
2237,admissoes,log1p,23,0.010602442749089034,estimated
2238,admissoes,log1p,23,0.007867886651139116,estimated
2239,admissoes,log1p,23,0.00677543167224888,estimated
2251,admissoes,log1p,23,-0.003619327874049879,estimated
2252,admissoes,log1p,23,0.015505327604279593,estimated
2253,admissoes,log1p,23,0.03220136709241641,estimated
2312,admissoes,log1p,23,-0.016327795423262955,estimated
2313,admissoes,log1p,23,-0.012663748572763048,estimated
2392,admissoes,log1p,23,0.02264419340029815,estimated
2394,admissoes,log1p,23,0.010659518808199576,estimated
2511,admissoes,log1p,23,0.0005057207314379412,estimated
2512,admissoes,log1p,23,0.0002617231212122524,estimated
2513,admissoes,log1p,23,0.005778495216568702,estimated
2515,admissoes,log1p,23,0.017664074614274987,estimated
2516,admissoes,log1p,23,0.010656937481449682,estimated
2521,admissoes,log1p,23,0.0031241647186310883,estimated
2522,admissoes,log1p,23,-0.0014754473786740426,estimated
2523,admissoes,log1p,23,0.0054460768042072435,estimated
2531,admissoes,log1p,23,-0.008530017918554676,estimated
2611,admissoes,log1p,23,-0.005047167827237782,estimated
2612,admissoes,log1p,23,-0.009532372084145617,estimated
2613,admissoes,log1p,23,0.014028586786321469,estimated
2614,admissoes,log1p,23,0.038272164150814254,estimated
2615,admissoes,log1p,23,-0.006213160167363116,estimated
2616,admissoes,log1p,23,-0.01973611962512609,estimated
2617,admissoes,log1p,23,-3.5444967984799454e-05,estimated
2624,admissoes,log1p,23,0.00013114542124325685,estimated
2626,admissoes,log1p,23,0.029448957138438564,estimated
2627,admissoes,log1p,23,0.03860264450488294,estimated
2628,admissoes,log1p,23,0.02779145850116955,estimated
2631,admissoes,log1p,23,-0.024306849771149344,estimated
3003,admissoes,log1p,23,0.008089802315446128,estimated
3011,admissoes,log1p,23,-0.0008198038029562467,estimated
3111,admissoes,log1p,23,-0.0013601344425334247,estimated
3112,admissoes,log1p,23,0.03209132682570253,estimated
3113,admissoes,log1p,23,-0.003464761458395833,estimated
3115,admissoes,log1p,23,0.015341780285803778,estimated
3116,admissoes,log1p,23,-0.012613099731831022,estimated
3117,admissoes,log1p,23,-0.015212893910603983,estimated
3121,admissoes,log1p,23,0.006409228888585578,estimated
3122,admissoes,log1p,23,0.006890632098296388,estimated
3131,admissoes,log1p,23,-0.0009970167076646542,estimated
3132,admissoes,log1p,23,-0.0006522328470391804,estimated
3133,admissoes,log1p,23,0.0006314314106148917,estimated
3134,admissoes,log1p,23,-0.0034585337442737296,estimated
3141,admissoes,log1p,23,0.0015889693289383396,estimated
3143,admissoes,log1p,23,-0.0005626095672764421,estimated
3147,admissoes,log1p,23,-0.026461473945777733,estimated
3161,admissoes,log1p,23,0.030910014536821708,estimated
3163,admissoes,log1p,23,0.009825795358934394,estimated
3171,admissoes,log1p,23,-0.010092090205347053,estimated
3172,admissoes,log1p,23,0.009638954080216257,estimated
3188,admissoes,log1p,23,-0.0002445847215763334,estimated
3211,admissoes,log1p,23,-0.005739510997726912,estimated
3213,admissoes,log1p,23,0.02010454449131289,estimated
3221,admissoes,log1p,23,0.016077148902565324,estimated
3223,admissoes,log1p,23,0.007349968949151415,estimated
3224,admissoes,log1p,23,0.000504177896179977,estimated
3225,admissoes,log1p,23,-0.006566239776948231,estimated
3231,admissoes,log1p,23,0.02969057250403028,estimated
3241,admissoes,log1p,23,0.0014919244248502769,estimated
3242,admissoes,log1p,23,-0.004334154136523136,estimated
3252,admissoes,log1p,23,0.012900547576637795,estimated
3281,admissoes,log1p,23,0.02459538891414636,estimated
3411,admissoes,log1p,23,0.018041792672814094,estimated
3412,admissoes,log1p,23,0.0016281226192827174,estimated
3422,admissoes,log1p,23,-0.0034346080204751706,estimated
3423,admissoes,log1p,23,0.006797538691985885,estimated
3425,admissoes,log1p,23,0.03781651158815198,estimated
3511,admissoes,log1p,23,-0.013095144184918642,estimated
3513,admissoes,log1p,23,0.005919103059340025,estimated
3514,admissoes,log1p,23,0.00022921084907825818,estimated
3515,admissoes,log1p,23,0.0020197136080314514,estimated
3516,admissoes,log1p,23,0.009620016507469582,estimated
3517,admissoes,log1p,23,0.005179929161726613,estimated
3532,admissoes,log1p,23,0.007052784448455112,estimated
3541,admissoes,log1p,23,0.008397700246743309,estimated
3543,admissoes,log1p,23,0.0035363155133791633,estimated
3544,admissoes,log1p,23,0.006801845713575894,estimated
3545,admissoes,log1p,23,0.008843446788506088,estimated
3547,admissoes,log1p,23,0.009910141759633484,estimated
3548,admissoes,log1p,23,0.06475529825582156,estimated
3711,admissoes,log1p,23,0.025977108546493162,estimated
3713,admissoes,log1p,23,-0.012507978334383723,estimated
3751,admissoes,log1p,23,-0.023518751127382945,estimated
3762,admissoes,log1p,23,0.02160058725039379,estimated
3764,admissoes,log1p,23,0.016237087062019703,estimated
3911,admissoes,log1p,23,0.001905329241564156,estimated
3912,admissoes,log1p,23,0.004951422228000385,estimated
4102,admissoes,log1p,23,0.010158335641628168,estimated
4110,admissoes,log1p,23,0.004549400975208515,estimated
4121,admissoes,log1p,23,-0.008827172238770902,estimated
4122,admissoes,log1p,23,-0.0009927221545207345,estimated
4131,admissoes,log1p,23,-6.232153501432073e-05,estimated
4132,admissoes,log1p,23,0.001649359172800934,estimated
4142,admissoes,log1p,23,0.0067987515651094215,estimated
4151,admissoes,log1p,23,0.012115429632541941,estimated
4152,admissoes,log1p,23,-0.019168645068692466,estimated
4211,admissoes,log1p,23,0.01721835157754512,estimated
4212,admissoes,log1p,23,-0.003355136523960758,estimated
4221,admissoes,log1p,23,0.010791013082989038,estimated
4222,admissoes,log1p,23,-0.0017947738381924388,estimated
4223,admissoes,log1p,23,-0.006563332623382428,estimated
4241,admissoes,log1p,23,0.023327163741654822,estimated
5111,admissoes,log1p,23,-0.0025542089587183413,estimated
5121,admissoes,log1p,23,0.00033281227395994683,estimated
5131,admissoes,log1p,23,0.0102369605368142,estimated
5132,admissoes,log1p,23,0.013458141852742344,estimated
5142,admissoes,log1p,23,0.0054704249022210095,estimated
5143,admissoes,log1p,23,0.012949999625887155,estimated
5151,admissoes,log1p,23,0.03274423202643467,estimated
5152,admissoes,log1p,23,-0.004726088657471158,estimated
5161,admissoes,log1p,23,0.016800279584432046,estimated
5162,admissoes,log1p,23,0.03268271748330463,estimated
5163,admissoes,log1p,23,0.007219846352238918,estimated
5164,admissoes,log1p,23,0.009404692896134064,estimated
5165,admissoes,log1p,23,-0.01115834275577303,estimated
5166,admissoes,log1p,23,0.0053704135276966,estimated
5171,admissoes,log1p,23,0.016324473800521433,estimated
5172,admissoes,log1p,23,0.042633857346717895,estimated
5173,admissoes,log1p,23,0.003970366543628533,estimated
5199,admissoes,log1p,23,0.011939166451027786,estimated
5231,admissoes,log1p,23,0.00653157314418083,estimated
5241,admissoes,log1p,23,0.0008605655901633007,estimated
5242,admissoes,log1p,23,0.001923618272863406,estimated
5243,admissoes,log1p,23,-0.008821377902933965,estimated
6110,admissoes,log1p,23,-0.012663920232404154,estimated
6120,admissoes,log1p,23,-0.008346742587817332,estimated
6122,admissoes,log1p,7,0.00992165263387878,estimated
6125,admissoes,log1p,23,-0.029742759280611483,estimated
6130,admissoes,log1p,23,0.010497004604087413,estimated
6131,admissoes,log1p,23,-0.002047294577864556,estimated
6133,admissoes,log1p,23,0.014382672918183419,estimated
6201,admissoes,log1p,23,-0.0005267066686528989,estimated
6210,admissoes,log1p,23,-0.001396529579389763,estimated
6220,admissoes,log1p,23,-0.004020726279537241,estimated
6221,admissoes,log1p,23,0.005496190788089206,estimated
6222,admissoes,log1p,23,-0.025250226386305696,estimated
6225,admissoes,log1p,23,-0.0020957629936261797,estimated
6226,admissoes,log1p,23,-0.005221833861661915,estimated
6227,admissoes,log1p,23,-0.010395874409610728,estimated
6228,admissoes,log1p,23,0.022796087768953213,estimated
6230,admissoes,log1p,23,0.0054191203525205305,estimated
6231,admissoes,log1p,23,-0.0009106672434224928,estimated
6232,admissoes,log1p,23,-0.0006896097347768971,estimated
6233,admissoes,log1p,23,0.004768215933198466,estimated
6234,admissoes,log1p,23,0.013040826759718717,estimated
6310,admissoes,log1p,23,0.006667102544767549,estimated
6311,admissoes,log1p,23,-0.0062940472817480855,estimated
6312,admissoes,log1p,23,-0.007440360934703738,estimated
6313,admissoes,log1p,23,-0.0013934579520340354,estimated
6314,admissoes,log1p,23,0.021209479572567615,estimated
6320,admissoes,log1p,23,0.027535783155739547,estimated
6321,admissoes,log1p,23,0.004064778756548146,estimated
6322,admissoes,log1p,23,0.002737642946217859,estimated
6323,admissoes,log1p,23,0.08200305694225153,estimated
6324,admissoes,log1p,23,0.024229130553545523,estimated
6325,admissoes,log1p,23,-0.04676819659528227,estimated
6326,admissoes,log1p,23,-0.0056790883570693685,estimated
6410,admissoes,log1p,23,-0.010525971426353692,estimated
6420,admissoes,log1p,23,0.012268243828507124,estimated
7101,admissoes,log1p,23,-0.010002864825041492,estimated
7102,admissoes,log1p,23,0.006506656924557494,estimated
7111,admissoes,log1p,23,-0.008278853175399377,estimated
7112,admissoes,log1p,23,0.0022287220560152847,estimated
7113,admissoes,log1p,23,0.008220755928285247,estimated
7114,admissoes,log1p,23,0.014272961218949026,estimated
7121,admissoes,log1p,23,-0.0030348079585197163,estimated
7122,admissoes,log1p,23,-0.012588009369499943,estimated
