model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows
age_pnad__age_18_24__admissoes,admissoes,post_treat_group,ppml,0.03260221670903895,0.03386803827925393,-0.0340150540670768,0.09921948748515469,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.3139491865740442,age_pnad,micro,age_18_24,Age 18-24,estimated,,0.3364199176940581,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5046298765410872,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_18_24__desligamentos,desligamentos,post_treat_group,ppml,0.050794364346844034,0.04484024784434808,-0.03740486667105829,0.13899359536474637,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,5.210652042546207,age_pnad,micro,age_18_24,Age 18-24,estimated,,0.2581027070710311,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4395177981987693,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_18_24__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.03965498116460509,0.03770853168245381,-0.034516408537600664,0.11382637086681086,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,4.045173681210089,age_pnad,micro,age_18_24,Age 18-24,estimated,,0.293721552566677,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4637708724737005,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_18_24__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0033657975278046006,0.010383369913062898,-0.023789530351172664,0.01705793529556346,340,"{""cbo_4d"": 341}",341,43615,44098,43615,483,483,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_pnad,micro,age_18_24,Age 18-24,estimated,,0.746021740764661,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.8607943162669165,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_18_24__asinh_saldo,asinh_saldo,post_treat_group,ols,0.7096808728812376,0.40370275705119507,-0.08438861699582312,1.5037503627582982,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_pnad,micro,age_18_24,Age 18-24,estimated,,0.07965935203075003,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.2987225701153126,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_25_34__admissoes,admissoes,post_treat_group,ppml,-0.02073583842993934,0.015759275608358814,-0.05173379354564975,0.01026211668577107,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-2.0522329242814608,age_pnad,micro,age_25_34,Age 25-34,estimated,,0.18913228480261068,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.39892349205276517,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_25_34__desligamentos,desligamentos,post_treat_group,ppml,-0.027528307946933978,0.018031799480087422,-0.0629962396482344,0.007939623754366451,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-2.715285714163519,age_pnad,micro,age_25_34,Age 25-34,estimated,,0.12777691293187976,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.39892349205276517,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_25_34__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.02289320875132684,0.015791291563870543,-0.05395413815447295,0.008167720651819269,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-2.263314757306911,age_pnad,micro,age_25_34,Age 25-34,estimated,,0.14805383905857927,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.39892349205276517,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_25_34__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0006042740226166053,0.006060381892164751,-0.012524837539999683,0.011316289494766473,340,"{""cbo_4d"": 341}",341,43878,44098,43878,220,220,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_pnad,micro,age_25_34,Age 25-34,estimated,,0.9206341971814158,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9523802039807749,B,30,Benjamini-Hochberg,False,False,adequate,75,266
age_pnad__age_25_34__asinh_saldo,asinh_saldo,post_treat_group,ols,-0.12453717348119457,0.22332028336402188,-0.5638005185853286,0.3147261716229395,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_pnad,micro,age_25_34,Age 25-34,estimated,,0.5774423720313919,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.7218029650392399,B,30,Benjamini-Hochberg,False,False,adequate,75,266
