dimension,dimension_kind,group_id,group_label,outcome,estimator,event_window,lead_window,reference_event_time,reference_period,multiplicity_adjusted,interpretation,ddd_status,ddd_error,ddd_joint_lead_p_value,ddd_joint_lead_statistic,ddd_joint_lead_count,ddd_lead_covariance_positive_semidefinite,ddd_lead_covariance_min_eigenvalue,ddd_lead_covariance_dimension,ddd_lead_covariance_rank,ddd_lead_covariance_full_rank,ddd_lead_covariance_condition_number,ddd_lead_covariance_rank_tolerance,ddd_lead_covariance_psd_tolerance,ddd_linear_pretrend_coefficient,ddd_linear_pretrend_standard_error,ddd_linear_pretrend_p_value,ddd_dynamic_pre_p_lt_005,ddd_dynamic_min_p_value,ddd_pretrend_status,ddd_n_obs,ddd_minimum_clusters,ddd_formula,group_pretrend_status,group_pretrend_error,group_pretrend_joint_lead_p_value,group_pretrend_joint_lead_statistic,group_pretrend_joint_lead_count,group_pretrend_lead_covariance_positive_semidefinite,group_pretrend_lead_covariance_min_eigenvalue,group_pretrend_lead_covariance_dimension,group_pretrend_lead_covariance_rank,group_pretrend_lead_covariance_full_rank,group_pretrend_lead_covariance_condition_number,group_pretrend_lead_covariance_rank_tolerance,group_pretrend_lead_covariance_psd_tolerance,group_pretrend_linear_pretrend_coefficient,group_pretrend_linear_pretrend_standard_error,group_pretrend_linear_pretrend_p_value,group_pretrend_dynamic_pre_p_lt_005,group_pretrend_dynamic_min_p_value,group_pretrend_pretrend_status,group_pretrend_n_obs,group_pretrend_minimum_clusters,group_pretrend_formula,group_did_status,group_did_error,group_did_coefficient,group_did_standard_error,group_did_p_value,group_did_n_obs,group_did_clusters,group_mde_80_power,ddd_coefficient,ddd_standard_error,ddd_cluster_df,ddd_nominal_p_value,ddd_bh_adjusted_p_value,support_status,ddd_mde_80_power,family_id,family_size
age_pnad,micro,age_18_24,Age 18-24,admissoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,1.9965199776828695e-12,102.90479542935665,22,True,8.512778871254894e-06,22,22,True,3264.7925920289804,1.3576563489481196e-16,-1e-08,0.002122837843948856,0.0008118635318310347,0.009326212530686995,3,0.016487926009915777,fail,31870,341,"admissoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,9.501223333956794e-52,305.46543676244914,22,True,8.354842660856439e-06,22,22,True,15420.619716859066,6.293656112443086e-16,-1e-08,-0.0034776469842169476,0.0008366139535406402,4.088870600771344e-05,7,0.011372403491978433,fail,15935,341,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.03797584367454533,0.035969685577569556,0.2918212844304935,15935,341,0.10106206250461354,0.0326022167090389,0.0338680382792539,340,0.3364199176940581,0.5046298765410872,adequate,0.09515717878893608,B,30
age_pnad,micro,age_18_24,Age 18-24,desligamentos,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,8.79022171166367e-15,116.12096367775654,22,True,8.824143769434263e-06,22,22,True,1581.8754675327355,6.818797173984075e-17,-1e-08,0.0030523113918835367,0.0007234869313093567,3.152806405459785e-05,1,0.020395296987786082,fail,31861,341,"desligamentos ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,5.111985867757749e-24,165.63906546005217,22,True,7.467381344583998e-06,22,22,True,4076.1780250592287,1.4869089655392949e-16,-1e-08,0.004881076347584502,0.000770688355882877,7.618370378992267e-10,9,0.0001032273115288973,fail,15926,340,"desligamentos ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.017030861098738307,0.044337146382811,0.7011290549429887,15926,340,0.12457271803709961,0.050794364346844,0.044840247844348,340,0.2581027070710311,0.4395177981987693,adequate,0.12598519719042983,B,30
age_pnad,micro,age_18_24,Age 18-24,n_movimentacoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,3.323646544192909e-23,161.38114210583348,22,True,5.911963524465851e-06,22,22,True,3145.371950738585,9.08378113529246e-17,-1e-08,0.0037435167007173155,0.0008190404195087873,6.815951456795588e-06,2,0.008247965002091462,fail,31870,341,"n_movimentacoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,8.412993689971741e-63,359.60847552225596,22,True,3.989536032471831e-06,22,22,True,13036.51153891048,2.540660827252201e-16,-1e-08,-0.0020535266274231945,0.001021172914234242,0.04511984860299845,0,0.05488909048429136,fail,15935,341,"n_movimentacoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.02838084188134172,0.03785599648876283,0.45395062667051134,15935,341,0.10636192732547892,0.039654981164605,0.0377085316824538,340,0.293721552566677,0.4637708724737005,adequate,0.1059476035071543,B,30
age_pnad,micro,age_18_24,Age 18-24,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,0.08103759592571626,31.790554658740284,22,True,6.445820842804991e-05,22,22,True,104.67318477109824,3.2959193405106703e-17,-1e-08,0.0007973988904182068,0.0005151799077671006,0.12259912160118946,2,0.0054130861721206625,fail,31516,341,"ln_salario_real_adm ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,0.8394316569506793,15.510141911317472,22,True,4.9231074419706905e-05,22,22,True,122.05744306164458,2.935394580353032e-17,-1e-08,-0.0005559450780655475,0.0004945013600926149,0.2617007735585881,1,0.03255624964332138,warning,15616,340,"ln_salario_real_adm ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.05115847312592965,0.011062691500570635,5.350968622863661e-06,15616,340,0.031082504433940776,-0.0033657975278046,0.0103833699130628,340,0.746021740764661,0.8607943162669165,adequate,0.02917358776738524,B,30
age_pnad,micro,age_18_24,Age 18-24,asinh_saldo,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,4.89346994409797e-07,70.8299536986874,22,True,0.0621226384914905,22,22,True,132.37341504828407,4.0171085967972444e-14,-1e-08,0.03423921703720384,0.021446777931638364,0.1113120637911289,3,0.002044563585727577,fail,31870,341,"asinh_saldo ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,2.642009612326551e-06,66.13774854491345,22,True,0.007923415101957626,22,22,True,308.7974643018414,1.1952232720457922e-14,-1e-08,0.016455280317829873,0.008399009682626524,0.050907079607144246,21,1.835997354149299e-09,fail,15935,341,"asinh_saldo ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.03438273917918376,0.1930361797324017,0.8587383303944693,15935,341,0.542363219152887,0.7096808728812376,0.403702757051195,340,0.07965935203075,0.2987225701153126,adequate,1.134261604216932,B,30
age_pnad,micro,age_25_34,Age 25-34,admissoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,6.042563925170873e-05,57.04734663015117,22,True,5.421995336750063e-06,22,22,True,1836.3989350220743,4.8639497355617104e-17,-1e-08,-0.00011103155441815082,0.0003403389593921416,0.7444448878803982,0,0.16022570238466427,fail,31870,341,"admissoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,1.542496298884872e-41,254.84885032095832,22,True,9.119522409194729e-06,22,22,True,8841.434974117485,3.9387440337506326e-16,-1e-08,-0.003941413827184031,0.000898609764781349,1.5409879023486894e-05,7,0.0008166021038957805,fail,15935,341,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.06930304124768588,0.03137281521936582,0.027839925289768086,15935,341,0.0881464867355528,-0.0207358384299393,0.0157592756083588,340,0.1891322848026106,0.3989234920527651,adequate,0.04427797660685039,B,30
age_pnad,micro,age_25_34,Age 25-34,desligamentos,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,7.55312447766842e-05,56.37528484961696,22,True,6.493875668672541e-06,22,22,True,513.1299911749035,1.627774626650222e-17,-1e-08,0.0007315517170618535,0.00042604744649915534,0.08687771674102729,0,0.06625606813918528,fail,31870,341,"desligamentos ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,6.343237560815462e-14,111.34547167285676,22,True,8.219752675800137e-06,22,22,True,2529.0821411114916,1.0155109049843914e-16,-1e-08,0.0007005012679325424,0.0009412283508879909,0.4572443922645797,14,0.00011779501577757756,fail,15935,341,"desligamentos ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.06082324247313704,0.02579834390841004,0.018957468961897428,15935,341,0.07248419892258119,-0.0275283079469339,0.0180317994800874,340,0.1277769129318797,0.3989234920527651,adequate,0.05066296290517601,B,30
age_pnad,micro,age_25_34,Age 25-34,n_movimentacoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,2.5687029312880327e-07,72.59353832170912,22,True,2.6920744274843594e-06,22,22,True,2153.98260867596,2.832645073111477e-17,-1e-08,-0.00018875426596097638,0.0003391621573801526,0.5782139907816797,0,0.12618934087436928,fail,31870,341,"n_movimentacoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,1.8183790040822537e-27,183.54944444766875,22,True,5.866872249879086e-06,22,22,True,4844.743579750348,1.388482255055766e-16,-1e-08,-0.0014345050288094617,0.0008643366765136725,0.0979048844361845,1,0.014052612408016474,fail,15935,341,"n_movimentacoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.06432750985112891,0.026133563793842556,0.014332109227456424,15935,341,0.07342604793989639,-0.0228932087513268,0.0157912915638705,340,0.1480538390585792,0.3989234920527651,adequate,0.04436793008976563,B,30
age_pnad,micro,age_25_34,Age 25-34,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,0.14780691337709748,28.89762631789306,22,True,3.70974403746058e-05,22,22,True,224.38059937110523,4.066232016442713e-17,-1e-08,-0.0007984979194131386,0.0004603471697895346,0.0837257749634226,1,0.02181779215543367,warning,31716,341,"ln_salario_real_adm ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,6.203606268267087e-06,63.713415935919166,22,True,3.953690170416393e-05,22,22,True,137.31642304584526,2.6520885542620487e-17,-1e-08,-0.001178679992435678,0.0005401626361700567,0.029787482506710372,5,0.0003870152775402591,fail,15828,341,"ln_salario_real_adm ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.04598193465328599,0.010958335734683218,3.470248872905479e-05,15828,341,0.03078903785735918,-0.0006042740226166,0.0060603818921647,340,0.9206341971814158,0.9523802039807748,adequate,0.017027524254193422,B,30
age_pnad,micro,age_25_34,Age 25-34,asinh_saldo,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,0.03599026286746553,35.305380142780706,22,True,0.04662519706719927,22,22,True,91.71857818891334,2.0890118350978294e-14,-1e-08,-0.0392472217705224,0.015076503260449363,0.009640320078085018,1,0.011389106521489722,fail,31870,341,"asinh_saldo ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,1.1198185358827836e-09,86.96457652072337,22,True,0.04478666904976389,22,22,True,150.4382092890553,3.291317849842753e-14,-1e-08,-0.022504994081516246,0.019453299088283128,0.24813644859258321,21,6.703873631774826e-07,fail,15935,341,"asinh_saldo ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.5068797879694806,0.352874646761956,0.1517994515273251,15935,341,0.9914526367055303,-0.1245371734811945,0.2233202833640218,340,0.5774423720313919,0.7218029650392399,adequate,0.6274508123573028,B,30
