model_id,outcome,estimator,term,event_time,coefficient,standard_error,is_reference,n_obs,minimum_clusters,sample_id,status,reference_event_time
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-23]:treat_group",-23,-0.06375444101466371,0.054216374542382775,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-22]:treat_group",-22,-0.03038498167649552,0.057108118753058525,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-21]:treat_group",-21,-0.06904462005719576,0.0488301272902554,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-20]:treat_group",-20,-0.048513957170031444,0.05870433539600674,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-19]:treat_group",-19,-0.03067216969747511,0.04938867790031909,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-18]:treat_group",-18,-0.0373660305816779,0.045582603394974205,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-17]:treat_group",-17,-0.07681318012410294,0.03860568240705756,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-16]:treat_group",-16,-0.06778813922978248,0.04506964290501511,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-15]:treat_group",-15,-0.08257582601992498,0.036394189238799675,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-14]:treat_group",-14,-0.06793304506250666,0.028189271144195796,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-13]:treat_group",-13,-0.0023945009178266913,0.02611070680841053,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-12]:treat_group",-12,0.026257372185756928,0.02942988730934849,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-11]:treat_group",-11,-0.03697499557962957,0.034436046474049076,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-10]:treat_group",-10,0.009201975140151046,0.04441214644543485,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-9]:treat_group",-9,-0.02143993875125692,0.03267582575164911,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-8]:treat_group",-8,-0.018108098249164338,0.03700253252317569,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-7]:treat_group",-7,-0.02123801920404095,0.032017952970617033,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-6]:treat_group",-6,-0.02377192240593931,0.032213505655229444,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-5]:treat_group",-5,-0.03762396196370552,0.029512442260728463,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-4]:treat_group",-4,-0.05319779181040445,0.03709742061540351,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-3]:treat_group",-3,-0.05750131888087237,0.032417088380696235,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-2]:treat_group",-2,-0.035952284811295775,0.021831363528470135,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,reference_event_time,-1,0.0,0.0,True,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[0]:treat_group",0,0.06330363137507854,0.0240475310451979,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[1]:treat_group",1,0.013902915445571836,0.03294820513285106,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[2]:treat_group",2,0.03655729741751372,0.04487007555881457,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[3]:treat_group",3,0.01901254304453643,0.032645774311422855,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[4]:treat_group",4,0.009405943387486532,0.03769087623069874,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[5]:treat_group",5,0.007394502818661676,0.0321817228303485,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[6]:treat_group",6,0.006669441455990969,0.03551886764815831,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[7]:treat_group",7,-0.006481110259547608,0.03471763809259319,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[8]:treat_group",8,-0.01922627798655182,0.043905628044609714,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[9]:treat_group",9,-0.02539687966466586,0.040220535338550904,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[10]:treat_group",10,-0.030925656997094715,0.031102409289898585,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[11]:treat_group",11,-0.015113116163634801,0.02075526089231216,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[12]:treat_group",12,0.05584203504382639,0.018885251583032853,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[13]:treat_group",13,-0.013253865927662216,0.04192081232804475,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[14]:treat_group",14,0.019314503197452912,0.04673001596270926,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[15]:treat_group",15,-0.012920138440024764,0.0423188874927539,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[16]:treat_group",16,-0.03079967806680038,0.03957835121771117,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[17]:treat_group",17,-0.011943717767772769,0.03555538118058905,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[18]:treat_group",18,-0.00728029881635602,0.03410685122814277,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[19]:treat_group",19,-0.05027553165382953,0.03648379708044675,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[20]:treat_group",20,-0.03150967340402805,0.04825407488159416,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[21]:treat_group",21,-0.04862377865785861,0.046887837074371046,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
ddd_pretrend::B::age_pnad::age_18_24::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[22]:treat_group",22,-0.0369854109252707,0.045538368701141335,False,31870,341,family_B:age_pnad:age_18_24,estimated,-1
