dimension,dimension_kind,group_id,group_label,panel_cells,target_cells_with_flows,target_treated_cbo_with_flows,target_control_cbo_with_flows,support_status,negative_admission_cells,negative_separation_cells,family_id,family_size,multiplicity_method
age_canaries,micro,age_22_25,Age 22-25,44098,21810,75,265,adequate,0,0,A,100,Benjamini-Hochberg
age_canaries,micro,age_26_30,Age 26-30,44098,21927,75,266,adequate,0,0,A,100,Benjamini-Hochberg
age_canaries,micro,age_31_34,Age 31-34,44098,21861,75,266,adequate,0,0,A,100,Benjamini-Hochberg
age_canaries,micro,age_35_40,Age 35-40,44098,21887,75,265,adequate,0,0,A,100,Benjamini-Hochberg
age_canaries,micro,age_41_49,Age 41-49,44098,21899,75,266,adequate,0,0,A,100,Benjamini-Hochberg
age_canaries,micro,age_50_plus,Age 50+,44098,21754,75,266,adequate,0,0,A,100,Benjamini-Hochberg
education,micro,fundamental_or_less,Primary or less,44098,21102,75,266,adequate,0,0,A,100,Benjamini-Hochberg
education,micro,high_school,Secondary,44098,21974,75,266,adequate,0,0,A,100,Benjamini-Hochberg
education,micro,higher_education,Higher education,44098,21233,75,266,adequate,0,0,A,100,Benjamini-Hochberg
income,cbo_predetermined,high_income,Over 5 minimum wages,22049,585,3,6,thin,0,0,A,100,Benjamini-Hochberg
income,cbo_predetermined,low_income,Up to 2 minimum wages,22049,17672,46,227,adequate,0,0,A,100,Benjamini-Hochberg
income,cbo_predetermined,middle_income,Over 2 through 5 minimum wages,22049,3770,26,32,limited,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_black,Black,44098,21402,75,265,adequate,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_indigenous,Indigenous,44098,14437,73,259,adequate,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_pardo,Pardo,44098,21991,75,266,adequate,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_unknown,Unidentified,44098,20829,75,266,adequate,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_white,White,44098,21995,75,266,adequate,0,0,A,100,Benjamini-Hochberg
race_color,micro,race_yellow,Yellow,44098,17924,75,264,adequate,0,0,A,100,Benjamini-Hochberg
sex,micro,men,Men,44098,22016,75,266,adequate,0,0,A,100,Benjamini-Hochberg
sex,micro,women,Women,44098,21701,75,266,adequate,0,0,A,100,Benjamini-Hochberg
