model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows
sex__men__admissoes,admissoes,post_treat_group,ppml,0.01163289661634912,0.04658330412776919,-0.0799948663836315,0.10326065961632973,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.170082189189902,sex,micro,men,Men,estimated,,0.8029528062138955,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389055,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__men__desligamentos,desligamentos,post_treat_group,ppml,0.03321761582511136,0.03901066715726548,-0.043515029737190986,0.1099502613874137,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.377548066921627,sex,micro,men,Men,estimated,,0.39509052234681397,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5810154740394323,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__men__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.021595896917953057,0.04197463845770294,-0.06096677862913375,0.10415857246503987,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.1830776061136286,sex,micro,men,Men,estimated,,0.6072376367928947,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.741780137977147,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__men__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.0022265168058659486,0.009993527620421869,-0.017430409586178416,0.021883443197910312,340,"{""cbo_4d"": 341}",341,43292,44098,43292,806,806,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,men,Men,estimated,,0.8238281563548353,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389055,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__men__asinh_saldo,asinh_saldo,post_treat_group,ols,0.7988629867980608,0.21452849543278862,0.376892787296042,1.2208331863000796,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,men,Men,estimated,,0.00022964233889410934,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0025515815432678815,A,100,Benjamini-Hochberg,True,True,adequate,75,266
sex__women__admissoes,admissoes,post_treat_group,ppml,-0.011632896616352431,0.04658330392615602,-0.10326065921976685,0.07999486598706199,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-1.1565496082153597,sex,micro,women,Women,estimated,,0.8029528053786466,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389055,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__women__desligamentos,desligamentos,post_treat_group,ppml,-0.03321761582510792,0.03901066698514076,-0.10995026104884684,0.043515029398631,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-3.267196920490725,sex,micro,women,Women,estimated,,0.39509052026369096,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5810154740394323,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__women__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.021595896917927796,0.04197463826607945,-0.10415857208809776,0.06096677825224217,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-2.1364375171065397,sex,micro,women,Women,estimated,,0.6072376351533375,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.741780137977147,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__women__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.00222651680586695,0.009993527620423898,-0.021883443197915305,0.017430409586181403,340,"{""cbo_4d"": 341}",341,43292,44098,43292,806,806,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,women,Women,estimated,,0.8238281563548353,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.9067913075389055,A,100,Benjamini-Hochberg,False,False,adequate,75,266
sex__women__asinh_saldo,asinh_saldo,post_treat_group,ols,-0.798862986798054,0.21452849543278887,-1.2208331863000734,-0.3768927872960347,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,sex,micro,women,Women,estimated,,0.00022964233889410934,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0025515815432678815,A,100,Benjamini-Hochberg,True,True,adequate,75,266
