dimension,dimension_kind,group_id,group_label,outcome,estimator,event_window,lead_window,reference_event_time,reference_period,multiplicity_adjusted,interpretation,ddd_status,ddd_error,ddd_joint_lead_p_value,ddd_joint_lead_statistic,ddd_joint_lead_count,ddd_lead_covariance_positive_semidefinite,ddd_lead_covariance_min_eigenvalue,ddd_lead_covariance_dimension,ddd_lead_covariance_rank,ddd_lead_covariance_full_rank,ddd_lead_covariance_condition_number,ddd_lead_covariance_rank_tolerance,ddd_lead_covariance_psd_tolerance,ddd_linear_pretrend_coefficient,ddd_linear_pretrend_standard_error,ddd_linear_pretrend_p_value,ddd_dynamic_pre_p_lt_005,ddd_dynamic_min_p_value,ddd_pretrend_status,ddd_n_obs,ddd_minimum_clusters,ddd_formula,group_pretrend_status,group_pretrend_error,group_pretrend_joint_lead_p_value,group_pretrend_joint_lead_statistic,group_pretrend_joint_lead_count,group_pretrend_lead_covariance_positive_semidefinite,group_pretrend_lead_covariance_min_eigenvalue,group_pretrend_lead_covariance_dimension,group_pretrend_lead_covariance_rank,group_pretrend_lead_covariance_full_rank,group_pretrend_lead_covariance_condition_number,group_pretrend_lead_covariance_rank_tolerance,group_pretrend_lead_covariance_psd_tolerance,group_pretrend_linear_pretrend_coefficient,group_pretrend_linear_pretrend_standard_error,group_pretrend_linear_pretrend_p_value,group_pretrend_dynamic_pre_p_lt_005,group_pretrend_dynamic_min_p_value,group_pretrend_pretrend_status,group_pretrend_n_obs,group_pretrend_minimum_clusters,group_pretrend_formula,group_did_status,group_did_error,group_did_coefficient,group_did_standard_error,group_did_p_value,group_did_n_obs,group_did_clusters,group_mde_80_power,ddd_coefficient,ddd_standard_error,ddd_cluster_df,ddd_nominal_p_value,ddd_bh_adjusted_p_value,support_status,ddd_mde_80_power,family_id,family_size
sex,micro,men,Men,admissoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,3.3532282325148854e-12,101.62279219740675,22,True,1.9627545522036825e-05,22,22,True,6382.571646969186,6.119622013730227e-16,-1e-08,-0.0014592804672794492,0.0014832797689446281,0.3259035323634234,0,0.08025344738127194,fail,31861,341,"admissoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,2.0306794839368447e-47,284.0848228521447,22,True,9.333833745164742e-06,22,22,True,3435.5154525377056,1.566443999810858e-16,-1e-08,-0.005581649907574139,0.0008895890221695262,1.0679024331494702e-09,5,0.0008752868791703783,fail,15935,341,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.07787848290177964,0.02722301903360148,0.0044876738739709765,15935,341,0.0764870308695096,0.0116328966163491,0.0465833041277691,340,0.8029528062138955,0.9067913075389056,adequate,0.1308825673018331,A,100
sex,micro,men,Men,desligamentos,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,1.5422316101220939e-10,92.0318273439706,22,True,1.19009308936159e-05,22,22,True,2906.301173588228,1.6896021632994432e-16,-1e-08,-0.0015214490779567882,0.000624200295579816,0.015303840665306767,5,0.002012921519211508,fail,31870,341,"desligamentos ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,3.086946397260491e-13,107.49109158879583,22,True,9.753931221445319e-06,22,22,True,3049.0079385505815,1.4527843416662358e-16,-1e-08,0.0015577178950281656,0.0007349971217814318,0.034785078010890924,16,8.32458898283317e-05,fail,15935,341,"desligamentos ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.06354322375711238,0.02438743043408554,0.009575251310852684,15935,341,0.06852003233504499,0.0332176158251113,0.0390106671572654,340,0.3950905223468139,0.5810154740394323,adequate,0.10960614248607013,A,100
sex,micro,men,Men,n_movimentacoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,1.0305807216074128e-28,189.96985030093208,22,True,6.386461159139975e-06,22,22,True,10168.78995433206,3.172432995709501e-16,-1e-08,0.002926413813160869,0.0010722279539343803,0.006677422418488677,2,0.013881528864500225,fail,31870,341,"n_movimentacoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,3.9925941844597785e-31,202.3227291085097,22,True,5.999933727948197e-06,22,22,True,2344.188242420709,6.870713558269394e-17,-1e-08,-0.0024304522310340175,0.0009650329474309102,0.012243455239285828,3,0.0001270256646956902,fail,15935,341,"n_movimentacoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.07096200019608663,0.02331530243377065,0.002519970437399932,15935,341,0.06550773280445535,0.021595896917953,0.0419746384577029,340,0.6072376367928947,0.741780137977147,adequate,0.11793385088876714,A,100
sex,micro,men,Men,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,0.4692613642947069,21.843519652799813,22,True,0.00010095936017375766,22,22,True,73.81539847583798,3.6404616837518616e-17,-1e-08,-0.000657927113303859,0.0006558876347159516,0.3165213963393807,3,0.013239397614704274,fail,31285,341,"ln_salario_real_adm ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,0.0003821942394796043,51.36574581978257,22,True,3.581544457814532e-05,22,22,True,174.40683190970765,3.0513831659387794e-17,-1e-08,-0.00046455786651900606,0.0005174364461636062,0.36992396712285336,11,0.00023825131003007982,fail,15867,341,"ln_salario_real_adm ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.05010696493582087,0.012178372780452478,4.8743947160367895e-05,15867,341,0.03421690936075552,0.0022265168058659,0.0099935276204218,340,0.8238281563548353,0.9067913075389056,adequate,0.028078269153580197,A,100
sex,micro,men,Men,asinh_saldo,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,3.290041942600432e-09,84.17570841512591,22,True,0.06287655701682715,22,22,True,128.3408634544849,3.941999962206219e-14,-1e-08,0.014864870750456657,0.016506521471101702,0.36846753099575924,16,0.00017759746260281872,fail,31870,341,"asinh_saldo ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,2.7944909744847255e-09,84.59982794803399,22,True,0.050960533699928506,22,22,True,147.29690297066116,3.666827582240297e-14,-1e-08,0.0050676992532823,0.01751731164316331,0.7725307116387761,20,5.062685737300399e-07,fail,15935,341,"asinh_saldo ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.2451347945450011,0.3434132983404746,0.4758290797435245,15935,341,0.9648696024032803,0.7988629867980608,0.2145284954327886,340,0.0002296423388941,0.0025515815432678,adequate,0.6027490056229212,A,100
sex,micro,women,Women,admissoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,3.353230226360672e-12,101.62279072515483,22,True,1.9627545577163962e-05,22,22,True,6382.571696205055,6.119622078125393e-16,-1e-08,0.0014592803284789266,0.001483279776153972,0.3259035806622892,0,0.08025345002555895,fail,31861,341,"admissoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,9.240342987634852e-68,383.7383176241693,22,True,1.0907601865936839e-05,22,22,True,19009.00033024379,1.0128647619248845e-15,-1e-08,-0.00043098086151302853,0.001009126282985689,0.6695898646182388,1,0.03412490643646371,fail,15926,340,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.07238734818633345,0.046353423827200334,0.11930590095169169,15926,340,0.13023779082721162,-0.0116328966163524,0.046583303926156,340,0.8029528053786466,0.9067913075389056,adequate,0.13088256673537177,A,100
sex,micro,women,Women,desligamentos,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,1.542230994791807e-10,92.03182835619849,22,True,1.1900930910438332e-05,22,22,True,2906.301258185258,1.6896022148689266e-16,-1e-08,0.0015214490240434402,0.00062420029469771,0.015303844113607079,5,0.002012921675381918,fail,31870,341,"desligamentos ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,8.595814522615422e-29,190.37481602308495,22,True,7.810373144223348e-06,22,22,True,3210.416911006003,1.2248872771994243e-16,-1e-08,-0.0006839306321001425,0.0006865197788973304,0.3198475598922217,1,0.011372132525460321,fail,15935,341,"desligamentos ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.07764327051375594,0.037117616275491296,0.037196337111567335,15935,341,0.1042873407377009,-0.0332176158251079,0.0390106669851407,340,0.3950905202636909,0.5810154740394323,adequate,0.10960614200246074,A,100
sex,micro,women,Women,n_movimentacoes,ppml,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,1.030581978706549e-28,189.96984757795303,22,True,6.386461171378321e-06,22,22,True,10168.790113876086,3.1724330515628533e-16,-1e-08,-0.0029264139569147984,0.0010722279577353006,0.00667741995440152,2,0.013881529729613096,fail,31870,341,"n_movimentacoes ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,9.267616943927345e-49,290.7170018237227,22,True,4.451400717097696e-06,22,22,True,17746.103187392797,3.8588917883085617e-16,-1e-08,-0.0005374849624442945,0.0007156081673904479,0.45311901178079306,0,0.06976469897354143,fail,15935,341,"n_movimentacoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.0744482502593799,0.04066219986456877,0.0679911438180949,15935,341,0.11424636380059806,-0.0215958969179277,0.0419746382660794,340,0.6072376351533375,0.741780137977147,adequate,0.11793385035037306,A,100
sex,micro,women,Women,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,0.46926136429881704,21.84351965273143,22,True,0.00010095936017397819,22,22,True,73.8153984755892,3.640461683747541e-17,-1e-08,0.0006579271133082416,0.0006558876347153218,0.3165213963356974,3,0.01323939761466919,fail,31285,341,"ln_salario_real_adm ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,0.0058580940286664055,42.23235967876238,22,True,6.826221656050837e-05,22,22,True,72.54708684137564,2.4191526329175847e-17,-1e-08,-0.00014922425375904806,0.0005848350491671997,0.7987572345031402,1,0.02908079743991321,fail,15418,340,"ln_salario_real_adm ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-0.04906589453332442,0.01172606361810967,3.647498792158643e-05,15418,340,0.03294636069204,-0.0022265168058669,0.0099935276204238,340,0.8238281563548353,0.9067913075389056,adequate,0.028078269153585814,A,100
sex,micro,women,Women,asinh_saldo,ols,-23_to_23,-23_to_-2,-1,2022-11,False,diagnostic_only,estimated,,3.290041942600178e-09,84.17570841512611,22,True,0.06287655701682703,22,22,True,128.34086345448526,3.941999962206227e-14,-1e-08,-0.014864870750457539,0.01650652147110168,0.36846753099572593,16,0.00017759746260281872,fail,31870,341,"asinh_saldo ~ i(event_time, treat_group, ref=-1) | cbo_4d^subgroup + periodo^subgroup + periodo^treatment",estimated,,0.0009162337982782112,48.55431478024365,22,True,0.03419265476419825,22,22,True,181.61299529931821,3.033490567120416e-14,-1e-08,0.0009808091391206725,0.017875020300344976,0.95627395819605,5,0.013971572215483619,fail,15935,341,"asinh_saldo ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",estimated,,-1.0187905320358537,0.30152528665574313,0.0008125748238956287,15935,341,0.8471791420308337,-0.798862986798054,0.2145284954327888,340,0.0002296423388941,0.0025515815432678,adequate,0.6027490056229218,A,100
