model_id,outcome,estimator,term,event_time,coefficient,standard_error,is_reference,n_obs,minimum_clusters,sample_id,status,reference_event_time
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-23]:treat_group",-23,-0.03001214840515921,0.036137712628228874,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-22]:treat_group",-22,-0.03153050872095156,0.03810195665931813,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-21]:treat_group",-21,-0.07414294817582859,0.031208984424770714,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-20]:treat_group",-20,-0.02369400273416987,0.04374300944683358,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-19]:treat_group",-19,-0.001166350836162445,0.035746110814473236,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-18]:treat_group",-18,-0.014900246592070876,0.031441221662322945,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-17]:treat_group",-17,-0.02391807532616131,0.02620115011163807,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-16]:treat_group",-16,-0.029754243741768504,0.02805141664227456,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-15]:treat_group",-15,-0.04429883231882939,0.02581425078212654,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-14]:treat_group",-14,-0.03579273831209766,0.022185529484220604,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-13]:treat_group",-13,0.012178112877327415,0.01949984063107212,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-12]:treat_group",-12,0.034306791746700045,0.02274485860823828,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-11]:treat_group",-11,-0.01993533576456625,0.026168063313784993,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-10]:treat_group",-10,0.0015743655766090128,0.029752992685597366,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-9]:treat_group",-9,-0.020197267540667474,0.02418576226668552,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-8]:treat_group",-8,-0.02045859073377069,0.02312065753549635,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-7]:treat_group",-7,-0.012226383444855644,0.02283367686028863,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-6]:treat_group",-6,-0.02090189777963643,0.023675569060409466,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-5]:treat_group",-5,-0.019755792379948723,0.022617251261574454,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-4]:treat_group",-4,-0.04684294598944887,0.023942074141349613,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
ddd_pretrend::A::age_canaries::age_22_25::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-3]:treat_group",-3,-0.055104762549035846,0.024989115572213515,False,31861,341,family_A:age_canaries:age_22_25,estimated,-1
