outcome,row_position,column_position,row_event_time,column_event_time,covariance
ln_salario_real_adm,0,0,-23,-23,0.0002728250116083902
ln_salario_real_adm,0,1,-23,-22,0.00016252637061730846
ln_salario_real_adm,0,2,-23,-21,0.00013047388647317572
ln_salario_real_adm,0,3,-23,-20,9.889848073067552e-05
ln_salario_real_adm,0,4,-23,-19,0.00015722717751191393
ln_salario_real_adm,0,5,-23,-18,8.95301763632869e-05
ln_salario_real_adm,0,6,-23,-17,6.37283252316065e-05
ln_salario_real_adm,0,7,-23,-16,3.333550039839941e-05
ln_salario_real_adm,0,8,-23,-15,0.00016861645707745625
ln_salario_real_adm,0,9,-23,-14,0.00011674767545031498
ln_salario_real_adm,0,10,-23,-13,7.244364453574456e-05
ln_salario_real_adm,0,11,-23,-12,9.256827527294436e-05
ln_salario_real_adm,0,12,-23,-11,0.00011575654658277123
ln_salario_real_adm,0,13,-23,-10,3.408276240946202e-05
ln_salario_real_adm,0,14,-23,-9,8.64155542811743e-05
ln_salario_real_adm,0,15,-23,-8,4.0375984752472226e-05
ln_salario_real_adm,0,16,-23,-7,8.152534332342111e-05
ln_salario_real_adm,0,17,-23,-6,7.180955581259307e-05
ln_salario_real_adm,0,18,-23,-5,0.00011382256028925397
ln_salario_real_adm,0,19,-23,-4,0.00011019132774679235
ln_salario_real_adm,0,20,-23,-3,5.697332814586466e-05
ln_salario_real_adm,0,21,-23,-2,3.418929943243331e-05
ln_salario_real_adm,0,22,-23,0,1.4244520820685517e-05
ln_salario_real_adm,0,23,-23,1,9.420036861179925e-05
ln_salario_real_adm,0,24,-23,2,3.769053522088465e-05
ln_salario_real_adm,0,25,-23,3,3.5017458688745535e-05
ln_salario_real_adm,0,26,-23,4,5.8008663135753026e-05
ln_salario_real_adm,0,27,-23,5,4.902844689718789e-05
ln_salario_real_adm,0,28,-23,6,8.508894057975817e-05
ln_salario_real_adm,0,29,-23,7,9.88059092758605e-06
ln_salario_real_adm,0,30,-23,8,9.649295291976282e-05
ln_salario_real_adm,0,31,-23,9,3.8917639201575154e-05
ln_salario_real_adm,0,32,-23,10,7.926072849277302e-06
ln_salario_real_adm,0,33,-23,11,1.8653048447619942e-05
ln_salario_real_adm,0,34,-23,12,7.883110937797478e-05
ln_salario_real_adm,0,35,-23,13,4.681107497252156e-05
ln_salario_real_adm,0,36,-23,14,-4.6211183461057055e-07
ln_salario_real_adm,0,37,-23,15,3.605671064600355e-05
ln_salario_real_adm,0,38,-23,16,4.393261512344087e-05
ln_salario_real_adm,0,39,-23,17,1.982785182189684e-05
ln_salario_real_adm,0,40,-23,18,8.353786323190503e-05
ln_salario_real_adm,0,41,-23,19,5.366978994677566e-05
ln_salario_real_adm,0,42,-23,20,7.501546768113245e-05
ln_salario_real_adm,0,43,-23,21,4.4380282941197244e-05
ln_salario_real_adm,0,44,-23,22,3.3011526588083596e-05
ln_salario_real_adm,0,45,-23,23,7.216618658263511e-05
ln_salario_real_adm,1,0,-22,-23,0.0001625263706173108
ln_salario_real_adm,1,1,-22,-22,0.0007241927419568925
ln_salario_real_adm,1,2,-22,-21,0.0005555189225732815
ln_salario_real_adm,1,3,-22,-20,0.000492030249042369
ln_salario_real_adm,1,4,-22,-19,0.00044163390427032526
ln_salario_real_adm,1,5,-22,-18,3.4310103934490485e-05
ln_salario_real_adm,1,6,-22,-17,0.00015420229432512697
ln_salario_real_adm,1,7,-22,-16,0.0007763168858786671
ln_salario_real_adm,1,8,-22,-15,0.00012082869891427502
ln_salario_real_adm,1,9,-22,-14,0.00012214578100303852
ln_salario_real_adm,1,10,-22,-13,0.00012983148377054406
ln_salario_real_adm,1,11,-22,-12,0.000439389354294914
