specification_id,specification_label,outcome,estimator,sample,event_window,joint_lead_window,joint_lead_count,joint_lead_statistic,joint_lead_df,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,cluster_counts,interaction,formula,reference_event_time,reference_period,joint_lead_test_name,linear_pretrend_test_name,dynamic_diagnostic_name,pretrend_classification_name,non_rejection_is_proof,complete_case_input
04_include_minimal_as_control,Minimal Exposure included as control,admissoes,ppml,expanded_minimal,-23_to_23,-23_to_-2,22,130.02342439268966,22,2.5532089297453835e-17,True,8.359132388985375e-06,22,22,True,17902.629697648168,7.310396596027601e-16,-1e-08,0.0002810667224562327,0.0009078521701015084,0.757017014096893,22,1,0.030620495906381384,fail,20294,436,"{""cbo_4d"": 436}",treatment,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
04_include_minimal_as_control,Minimal Exposure included as control,desligamentos,ppml,expanded_minimal,-23_to_23,-23_to_-2,22,120.71661912595921,22,1.2922871132873406e-15,True,5.785459357278577e-06,22,22,True,3048.6643159786627,8.616092658669994e-17,-1e-08,0.0007151197764131623,0.0007455396437722839,0.33799207275948207,22,10,0.0012324648907768854,fail,20294,436,"{""cbo_4d"": 436}",treatment,"desligamentos ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
04_include_minimal_as_control,Minimal Exposure included as control,n_movimentacoes,ppml,expanded_minimal,-23_to_23,-23_to_-2,22,184.48767119529688,22,1.1962745932318867e-27,True,2.9846820905936697e-06,22,22,True,14699.71854801524,2.143236048889373e-16,-1e-08,-0.0011616245451930754,0.0006518733214274553,0.07545012436709064,22,0,0.12005297363264145,fail,20294,436,"{""cbo_4d"": 436}",treatment,"n_movimentacoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
04_include_minimal_as_control,Minimal Exposure included as control,ln_salario_real_adm,ols,expanded_minimal,-23_to_23,-23_to_-2,22,45.91118732709858,22,0.0020302001866489288,True,2.7727846991987296e-05,22,22,True,164.16060505477796,2.2235556298335616e-17,-1e-08,-0.0005426472172272976,0.00047347129258528325,0.25238230765107517,22,9,0.0005378356031342513,fail,20238,436,"{""cbo_4d"": 436}",treatment,"ln_salario_real_adm ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20238
04_include_minimal_as_control,Minimal Exposure included as control,asinh_saldo,ols,expanded_minimal,-23_to_23,-23_to_-2,22,70.38024836754792,22,5.762341318985313e-07,True,0.03688755731103773,22,22,True,216.28514174852572,3.897350716798152e-14,-1e-08,-0.010793412949496671,0.0203369481006949,0.5958772654787712,22,21,3.236412547513723e-06,fail,20294,436,"{""cbo_4d"": 436}",treatment,"asinh_saldo ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
05_continuous_exposure,Standardized continuous exposure,admissoes,ppml,continuous,-23_to_23,-23_to_-2,22,257.2637116534902,22,5.0636228422125375e-42,True,7.402841742767879e-07,22,22,True,19166.518696038118,6.931139001996894e-17,-1e-08,-0.0015158840032106742,0.00027586070429287614,6.660997398100221e-08,22,1,0.014741107302640666,fail,20294,436,"{""cbo_4d"": 436}",exposure_z,"admissoes ~ i(event_time, exposure_z, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
05_continuous_exposure,Standardized continuous exposure,desligamentos,ppml,continuous,-23_to_23,-23_to_-2,22,210.1071520693541,22,1.1833950328931106e-32,True,4.010680083758625e-07,22,22,True,8249.181439134816,1.616187649301423e-17,-1e-08,0.0014567718804219868,0.0002182737322133201,7.597278361970439e-11,22,12,0.0002376571108864134,fail,20294,436,"{""cbo_4d"": 436}",exposure_z,"desligamentos ~ i(event_time, exposure_z, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
05_continuous_exposure,Standardized continuous exposure,n_movimentacoes,ppml,continuous,-23_to_23,-23_to_-2,22,280.2251762549734,22,1.2212094875509911e-46,True,3.3522049330587725e-07,22,22,True,10587.006038788735,1.733670773896272e-17,-1e-08,-0.0014636294325868296,0.00023219784852317705,7.154636882944487e-10,22,1,0.0457902758319626,fail,20294,436,"{""cbo_4d"": 436}",exposure_z,"n_movimentacoes ~ i(event_time, exposure_z, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
05_continuous_exposure,Standardized continuous exposure,ln_salario_real_adm,ols,continuous,-23_to_23,-23_to_-2,22,60.397442778424654,22,1.951491342462651e-05,True,3.699006635312573e-06,22,22,True,91.7914224721825,1.6586322931480964e-18,-1e-08,-0.00030944311099005993,0.00017356052247161365,0.0752978796077961,22,9,4.330858906542723e-05,fail,20238,436,"{""cbo_4d"": 436}",exposure_z,"ln_salario_real_adm ~ i(event_time, exposure_z, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20238
05_continuous_exposure,Standardized continuous exposure,asinh_saldo,ols,continuous,-23_to_23,-23_to_-2,22,78.22918563224619,22,3.1616468086470616e-08,True,0.005903117809812555,22,22,True,231.18438699145904,6.666576355040488e-15,-1e-08,0.003095288149143343,0.00807873379277491,0.7018029333678251,22,21,1.100233038009435e-08,fail,20294,436,"{""cbo_4d"": 436}",exposure_z,"asinh_saldo ~ i(event_time, exposure_z, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,20294
