specification_id,specification_label,outcome,estimator,sample,event_window,joint_lead_window,joint_lead_count,joint_lead_statistic,joint_lead_df,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,cluster_counts,interaction,formula,reference_event_time,reference_period,joint_lead_test_name,linear_pretrend_test_name,dynamic_diagnostic_name,pretrend_classification_name,non_rejection_is_proof,complete_case_input,level_1_joint_lead_p_value,level_1_linear_pretrend_p_value,level_1_dynamic_pre_p_lt_005,level_1_pretrend_status,level_2_minus_level_1_linear_slope,sector_effects_resolve_pretrend
level_2,CBO4 x CNAE section and section x month effects,admissoes,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,150.30120463650456,22,4.1985178127353906e-21,True,1.1732018604694402e-05,22,22,True,5924.552141316106,3.395401805985411e-16,-1e-08,-0.001731057914269152,0.0007156948785345357,0.016100329563761395,22,1,0.027583842344421017,fail,581324,341,"{""cbo_4d"": 341}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,2.1241502209470884e-52,7.238654120556022e-13,3,fail,-0.001731057914269152,False
level_2,CBO4 x CNAE section and section x month effects,desligamentos,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,73.2846167826244,22,1.9924158780329734e-07,True,1.0465911245753185e-05,22,22,True,1670.2107055347267,8.539082643828838e-17,-1e-08,-0.0005556412108063681,0.0006122072537834863,0.36473076794087955,22,3,0.013380739554964993,fail,581433,341,"{""cbo_4d"": 341}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,2.1283599866577845e-18,7.63773451817329e-06,10,fail,-0.0005556412108063681,False
level_2,CBO4 x CNAE section and section x month effects,n_movimentacoes,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,111.83308181916573,22,5.18813188724913e-14,True,8.115890556322458e-06,22,22,True,3427.9044572048692,1.3590260984763945e-16,-1e-08,-0.0004044513058083711,0.0006395681429557835,0.5275623959079352,22,0,0.2192451526857191,fail,581507,341,"{""cbo_4d"": 341}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,4.347510641247265e-43,0.0010640239408303,1,fail,-0.0004044513058083711,False
level_2,CBO4 x CNAE section and section x month effects,ln_salario_real_adm,ols,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,57.32373586211822,22,5.510762032820478e-05,True,1.3305801403407252e-05,22,22,True,73.55321479492058,4.780855336095986e-18,-1e-08,-0.0004548559448580733,0.00026939836163456757,0.09224871167536985,22,14,7.538876061574662e-05,fail,493494,341,"{""cbo_4d"": 341}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,493821,0.0001580097966667,0.2207980597002192,11,fail,-0.0004548559448580733,False
level_2,CBO4 x CNAE section and section x month effects,asinh_saldo,ols,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,105.74454606034918,22,6.297947444126987e-13,True,0.0005458052432753199,22,22,True,378.7472363183627,1.0098342171558769e-15,-1e-08,-0.0004791806147509606,0.0019921048480818983,0.8100567411204378,22,18,3.459986439646734e-05,fail,581507,341,"{""cbo_4d"": 341}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,1.4831703467492206e-06,0.9198287047287516,21,fail,-0.0004791806147509606,False
level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,admissoes,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,25.59552016331792,22,0.26945272000121084,False,-9.478587805662264e-05,22,22,True,15756.198242167531,3.9829718892492226e-16,-1e-08,-0.0038559569299204954,0.0008134169640365899,8.37274339238192e-06,22,1,0.0029354340784957245,fail,581324,87,"{""cbo_4d"": 341, ""divisao"": 87}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,2.1241502209470884e-52,7.238654120556022e-13,3,fail,-0.0038559569299204954,False
level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,desligamentos,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,20.441423628862246,22,0.5554486461201393,False,-7.296765187466678e-05,22,22,True,4318.786920588435,9.753629680765331e-17,-1e-08,-0.0041091130165009215,0.0009470095116189777,3.8823119084430147e-05,22,3,0.018447366410119015,fail,581433,87,"{""cbo_4d"": 341, ""divisao"": 87}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,2.1283599866577845e-18,7.63773451817329e-06,10,fail,-0.0041091130165009215,False
level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,n_movimentacoes,ppml,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,413.0752972774086,22,8.194272063346928e-74,False,-4.648835890339364e-05,22,22,True,154171.15153095938,1.734666220336312e-16,-1e-08,-0.0021031285478741767,0.00016411641905801058,0.0,22,0,0.19130168924536806,fail,581507,87,"{""cbo_4d"": 341, ""divisao"": 87}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,4.347510641247265e-43,0.0010640239408303,1,fail,-0.0021031285478741767,False
level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,ln_salario_real_adm,ols,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,138.0242320369022,22,8.408033115631099e-19,True,2.008975132600836e-06,22,22,True,526.5605417027381,5.1675629886220755e-18,-1e-08,-0.0016281210366551507,0.0001987571884265351,2.1669332994633805e-12,22,13,4.2097613291103286e-05,fail,493494,87,"{""cbo_4d"": 341, ""divisao"": 87}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,493821,0.0001580097966667,0.2207980597002192,11,fail,-0.0016281210366551507,False
level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,asinh_saldo,ols,level_2_cbo4_by_cnae_section,-23_to_23,-23_to_-2,22,92.94570685504593,22,1.075243387489874e-10,True,5.484381805650546e-05,22,22,True,5140.755132711126,1.3772649824543637e-15,-1e-08,0.0089128899596685,0.002362021059786997,0.00029523554364341287,22,15,0.0003630511471619524,fail,581507,87,"{""cbo_4d"": 341, ""divisao"": 87}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_section + section_period",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,581738,1.4831703467492206e-06,0.9198287047287516,21,fail,0.0089128899596685,False
