model_id,outcome,estimator,term,event_time,coefficient,standard_error,is_reference,n_obs,minimum_clusters,sample_id,status,reference_event_time
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-23]:treated_main",-23,0.016162515410198117,0.08081513879261797,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-22]:treated_main",-22,-0.07130042157713516,0.08420085359640306,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-21]:treated_main",-21,-0.086141166311431,0.07461868970342819,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-20]:treated_main",-20,-0.039067136590008225,0.07558432762190201,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-19]:treated_main",-19,-0.03177414502687011,0.0636390667996447,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-18]:treated_main",-18,-0.0056566818515784885,0.05725238396965998,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-17]:treated_main",-17,-0.013911209266397282,0.057546941392348214,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-16]:treated_main",-16,-0.034549433521520706,0.0638780809479061,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-15]:treated_main",-15,-0.03674812261033482,0.04989660271072138,False,581324,341,sector:level_2:event_-23_23,estimated,-1
sector_pretrend::level_2::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-14]:treated_main",-14,-0.010139450692804473,0.05246879967672157,False,581324,341,sector:level_2:event_-23_23,estimated,-1
