model_id,outcome,estimator,term,event_time,coefficient,standard_error,is_reference,n_obs,minimum_clusters,sample_id,status,reference_event_time
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-23]:treated_main",-23,-0.0990969222388592,0.09399308532073487,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-22]:treated_main",-22,-0.14702630391434046,0.09196151045544979,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-21]:treated_main",-21,-0.1355537948462466,0.08757435344103695,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-20]:treated_main",-20,-0.09659649524951036,0.09084070717207411,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-19]:treated_main",-19,-0.11157967374615983,0.07766730285956966,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-18]:treated_main",-18,-0.07194232305433002,0.06892432719486556,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-17]:treated_main",-17,-0.07854343371328722,0.0679180314131379,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-16]:treated_main",-16,-0.07853020314340298,0.07244860539309934,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-15]:treated_main",-15,-0.09503405222771676,0.066056045888816,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-14]:treated_main",-14,-0.03675034990869259,0.05582872643701225,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-13]:treated_main",-13,0.05086358302035045,0.028496842672204013,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-12]:treated_main",-12,0.1105281886339396,0.036822178793701116,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-11]:treated_main",-11,-0.10055184115048488,0.08045553665518013,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-10]:treated_main",-10,-0.10082791085205285,0.08462553355673838,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-9]:treated_main",-9,-0.09052380342238472,0.07459663214018163,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-8]:treated_main",-8,-0.052030467108453174,0.07104490596413578,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-7]:treated_main",-7,-0.12238159909434475,0.06035648749892312,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-6]:treated_main",-6,-0.11443276856608744,0.06317874959980499,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-5]:treated_main",-5,-0.12593469769164595,0.06380064595822613,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-4]:treated_main",-4,-0.121950625368597,0.06844886560585996,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-3]:treated_main",-3,-0.09271368351750009,0.060570793030531256,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[-2]:treated_main",-2,-0.0721745094504187,0.03864954555348813,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,reference_event_time,-1,0.0,0.0,True,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[0]:treated_main",0,0.017415982688661815,0.04144414949418883,False,15935,341,v_a:balanced:-23_23,estimated,-1
national_pretrend::balanced::admissoes,admissoes,ppml,"C(event_time, contr.treatment(base=-1))[1]:treated_main",1,-0.144096246461482,0.06875595977583852,False,15935,341,v_a:balanced:-23_23,estimated,-1
