specification_id,specification_label,outcome,estimator,sample,event_window,joint_lead_window,joint_lead_count,joint_lead_statistic,joint_lead_df,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,cluster_counts,interaction,formula,reference_event_time,reference_period,joint_lead_test_name,linear_pretrend_test_name,dynamic_diagnostic_name,pretrend_classification_name,non_rejection_is_proof,complete_case_input,power_reading
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",admissoes,ppml,full_2021_01_to_2026_05,-23_to_23,-23_to_-2,22,308.66874248939973,22,2.1241502209470884e-52,True,9.855191095970577e-06,22,22,True,9984.217741737657,4.806644467668453e-16,-1e-08,-0.005979268672543343,0.0008014022490289551,7.238654120556021e-13,22,3,0.002883599326193087,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",admissoes,ppml,full_2021_01_to_2026_05,-23_to_23,-11_to_-2,10,45.54587736958276,10,1.7330574829789315e-06,True,2.310328809488997e-05,10,10,True,1868.076994236872,9.583161149360623e-17,-1e-08,-0.0023953446365332235,0.002529560859421578,0.3443414058478509,10,2,0.04337593098644721,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",admissoes,ppml,full_2021_01_to_2026_05,-23_to_41,-23_to_-2,22,308.65923143451,22,2.1336226754213498e-52,True,9.855502374298868e-06,22,22,True,9984.220487025501,4.806797608256609e-16,-1e-08,-0.005979275677617521,0.0008014149165695472,7.245315458703772e-13,22,3,0.0028840407199755003,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",admissoes,ppml,full_2021_01_to_2026_05,-23_to_41,-11_to_-2,10,45.54447436402426,10,1.7340701308010227e-06,True,2.31040253331473e-05,10,10,True,1868.0769210714843,9.583466577800848e-17,-1e-08,-0.0023953510604956736,0.0025296011378683047,0.344347786090311,10,2,0.04337925090148653,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"admissoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",desligamentos,ppml,full_2021_01_to_2026_05,-23_to_23,-23_to_-2,22,135.855147305972,22,2.1283599866577845e-18,True,5.949601708853021e-06,22,22,True,3178.1441869207597,9.236860740295338e-17,-1e-08,0.00333702650139808,0.0007341818605802579,7.63773451817329e-06,22,10,6.23410551521264e-05,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",desligamentos,ppml,full_2021_01_to_2026_05,-23_to_23,-11_to_-2,10,34.63663735153997,10,0.0001440014139772793,True,1.0073791921256154e-05,10,10,True,589.7434470532776,1.3191565112567035e-17,-1e-08,-0.009162146683820548,0.002269006203313505,6.667730091125534e-05,10,9,6.23410551521264e-05,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",desligamentos,ppml,full_2021_01_to_2026_05,-23_to_41,-23_to_-2,22,135.85094741273537,22,2.1321858086628818e-18,True,5.949771491919419e-06,22,22,True,3178.1553333621096,9.237156728075734e-17,-1e-08,0.003337035890927669,0.0007341935295625848,7.639766715028529e-06,22,10,6.235749392091705e-05,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",desligamentos,ppml,full_2021_01_to_2026_05,-23_to_41,-11_to_-2,10,34.635550451929035,10,0.0001440627635612216,True,1.007408750556639e-05,10,10,True,589.7449919183535,1.3191986735339324e-17,-1e-08,-0.009162137460026271,0.002269042978750894,6.669614726861894e-05,10,9,6.235749392091705e-05,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"desligamentos ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",n_movimentacoes,ppml,full_2021_01_to_2026_05,-23_to_23,-23_to_-2,22,262.5795363741908,22,4.347510641247265e-43,True,4.680234537368347e-06,22,22,True,6749.368273087566,1.5430984999490829e-16,-1e-08,-0.0025985175958270694,0.0007870868334069238,0.001064023940830383,22,1,0.022206759162644918,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",n_movimentacoes,ppml,full_2021_01_to_2026_05,-23_to_23,-11_to_-2,10,44.05788473754282,10,3.2137895304289286e-06,True,8.945747613648978e-06,10,10,True,1319.6657005977975,2.6213245556265754e-17,-1e-08,-0.004117344750151776,0.0017635562294148087,0.02014161846351681,10,0,0.41528450305925624,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",n_movimentacoes,ppml,full_2021_01_to_2026_05,-23_to_41,-23_to_-2,22,262.5704144474417,22,4.365880076210816e-43,True,4.68038488210051e-06,22,22,True,6749.366903973431,1.5431477563872555e-16,-1e-08,-0.0025985156449909847,0.0007870992745656808,0.0010642247784167225,22,1,0.02220887167008545,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",n_movimentacoes,ppml,full_2021_01_to_2026_05,-23_to_41,-11_to_-2,10,44.05638729605393,10,3.215780974738297e-06,True,8.946031928526367e-06,10,10,True,1319.6658629907122,2.6214081894740828e-17,-1e-08,-0.00411734588234879,0.0017635840915743186,0.020143537925338517,10,0,0.41529193150807053,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"n_movimentacoes ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",ln_salario_real_adm,ols,full_2021_01_to_2026_05,-23_to_23,-23_to_-2,22,54.12389124525421,22,0.00015800979666675302,True,2.4396238535288355e-05,22,22,True,189.80248116696043,2.2619742815044756e-17,-1e-08,-0.0005836785346436766,0.00047582631061365464,0.22079805970021926,22,11,0.0013917958829929855,fail,15907,341,"{""cbo_4d"": 341}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15907,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",ln_salario_real_adm,ols,full_2021_01_to_2026_05,-23_to_23,-11_to_-2,10,23.251622825043164,10,0.009854948644886034,True,4.245706175024603e-05,10,10,True,26.723571106215804,2.519327654590282e-18,-1e-08,-0.0024363439010196913,0.0011224157639648708,0.030651105977890225,10,3,0.0017745795902317507,fail,15907,341,"{""cbo_4d"": 341}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15907,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",ln_salario_real_adm,ols,full_2021_01_to_2026_05,-23_to_41,-23_to_-2,22,53.83037510022174,22,0.0001737786705321752,True,2.4430276168459335e-05,22,22,True,189.61068118827427,2.2628412195185453e-17,-1e-08,-0.0005705225014138761,0.0004757698048363383,0.2313021045988557,22,11,0.001558240754509832,fail,22012,341,"{""cbo_4d"": 341}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22012,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",ln_salario_real_adm,ols,full_2021_01_to_2026_05,-23_to_41,-11_to_-2,10,23.176075138362705,10,0.010114985937020421,True,4.2680161369871856e-05,10,10,True,26.595959348525806,2.5204723570074348e-18,-1e-08,-0.0024545274569601695,0.0011229278570194434,0.02950983317451983,10,3,0.0019659094599464577,fail,22012,341,"{""cbo_4d"": 341}",treated_main,"ln_salario_real_adm ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22012,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",asinh_saldo,ols,full_2021_01_to_2026_05,-23_to_23,-23_to_-2,22,67.75797290818966,22,1.4831703467492206e-06,True,0.041450956029828706,22,22,True,210.6010140529377,4.2643998157921643e-14,-1e-08,0.0021252506543727677,0.021099685652429815,0.9198287047287517,22,21,1.0250483255536125e-06,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",asinh_saldo,ols,full_2021_01_to_2026_05,-23_to_23,-11_to_-2,10,40.80800743107862,10,1.2202293291830776e-05,True,0.08067454812133952,10,10,True,52.28716314904213,9.366381580546097e-15,-1e-08,0.18192823569378566,0.05777660104393901,0.0017845357806132167,10,10,1.0250483255536125e-06,fail,15935,341,"{""cbo_4d"": 341}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,15935,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",asinh_saldo,ols,full_2021_01_to_2026_05,-23_to_41,-23_to_-2,22,67.77035677833709,22,1.4766094498307736e-06,True,0.04145751414800396,22,22,True,210.57254642277294,4.264497979080095e-14,-1e-08,0.0021131963638014585,0.021100130189226976,0.9202835780993852,22,21,1.025439887003543e-06,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
extended_full_sample,"Full sample, diagnostic window -23 to +41",asinh_saldo,ols,full_2021_01_to_2026_05,-23_to_41,-11_to_-2,10,40.795133320087785,10,1.2266431317502202e-05,True,0.080677734356551,10,10,True,52.286495722147656,9.366631941856965e-15,-1e-08,0.1819338243001135,0.05777749629154466,0.0017842514825916478,10,10,1.025439887003543e-06,fail,22049,341,"{""cbo_4d"": 341}",treated_main,"asinh_saldo ~ i(event_time, treated_main, ref=-1) | cbo_4d + periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,22049,violation_not_specific_to_2021
