size_code,size_label,signed_admissions_target,signed_separations_target,positive_cells,treated_cbo_with_positive_flow,control_cbo_with_positive_flow
1,Zero employees,11182551,6257924,21356,75,266
2,1-4 employees,7016852,6881116,21536,75,266
3,5-9 employees,6329626,6446840,21554,75,266
4,10-19 employees,7738682,7782529,21653,75,265
5,20-49 employees,10461456,10351484,21781,75,266
6,50-99 employees,7619789,7482010,21417,75,266
7,100-249 employees,8920505,8640231,21166,75,265
8,250-499 employees,5976213,5729761,20322,75,263
9,500-999 employees,5296172,5037511,19603,75,261
10,"1,000 or more",10634913,10262626,19653,75,257
