model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,measure_id,measure_scale,p_value_adjusted_bh
vintage_2023__admissoes,admissoes,post_treat_2023,ppml,-0.07105185384247206,0.03824424890933405,-0.14629467478245628,0.004190967097512169,0.06411235863211329,319,"{""cbo_4d"": 320}",320,20599,20599,20599,0,0,0,0,True,admissoes ~ post_treat_2023 | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-6.858640649838551,vintage_2023,Automation Potential vs Not affected,0.18473156970822024
vintage_2023__desligamentos,desligamentos,post_treat_2023,ppml,-0.08932949657230352,0.046796835342607895,-0.1813989188425469,0.0027399256979398767,0.05717486344185474,319,"{""cbo_4d"": 320}",320,20599,20599,20599,0,0,0,0,True,desligamentos ~ post_treat_2023 | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-8.545581525020873,vintage_2023,Automation Potential vs Not affected,0.18473156970822024
vintage_2023__n_movimentacoes,n_movimentacoes,post_treat_2023,ppml,-0.08010115762568107,0.04102924486956695,-0.16082325867523597,0.0006209434238738376,0.051777778258317975,319,"{""cbo_4d"": 320}",320,20599,20599,20599,0,0,0,0,True,n_movimentacoes ~ post_treat_2023 | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-7.6977029148288745,vintage_2023,Automation Potential vs Not affected,0.18473156970822024
vintage_2023__ln_salario_real_adm,ln_salario_real_adm,post_treat_2023,ols,-0.033910276161331174,0.01766339939580346,-0.06866174954182927,0.0008411972191669226,0.055774220241910255,319,"{""cbo_4d"": 320}",320,20529,20599,20529,70,70,0,0,True,ln_salario_real_adm ~ post_treat_2023 | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,vintage_2023,Automation Potential vs Not affected,0.18473156970822024
vintage_2023__asinh_saldo,asinh_saldo,post_treat_2023,ols,0.5842205804874759,0.39654369552359003,-0.19595074273280977,1.3643919037077616,0.14166111640743617,319,"{""cbo_4d"": 320}",320,20599,20599,20599,0,0,0,0,True,asinh_saldo ~ post_treat_2023 | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,vintage_2023,Automation Potential vs Not affected,0.26300605160660684
model_consensus__admissoes,admissoes,post_treat_consensus,ppml,-0.06114894241799738,0.037985764183291956,-0.13587456367720227,0.013576678841207522,0.10840366708909199,329,"{""cbo_4d"": 330}",330,21301,21301,21301,0,0,0,0,True,admissoes ~ post_treat_consensus | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-5.931687827721078,model_consensus,Exposed vs Not Exposed among consensus destinations,0.23229357233376854
model_consensus__desligamentos,desligamentos,post_treat_consensus,ppml,-0.03197548608924423,0.031076450550632254,-0.09310910084875401,0.029158128670265557,0.30426850841205155,329,"{""cbo_4d"": 330}",330,21301,21301,21301,0,0,0,0,True,desligamentos ~ post_treat_consensus | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-3.1469675745877357,model_consensus,Exposed vs Not Exposed among consensus destinations,0.4149116023800703
model_consensus__n_movimentacoes,n_movimentacoes,post_treat_consensus,ppml,-0.04732440838298429,0.03367685268458444,-0.11357353599740747,0.018924719231438895,0.16089039657975857,329,"{""cbo_4d"": 330}",330,21301,21301,21301,0,0,0,0,True,n_movimentacoes ~ post_treat_consensus | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-4.622206616047532,model_consensus,Exposed vs Not Exposed among consensus destinations,0.26300605160660684
model_consensus__ln_salario_real_adm,ln_salario_real_adm,post_treat_consensus,ols,-0.056058324371582695,0.011815650160321878,-0.07930207944127361,-0.03281456930189178,3.1221910341550085e-06,329,"{""cbo_4d"": 330}",330,21238,21301,21238,63,63,0,0,True,ln_salario_real_adm ~ post_treat_consensus | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,model_consensus,Exposed vs Not Exposed among consensus destinations,4.683286551232513e-05
model_consensus__asinh_saldo,asinh_saldo,post_treat_consensus,ols,-0.6084938663999422,0.44802168964429073,-1.4898424404268908,0.2728547076270066,0.1753373677377379,329,"{""cbo_4d"": 330}",330,21301,21301,21301,0,0,0,0,True,asinh_saldo ~ post_treat_consensus | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,,model_consensus,Exposed vs Not Exposed among consensus destinations,0.26300605160660684
anthropic_continuous__admissoes,admissoes,post_anthropic_z,ppml,-0.0005835133579696007,0.023464802736816722,-0.04690939191365907,0.04574236519771987,0.9801902592639973,167,"{""cbo_4d"": 168}",168,10631,10631,10631,0,0,0,0,True,admissoes ~ post_anthropic_z | cbo_4d + periodo,cbo_4d + periodo,cbo_4d,,-0.05833431471585067,anthropic_continuous,one SD of the automation-minus-augmentation index,0.9801902592639973
