periodo_num,total_admissions,valid_hours_admissions,partial_known,intermittent_known,valid_hours_admissions_pct,partial_known_pct,intermittent_known_pct
202101,1682787,1682787,1658673,1599225,100.0,98.56702006849352,95.03430915499109
202102,1830978,1830978,1804734,1747754,100.0,98.56666764974784,95.45466958095619
202103,1732037,1732037,1704807,1663600,100.0,98.42786268422672,96.04875646420949
202104,1481956,1481926,1458674,1428162,99.99797564839982,98.42896820148506,96.37006766732615
202105,1623132,1623099,1597328,1583639,99.99796689363527,98.41023404134722,97.56686455568617
202106,1669479,1669464,1641972,1633618,99.99910151610173,98.35236022735236,97.85196459494249
202107,1737883,1737869,1710020,1703488,99.99919442217917,98.39672751272668,98.0208679180359
202108,1888774,1888747,1859363,1854659,99.99857050128814,98.4428523476075,98.19380190536295
202109,1861899,1861865,1833450,1828949,99.9981739073924,98.47204386489278,98.23030142881005
202110,1816913,1816880,1787663,1794029,99.99818373251773,98.39012654981279,98.74050105866378
202111,1830538,1830500,1802013,1813855,99.99792410755745,98.44171494937554,99.0886285889722
202112,1457653,1457600,1434554,1449072,99.9963640180482,98.41532929990882,99.41131394097224
202201,1825112,1825034,1795304,1812846,99.99572628967428,98.36678516167775,99.32793165570114
202202,2047207,2047027,2016877,2021393,99.99120753299495,98.51846930964969,98.73906253739851
202203,1969440,1968994,1942116,1954229,99.97735396864083,98.61260053619303,99.22764846860021
202204,1858083,1814847,1831000,1847142,97.67308564795006,98.54242248597076,99.4111673159918
202205,1970287,1970287,1941396,1959244,100.0,98.53366540001532,99.43952327757327
202206,1901525,1901525,1874315,1892964,100.0,98.5690432679034,99.54978241148552
202207,1892662,1892662,1866738,1885737,100.0,98.63028897922608,99.63411322254053
202208,2051586,2051586,2022191,2044691,100.0,98.56720605424292,99.66391854886902
202209,1922714,1922714,1894843,1917808,100.0,98.55043443798714,99.74483984617576
202210,1797531,1797531,1772137,1793865,100.0,98.58728444738922,99.7960535868366
202211,1747118,1747118,1723140,1744552,100.0,98.62756837259991,99.85312955392824
202212,1388412,1388412,1368454,1386719,100.0,98.5625304304486,99.87806213141344
202301,1891474,1891474,1864628,1888672,100.0,98.58068363614832,99.85186156405005
202302,1954707,1954707,1928032,1954572,100.0,98.63534534843329,99.99309359407829
202303,2175002,2175002,2146045,2175002,100.0,98.66864490239549,100.0
202304,1876290,1876290,1851325,1876290,100.0,98.66944875259155,100.0
202305,1996301,1996301,1968650,1996301,100.0,98.6148882357921,100.0
202306,1908922,1908922,1883890,1908922,100.0,98.68868397975402,100.0
202307,1878111,1878111,1853573,1878111,100.0,98.69347445385283,100.0
202308,2087836,2087836,2060246,2087836,100.0,98.67853605359808,100.0
202309,1915770,1915770,1890763,1915770,100.0,98.69467629203923,100.0
202310,1940988,1940988,1916475,1940988,100.0,98.7370864734867,100.0
202311,1855526,1855526,1831667,1855526,100.0,98.7141651477802,100.0
202312,1493558,1493558,1475440,1493558,100.0,98.78692357444439,100.0
202401,2084965,2084965,2058509,2084965,100.0,98.73110579793905,100.0
202402,2242431,2242431,2213653,2242431,100.0,98.71666062411731,100.0
202403,2254623,2254623,2226472,2254623,100.0,98.7514098809424,100.0
202404,2255084,2255084,2226357,2255084,100.0,98.72612284065693,100.0
202405,2110613,2110613,2083445,2110613,100.0,98.71279102327144,100.0
202406,2061250,2061250,2035291,2061250,100.0,98.74061855670104,100.0
202407,2179254,2179254,2151895,2179254,100.0,98.74457038968382,100.0
202408,2227187,2227187,2198772,2227187,100.0,98.7241753835668,100.0
202409,2160178,2160178,2133056,2160178,100.0,98.74445531803397,100.0
202410,2214558,2214558,2187113,2214558,100.0,98.76070078092333,100.0
202411,1972101,1972101,1947632,1972101,100.0,98.75924204693371,100.0
202412,1516665,1516665,1498684,1516665,100.0,98.81443825762446,100.0
202501,2289051,2289051,2261128,2289051,100.0,98.78014950300364,100.0
202502,2578735,2578735,2548004,2578735,100.0,98.80829166238485,100.0
202503,2232146,2232146,2205589,2232146,100.0,98.8102480751707,100.0
202504,2299028,2299028,2270958,2299028,100.0,98.7790492329802,100.0
202505,2252606,2252606,2225562,2252606,100.0,98.79943496554657,100.0
202506,2139787,2139787,2115607,2139787,100.0,98.8699809840886,100.0
202507,2241289,2241289,2215632,2241289,100.0,98.85525695258399,100.0
202508,2235055,2235055,2208873,2235055,100.0,98.82857468831862,100.0
202509,2282894,2282894,2255221,2282894,100.0,98.78781055975442,100.0
202510,2273214,2273214,2245065,2273214,100.0,98.76170919235936,100.0
202511,1972109,1972109,1948591,1972109,100.0,98.80746956684443,100.0
202512,1517343,1517343,1498633,1517343,100.0,98.76692349719212,100.0
202601,2223984,2223984,2195810,2223984,100.0,98.73317433938374,100.0
202602,2385893,2385893,2357139,2385893,100.0,98.79483279426194,100.0
202603,2520241,2520241,2491523,2520241,100.0,98.86050580083413,100.0
202604,2267227,2267227,2239784,2267227,100.0,98.78957863504625,100.0
202605,2159609,2159609,2133899,2159609,100.0,98.80950672089253,100.0
