cbo_6d,year,positive_wage_records,wage_p01,wage_p99
142315,2021,11332,1100.0,35000.0
142315,2022,11033,1212.0,35831.38200000001
142315,2023,9072,1302.0,37043.789999999855
142315,2024,9703,1412.0,44000.0
142315,2025,9849,1500.0,47092.259600000034
142315,2026,4219,1621.0,44272.4926
142320,2021,25737,1100.0,32000.0
142320,2022,26854,1180.8374,35366.27140000004
142320,2023,25509,1122.5600000000004,35000.0
142320,2024,27434,1412.0,36500.0
142320,2025,27852,1518.0,39000.0
142320,2026,11035,1621.0,40769.23
212205,2021,4793,2000.0,32846.56319999999
212205,2022,4254,2241.3188,40000.0
212205,2023,2237,2000.0,45333.33
212205,2024,3055,2005.1192,50813.698600000076
212205,2025,3708,2286.36,59360.29759999987
212205,2026,1430,2500.0,53145.43610000002
212215,2021,3947,1675.66,37929.99819999999
212215,2022,3977,2000.0,53007.051199999994
212215,2023,2882,2000.0,58378.83820000006
212215,2024,3355,2178.9274,46503.70520000003
212215,2025,3726,2352.09,57882.175
212215,2026,1443,2384.8122,77497.05339999995
212405,2021,105471,1239.0,18000.0
212405,2022,89909,1390.3252,19982.76399999998
212405,2023,62017,1400.0,20000.0
212405,2024,68458,1500.0,21182.68909999979
212405,2025,72737,1640.0,23500.0
212405,2026,28681,1684.9959999999999,25000.0
212415,2021,4249,1100.0,15000.0
212415,2022,3231,1200.0,16000.0
212415,2023,2605,1320.0,16000.0
212415,2024,2994,1412.0,17000.0
212415,2025,3429,759.0,18000.0
212415,2026,1406,1421.53,19000.0
317105,2021,3371,1100.0,14537.500000000022
317105,2022,3288,741.4,17000.0
317105,2023,1940,620.0,17500.0
317105,2024,1915,706.0,18834.01539999996
317105,2025,2062,690.0,20694.999999999935
317105,2026,793,891.4383999999999,18000.0
317110,2021,45831,1000.0,16000.0
317110,2022,39448,652.78,18000.0
317110,2023,26906,651.0,19000.0
317110,2024,30595,665.0,18000.0
317110,2025,31980,712.99,20000.0
317110,2026,12479,678.09,19000.0
317120,2021,1150,627.5,15000.0
317120,2022,928,606.0,22400.0
317120,2023,886,660.0,22400.0
317120,2024,765,689.3008,23397.171200000037
317120,2025,798,690.0,21029.99999999997
317120,2026,321,609.09,33600.00000000008
322220,2021,473,47.6,2781.3839999999996
322220,2022,402,1212.0,3198.8241000000016
322220,2023,301,1302.0,3625.48
322220,2024,235,1412.0,5250.0
322220,2025,281,1518.0,3993.351999999997
322220,2026,172,1591.1299999999999,3941.69
322230,2021,31960,995.4411,3508.14
322230,2022,27248,1100.0,3560.62
322230,2023,27360,1200.0,3898.3301
322230,2024,31531,1320.0,3981.68
322230,2025,29753,1314.9871999999998,4193.51
322230,2026,12564,1326.27,4193.51
322235,2021,691,815.6,4175.660000000008
322235,2022,600,909.0,3966.785
322235,2023,505,1001.4,4162.856
322235,2024,554,1279.46,4367.770700000001
322235,2025,613,1518.0,4324.0
322235,2026,245,1099.5424,4676.7708
322250,2021,294,1000.0,3774.89
322250,2022,244,1212.0,4077.04
322250,2023,374,1357.975,4379.24
322250,2024,360,1412.0,4520.69
322250,2025,341,1320.092,4761.19
322250,2026,105,1625.0,4761.19
414105,2021,218463,11.28,3000.0
414105,2022,222202,12.48,3265.7432999999846
414105,2023,225074,13.22,3500.0
414105,2024,253329,14.1,3587.0
414105,2025,266586,15.44,3866.27
414105,2026,118970,810.5,4000.0
414110,2021,145278,761.886,2299.0
414110,2022,150245,963.21,2566.18
414110,2023,150425,941.73,2827.81
