periodo_num,panel_total,raw_total,named_families,excluded,named_plus_excluded,difference,raw_panel_difference,scope
202101,1423236,1423236,1414532,8704,1423236,0,0,monthly
202102,1436858,1436858,1428829,8029,1436858,0,0,monthly
202103,1576959,1576959,1562704,14255,1576959,0,0,monthly
202104,1390260,1390260,1375203,15057,1390260,0,0,monthly
202105,1361566,1361566,1347576,13990,1361566,0,0,monthly
202106,1360146,1360146,1345828,14318,1360146,0,0,monthly
202107,1437140,1437140,1425634,11506,1437140,0,0,monthly
202108,1506636,1506636,1497208,9428,1506636,0,0,monthly
202109,1536596,1536596,1528529,8067,1536596,0,0,monthly
202110,1564543,1564543,1556814,7729,1564543,0,0,monthly
202111,1527463,1527463,1520512,6951,1527463,0,0,monthly
202112,1738486,1738486,1731259,7227,1738486,0,0,monthly
202201,1654209,1654209,1646485,7724,1654209,0,0,monthly
202202,1710821,1710821,1703610,7211,1710821,0,0,monthly
202203,1878751,1878751,1871169,7582,1878751,0,0,monthly
202204,1658931,1658931,1652597,6334,1658931,0,0,monthly
202205,1699671,1699671,1693145,6526,1699671,0,0,monthly
202206,1625688,1625688,1619099,6589,1625688,0,0,monthly
202207,1673081,1673081,1666420,6661,1673081,0,0,monthly
202208,1769580,1769580,1762875,6705,1769580,0,0,monthly
202209,1650439,1650439,1644086,6353,1650439,0,0,monthly
202210,1632319,1632319,1625936,6383,1632319,0,0,monthly
202211,1624583,1624583,1618423,6160,1624583,0,0,monthly
202212,1816275,1816275,1809964,6311,1816275,0,0,monthly
202301,1800343,1800343,1793809,6534,1800343,0,0,monthly
202302,1717350,1717350,1711612,5738,1717350,0,0,monthly
202303,1983909,1983909,1977521,6388,1983909,0,0,monthly
202304,1693798,1693798,1687499,6299,1693798,0,0,monthly
202305,1841244,1841244,1834622,6622,1841244,0,0,monthly
202306,1758001,1758001,1751377,6624,1758001,0,0,monthly
202307,1736641,1736641,1730052,6589,1736641,0,0,monthly
202308,1872237,1872237,1865533,6704,1872237,0,0,monthly
202309,1714041,1714041,1707638,6403,1714041,0,0,monthly
202310,1749495,1749495,1742989,6506,1749495,0,0,monthly
202311,1737911,1737911,1731438,6473,1737911,0,0,monthly
202312,1927488,1927488,1920853,6635,1927488,0,0,monthly
202401,1911537,1911537,1904636,6901,1911537,0,0,monthly
202402,1945759,1945759,1939394,6365,1945759,0,0,monthly
202403,2014100,2014100,2006886,7214,2014100,0,0,monthly
202404,2019134,2019134,2011595,7539,2019134,0,0,monthly
202405,1973765,1973765,1966422,7343,1973765,0,0,monthly
202406,1862673,1862673,1855421,7252,1862673,0,0,monthly
202407,1989961,1989961,1982523,7438,1989961,0,0,monthly
202408,1987477,1987477,1980153,7324,1987477,0,0,monthly
202409,1906760,1906760,1899727,7033,1906760,0,0,monthly
202410,2080123,2080123,2072915,7208,2080123,0,0,monthly
202411,1863763,1863763,1856975,6788,1863763,0,0,monthly
202412,2052355,2052355,2045075,7280,2052355,0,0,monthly
202501,2120367,2120367,2112978,7389,2120367,0,0,monthly
202502,2151167,2151167,2144462,6705,2151167,0,0,monthly
202503,2151198,2151198,2144214,6984,2151198,0,0,monthly
202504,2062825,2062825,2055800,7025,2062825,0,0,monthly
202505,2102023,2102023,2094340,7683,2102023,0,0,monthly
202506,1983845,1983845,1976098,7747,1983845,0,0,monthly
202507,2107555,2107555,2099834,7721,2107555,0,0,monthly
202508,2082193,2082193,2074376,7817,2082193,0,0,monthly
202509,2069849,2069849,2062528,7321,2069849,0,0,monthly
202510,2170839,2170839,2163343,7496,2170839,0,0,monthly
202511,1891643,1891643,1884486,7157,1891643,0,0,monthly
202512,2135054,2135054,2127649,7405,2135054,0,0,monthly
202601,2089162,2089162,2082000,7162,2089162,0,0,monthly
202602,2113813,2113813,2107218,6595,2113813,0,0,monthly
202603,2299033,2299033,2291605,7428,2299033,0,0,monthly
202604,2190080,2190080,2183225,6855,2190080,0,0,monthly
202605,2100754,2100754,2094025,6729,2100754,0,0,monthly
0,119215502,119215502,118723283,492219,119215502,0,0,total
