cbo_4d,periodo_num,saldo,cumulative_net_flow_change,pre_gross_flow,stock_proxy_index
4110,202101,30935,0,5517761,100.0
4110,202102,39088,39088,5517761,100.70840328169342
4110,202103,23167,62255,5517761,101.12826561353418
4110,202104,15335,77590,5517761,101.40618631361525
4110,202105,24913,102503,5517761,101.85769191525331
4110,202106,25866,128369,5517761,102.32646901524006
4110,202107,23342,151711,5517761,102.7495029233778
4110,202108,33996,185707,5517761,103.36562239647567
4110,202109,27906,213613,5517761,103.87137101443865
4110,202110,23610,237223,5517761,104.29926196513405
4110,202111,27531,264754,5517761,104.79821434817492
4110,202112,-20073,244681,5517761,104.43442548526477
4110,202201,19715,264396,5517761,104.79172620923596
4110,202202,29285,293681,5517761,105.32246684841914
4110,202203,14767,308448,5517761,105.59009351800486
4110,202204,21368,329816,5517761,105.97735204551266
4110,202205,17480,347296,5517761,106.29414720934814
4110,202206,20700,367996,5517761,106.66929937704805
4110,202207,18086,386082,5517761,106.99707725651763
4110,202208,25860,411942,5517761,107.46574561674564
4110,202209,24330,436272,5517761,107.90668533849147
4110,202210,10587,446859,5517761,108.09855664281218
4110,202211,2161,449020,5517761,108.13772107925661
4110,202212,-33580,415440,5517761,107.52914089609898
4110,202301,11886,427326,5517761,107.74455435818986
4110,202302,18919,446245,5517761,108.08742894083306
4110,202303,20321,466566,5517761,108.45571238043837
4110,202304,20710,487276,5517761,108.83104578106953
4110,202305,13447,500723,5517761,109.07474970372947
4110,202306,14250,514973,5517761,109.33300663076926
4110,202307,14452,529425,5517761,109.59492446302042
4110,202308,19845,549270,5517761,109.95458121509793
4110,202309,17076,566346,5517761,110.26405456851067
4110,202310,18615,584961,5517761,110.6014196700437
4110,202311,13933,598894,5517761,110.85393151316268
4110,202312,-22405,576489,5517761,110.44787913068362
4110,202401,23244,599733,5517761,110.86913695609505
4110,202402,24226,623959,5517761,111.30819185535583
4110,202403,28925,652884,5517761,111.83240810901378
4110,202404,24240,677124,5517761,112.27171673437832
4110,202405,13284,690408,5517761,112.51246656025877
4110,202406,16132,706540,5517761,112.80483152496095
4110,202407,17916,724456,5517761,113.12952844459917
4110,202408,25148,749604,5517761,113.58529302012175
4110,202409,30181,779785,5517761,114.13227212994546
4110,202410,3136,782921,5517761,114.18910677718733
4110,202411,13083,796004,5517761,114.42621382114956
4110,202412,-31771,764233,5517761,113.85041867525614
4110,202501,14984,779217,5517761,114.12197809945012
4110,202502,31260,810477,5517761,114.68851224255636
4110,202503,15857,826334,5517761,114.97589330164898
4110,202504,24401,850735,5517761,115.41811977720673
4110,202505,14840,865575,5517761,115.68706944719062
4110,202506,16128,881703,5517761,115.97936191872029
4110,202507,16044,897747,5517761,116.2701320336274
4110,202508,18742,916489,5517761,116.6097987933874
4110,202509,23709,940198,5517761,117.03948395010222
4110,202510,9281,949479,5517761,117.20768623360091
4110,202511,9194,958673,5517761,117.37431179059767
4110,202512,-35827,922846,5517761,116.72500856778683
4110,202601,14697,937543,5517761,116.99136660685376
4110,202602,19546,957089,5517761,117.34560449428672
4110,202603,24138,981227,5517761,117.78306454375243
4110,202604,12091,993318,5517761,118.00219328093405
4110,202605,5543,998861,5517761,118.10265069472925
4211,202101,-7326,0,2153337,100.0
4211,202102,-337,-337,2153337,99.98434987185006
4211,202103,-3175,-3512,2153337,99.83690430248494
4211,202104,-1039,-4551,2153337,99.78865361065175
4211,202105,6683,2132,2153337,100.09900911933431
4211,202106,8295,10427,2153337,100.48422518165991
4211,202107,6849,17276,2153337,100.80228965554393
4211,202108,5037,22313,2153337,101.03620566590367
4211,202109,5359,27672,2153337,101.28507521117224
4211,202110,5870,33542,2153337,101.55767536618745
4211,202111,20496,54038,2153337,102.50950037081981
4211,202112,7888,61926,2153337,102.87581553653702
4211,202201,-13338,48588,2153337,102.25640482655525
4211,202202,-2852,45736,2153337,102.12395923164837
4211,202203,-4898,40838,2153337,101.89649831865611
4211,202204,1597,42435,2153337,101.97066227905803
4211,202205,4719,47154,2153337,102.18981051270656
4211,202206,4572,51726,2153337,102.40213213259234
4211,202207,2959,54685,2153337,102.5395467592857
4211,202208,3593,58278,2153337,102.70640406030269
4211,202209,7235,65513,2153337,103.04239420025755
4211,202210,7383,72896,2153337,103.38525739352457
4211,202211,19567,92463,2153337,104.29394005675842
4211,202212,5218,97681,2153337,104.5362616255607
4211,202301,-9340,88341,2153337,104.10251623410548
4211,202302,-3482,84859,2153337,103.94081372307261
4211,202303,1025,85884,2153337,103.9884142612141
4211,202304,3608,89492,2153337,104.15596815547218
4211,202305,1988,91480,2153337,104.24828997969199
4211,202306,1871,93351,2153337,104.33517837663125
4211,202307,2906,96257,2153337,104.47013170720606
4211,202308,2934,99191,2153337,104.60638534516427
4211,202309,4482,103673,2153337,104.81452740560349
4211,202310,6503,110176,2153337,105.11652379539292
4211,202311,15476,125652,2153337,105.83522226200543
4211,202312,4649,130301,2153337,106.05111972719551
4211,202401,-7855,122446,2153337,105.68633706660871
4211,202402,-944,121502,2153337,105.64249813196912
4211,202403,3983,125485,2153337,105.82746685725458
4211,202404,4784,130269,2153337,106.04963366161451
4211,202405,1997,132266,2153337,106.14237344177897
4211,202406,4175,136441,2153337,106.33625856055043
4211,202407,3989,140430,2153337,106.52150592313232
4211,202408,4569,144999,2153337,106.7336882243699
4211,202409,3995,148994,2153337,106.91921422424822
4211,202410,6933,155927,2153337,107.24117962028238
4211,202411,16389,172316,2153337,108.00227739550289
4211,202412,2603,174919,2153337,108.1231595426076
4211,202501,-7608,167311,2153337,107.76984745072416
4211,202502,3868,171179,2153337,107.94947562782788
4211,202503,-1908,169271,2153337,107.86086896756058
4211,202504,5825,175096,2153337,108.13137934285251
4211,202505,4933,180029,2153337,108.36046564007398
4211,202506,2840,182869,2153337,108.49235396038799
4211,202507,2829,185698,2153337,108.62373144565854
4211,202508,1727,187425,2153337,108.70393254748328
4211,202509,1163,188588,2153337,108.75794174344286
4211,202510,4873,193461,2153337,108.98424166769995
4211,202511,13536,206997,2153337,109.61284740846416
4211,202512,-1113,205884,2153337,109.56116018997491
4211,202601,-8869,197015,2153337,109.14928782629008
4211,202602,-568,196447,2153337,109.12291016222727
4211,202603,1465,197912,2153337,109.19094410210757
4211,202604,105,198017,2153337,109.19582025479524
4211,202605,-19,197998,2153337,109.1949379033565
5143,202101,9098,0,4105144,100.0
5143,202102,25768,25768,4105144,100.62770027068478
5143,202103,9743,35511,4105144,100.86503664670472
5143,202104,3387,38898,4105144,100.9475428876551
5143,202105,13905,52803,4105144,101.28626425772153
5143,202106,15896,68699,4105144,101.67348575348392
5143,202107,16514,85213,4105144,102.07576153236037
5143,202108,20701,105914,4105144,102.58003129731868
5143,202109,19472,125386,4105144,103.05436301381876
5143,202110,18076,143462,4105144,103.49468861506442
5143,202111,16345,159807,4105144,103.89284760778185
5143,202112,1130,160937,4105144,103.92037404778006
5143,202201,15944,176881,4105144,104.30876480825033
5143,202202,22278,199159,4105144,104.85144979079905
5143,202203,11866,211025,4105144,105.14050177046164
5143,202204,14422,225447,4105144,105.4918170958193
5143,202205,17808,243255,4105144,105.92561430244591
5143,202206,16547,259802,4105144,106.32869395080904
5143,202207,13551,273353,4105144,106.65879199365479
5143,202208,15990,289343,4105144,107.04830329947013
5143,202209,14400,303743,4105144,107.39908271183666
5143,202210,12688,316431,4105144,107.70815834962184
5143,202211,10539,326970,4105144,107.96488503204759
