cbo_4d,treated_main,pre_gross_flow,base_net_flow,final_cumulative_net_flow_change,final_stock_proxy_index,valid_pre_flow_scale,observed_months
4110,1.0,5517761,30935,998861,118.10265069472925,True,65
5143,0.0,4105144,9098,893925,121.7757282083162,True,65
7842,0.0,3576812,25255,854539,123.89107954234106,True,65
7170,0.0,2661569,14317,539416,120.26684260299095,True,65
4211,1.0,2153337,-7326,197998,109.1949379033565,True,65
4223,1.0,1507086,5972,6159,100.40866944553927,True,65
4221,1.0,1456401,6836,322126,122.1179469115992,True,65
7832,0.0,1289075,-838,254300,119.72732385625352,True,65
7152,0.0,1174240,6574,82885,107.0586081209974,True,65
3541,1.0,950518,2429,125546,113.20816649447985,True,65
5132,0.0,885350,947,76861,108.68142542497317,True,65
8485,0.0,861092,-1490,33696,103.91317071811142,True,65
6210,0.0,841224,6391,52816,106.2784704192938,True,65
6220,0.0,803062,9989,79759,109.93186080277736,True,65
5142,0.0,719076,1395,116757,116.23708759574788,True,65
5173,0.0,694660,-2003,87176,112.54944865113869,True,65
7823,1.0,634879,1435,64063,110.09058419005827,True,65
1423,1.0,592380,3029,-19244,96.75140956818258,True,65
2124,1.0,542917,3326,104103,119.17475415210797,True,65
7155,0.0,524883,3932,30690,105.84701733529187,True,65
6221,0.0,499553,-3140,-4373,99.12461740796272,True,65
6410,0.0,480651,6101,32859,106.83635319597795,True,65
7632,0.0,469241,6689,-12855,97.26046956681108,True,65
7243,0.0,451876,3808,13405,102.9665217891634,True,65
6225,0.0,440765,6490,5323,101.20767302303949,True,65
4131,1.0,413250,3864,42597,110.30780399274047,True,65
9144,0.0,395790,1853,62025,115.67118926703554,True,65
9113,0.0,384756,2299,41057,110.67091871211885,True,65
7156,0.0,343622,1393,53237,115.49289626391791,True,65
7151,0.0,337778,534,27019,107.99904079010474,True,65
7244,0.0,329181,2170,28432,108.63719351967458,True,65
7242,0.0,325198,3873,44672,113.73686185031889,True,65
4142,1.0,308790,-456,-53134,82.79283655558794,True,65
5199,1.0,281015,-220,49900,117.75705923171361,True,65
8483,0.0,279360,-91,-15736,94.36712485681558,True,65
