event_time,periodo,periodo_num,is_reference
-23,2021-01,202101,False
-22,2021-02,202102,False
-21,2021-03,202103,False
-20,2021-04,202104,False
-19,2021-05,202105,False
-18,2021-06,202106,False
-17,2021-07,202107,False
-16,2021-08,202108,False
-15,2021-09,202109,False
-14,2021-10,202110,False
-13,2021-11,202111,False
-12,2021-12,202112,False
-11,2022-01,202201,False
-10,2022-02,202202,False
-9,2022-03,202203,False
-8,2022-04,202204,False
-7,2022-05,202205,False
-6,2022-06,202206,False
-5,2022-07,202207,False
-4,2022-08,202208,False
-3,2022-09,202209,False
-2,2022-10,202210,False
-1,2022-11,202211,True
0,2022-12,202212,False
1,2023-01,202301,False
2,2023-02,202302,False
3,2023-03,202303,False
4,2023-04,202304,False
5,2023-05,202305,False
6,2023-06,202306,False
7,2023-07,202307,False
8,2023-08,202308,False
9,2023-09,202309,False
10,2023-10,202310,False
11,2023-11,202311,False
12,2023-12,202312,False
13,2024-01,202401,False
14,2024-02,202402,False
15,2024-03,202403,False
16,2024-04,202404,False
17,2024-05,202405,False
18,2024-06,202406,False
19,2024-07,202407,False
20,2024-08,202408,False
21,2024-09,202409,False
22,2024-10,202410,False
23,2024-11,202411,False
