dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
sex,micro,men,Men,admissoes,ppml,-0.0778784829017796,0.0272230190336014,0.0044876738739709,15935,341,fail,2.0306794839368447e-47,fail,0.0764870308695096,estimated,,A,-0.1314252285193332,-0.02433173728422601,340.0,adequate,75,266,0.018819277536007,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,desligamentos,ppml,-0.0635432237571123,0.0243874304340855,0.0095752513108526,15935,341,fail,3.086946397260491e-13,fail,0.0685200323350449,estimated,,A,-0.11151246376344395,-0.015573983750780639,340.0,adequate,75,266,0.0336427748759686,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,n_movimentacoes,ppml,-0.0709620001960866,0.0233153024337706,0.0025199704373999,15935,341,fail,3.9925941844597785e-31,fail,0.0655077328044553,estimated,,A,-0.11682240116324122,-0.025101599228931987,340.0,adequate,75,266,0.011296419202137482,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,ln_salario_real_adm,ols,-0.0501069649358208,0.0121783727804524,4.8743947160367895e-05,15867,341,fail,0.0003821942394796,fail,0.0342169093607555,estimated,,A,-0.07406140689193598,-0.026152522979705623,340.0,adequate,75,266,0.00045262236648913046,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,men,Men,asinh_saldo,ols,-0.2451347945450011,0.3434132983404746,0.4758290797435245,15935,341,fail,2.7944909744847255e-09,fail,0.9648696024032803,estimated,,A,-0.9206169850112856,0.43034739592128346,340.0,adequate,75,266,0.5818511705419136,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,admissoes,ppml,-0.0723873481863334,0.0463534238272003,0.1193059009516916,15926,340,fail,9.240342987634852e-68,fail,0.1302377908272116,estimated,,A,-0.16356390526803596,0.01878920889536917,339.0,adequate,75,266,0.22808481064293984,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,desligamentos,ppml,-0.0776432705137559,0.0371176162754912,0.0371963371115673,15935,341,fail,8.595814522615421e-29,fail,0.1042873407377009,estimated,,A,-0.15065234985872078,-0.004634191168791019,340.0,adequate,75,266,0.09481419263732842,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,n_movimentacoes,ppml,-0.0744482502593799,0.0406621998645687,0.0679911438180949,15935,341,fail,9.267616943927344e-49,fail,0.114246363800598,estimated,,A,-0.15442940406567535,0.005532903546915532,340.0,adequate,75,266,0.15783658386343458,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,ln_salario_real_adm,ols,-0.0490658945333244,0.0117260636181096,3.647498792158643e-05,15418,340,fail,0.0058580940286664,fail,0.03294636069204,estimated,,A,-0.07213090290909988,-0.026000886157548916,339.0,adequate,75,266,0.0003647498792158643,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
sex,micro,women,Women,asinh_saldo,ols,-1.0187905320358537,0.3015252866557431,0.0008125748238956,15935,341,fail,0.0009162337982782,fail,0.8471791420308337,estimated,,A,-1.6118804388491408,-0.42570062522256646,340.0,adequate,75,266,0.00422538908425712,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,admissoes,ppml,-0.0741052739665235,0.0322121368800767,0.0220243408998903,15926,340,fail,6.374834742538925e-42,fail,0.0905054513497051,estimated,,A,-0.137466111084374,-0.010744436848672975,339.0,adequate,75,265,0.06507191629513044,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,desligamentos,ppml,-0.0530134494522436,0.0359362776734424,0.1410850267868744,15926,340,fail,1.282666137595614e-14,fail,0.100969055321346,estimated,,A,-0.12369962108890811,0.017672722184420904,339.0,adequate,75,265,0.24414709157971531,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,n_movimentacoes,ppml,-0.063850082076608,0.0310253295342569,0.0403544006905136,15926,340,fail,3.6401284430257635e-46,fail,0.0871709152120234,estimated,,A,-0.12487648521360498,-0.002823678939611024,339.0,adequate,75,265,0.10088600172628401,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,ln_salario_real_adm,ols,-0.0517373180873344,0.0104744794396787,1.234660626403539e-06,15554,339,pass,0.5852100812424963,fail,0.0294300744069431,estimated,,A,-0.07234069572061623,-0.031133940454052576,338.0,adequate,75,265,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_22_25,Age 22-25,asinh_saldo,ols,-0.1279724764441231,0.2481535026064243,0.6063999240408351,15935,341,fail,2.4169895540361104e-05,fail,0.6972233531779402,estimated,,A,-0.6160819128651888,0.3601369599769425,340.0,adequate,75,265,0.685495566307031,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,admissoes,ppml,-0.0753225441457009,0.0312277043656172,0.0163925868576113,15935,341,fail,1.0705776856027585e-29,fail,0.0877387766892691,estimated,,A,-0.13674636858713943,-0.013898719704262381,340.0,adequate,75,266,0.051976494914377294,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,desligamentos,ppml,-0.0680411381754881,0.0267158509405139,0.0113103219320549,15935,341,fail,5.207136307889326e-09,fail,0.0750620683573011,estimated,,A,-0.12059030153251518,-0.01549197481846102,340.0,adequate,75,266,0.03770107310684967,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,n_movimentacoes,ppml,-0.0709793881536033,0.0263162270076065,0.0073415488535193,15935,341,fail,1.811920302176745e-16,fail,0.0739392668026774,estimated,,A,-0.12274250492807953,-0.019216271379127063,340.0,adequate,75,266,0.026511148637708582,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,ln_salario_real_adm,ols,-0.040319565533128,0.0105050448828657,0.0001478919526263,15708,340,fail,6.848720646747159e-05,fail,0.0295157018645579,estimated,,A,-0.06098284658824619,-0.019656284478009815,339.0,adequate,75,266,0.0011309384612599412,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
