position,term,event_time,coefficient,standard_error,ci_low,ci_high,nominal_p_value,is_reference,beyond_frozen_window,pre_coefficient_mean,pre_window,model_id,dimension,source_dimension,group_id,group_label,outcome,estimator,event_window,reference_event_time,reference_period,source_panel,is_causal_effect,formula,n_obs,minimum_clusters
0.0,"C(event_time, contr.treatment(base=-1))[-23]:treatment",-23,-0.06423245155973911,0.0565993639686215,-0.17556146105726372,0.0470965579377855,0.25723268295181834,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
1.0,"C(event_time, contr.treatment(base=-1))[-22]:treatment",-22,-0.07286936473310922,0.06079522643776499,-0.1924514919323902,0.04671276246617177,0.2315169572822544,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
2.0,"C(event_time, contr.treatment(base=-1))[-21]:treatment",-21,-0.06957071880459391,0.055018696095654504,-0.1777906087590167,0.03864917114982887,0.206919473350204,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
3.0,"C(event_time, contr.treatment(base=-1))[-20]:treatment",-20,-0.03648340081025014,0.057248372764716435,-0.149088988370816,0.07612218675031573,0.5243695665663002,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
4.0,"C(event_time, contr.treatment(base=-1))[-19]:treatment",-19,-0.06423232561084637,0.04944003530581361,-0.1614791809495448,0.03301452972785207,0.19475676696643318,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
5.0,"C(event_time, contr.treatment(base=-1))[-18]:treatment",-18,-0.012940117351765774,0.04491990351036519,-0.10129602833524981,0.07541579363171827,0.7734679841530199,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
6.0,"C(event_time, contr.treatment(base=-1))[-17]:treatment",-17,-0.02183175045230848,0.040578882965513666,-0.1016490227730921,0.05798552186847514,0.5909237448666225,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
7.0,"C(event_time, contr.treatment(base=-1))[-16]:treatment",-16,-0.011369726232781631,0.04449920089592775,-0.09889812958942545,0.0761586771238622,0.7984883096161894,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
8.0,"C(event_time, contr.treatment(base=-1))[-15]:treatment",-15,-0.031670030389083205,0.05176548102701876,-0.13349095777787665,0.07015089699971022,0.5410801275196087,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
9.0,"C(event_time, contr.treatment(base=-1))[-14]:treatment",-14,0.0163637213988905,0.031653691501516416,-0.0458980051420246,0.07862544793980561,0.6055195559012274,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
10.0,"C(event_time, contr.treatment(base=-1))[-13]:treatment",-13,0.0678163551219469,0.023943742999984283,0.02071983309513832,0.11491287714875549,0.004896600748170776,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
11.0,"C(event_time, contr.treatment(base=-1))[-12]:treatment",-12,0.1387145832921063,0.041314226578693776,0.057450915281416035,0.21997825130279658,0.0008754508730866029,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
12.0,"C(event_time, contr.treatment(base=-1))[-11]:treatment",-11,-0.053138180635634816,0.04707789951348506,-0.14573879581155721,0.03946243454028758,0.2598080426003786,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
13.0,"C(event_time, contr.treatment(base=-1))[-10]:treatment",-10,-0.021136731759724803,0.04831029657535845,-0.11616142972714444,0.07388796620769483,0.6620118988876733,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
14.0,"C(event_time, contr.treatment(base=-1))[-9]:treatment",-9,-0.03851202230128581,0.04051650697978409,-0.11820660319550931,0.04118255859293769,0.3425198626125239,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
15.0,"C(event_time, contr.treatment(base=-1))[-8]:treatment",-8,-0.012448979399558097,0.0419043716744036,-0.09487344259165041,0.06997548379253422,0.7665863249561622,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
16.0,"C(event_time, contr.treatment(base=-1))[-7]:treatment",-7,-0.0865591004499936,0.034950486464752614,-0.15530550971591234,-0.017812691184074844,0.013749219953887337,False,False,-0.03205582209823901,-23_to_-2,group_event__sex__men__admissoes,sex,sex,men,Men,admissoes,ppml,-23_to_41,-1,2022-11,frozen,False,"admissoes ~ i(event_time, treatment, ref=-1) | cbo_4d + periodo",22049,341
